name,frameTime,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband25-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],F0final_sma_de,voicingFinalUnclipped_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de,audspec_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,pcm_RMSenergy_sma_de,pcm_zcr_sma_de,audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[25],pcm_fftMag_fband25-650_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12]
xxx,0.010000,0,0,0,0,0,1.227835e-01,9.883412e-01,2.192127e-03,9.687499e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,4.450108e-04,9.430841e-05,2.083333e+02,2.604167e+02,5.625000e+02,1.635417e+03,5.487833e-03,4.832763e+00,7.542301e+05,2.964356e+00,1.318160e+01,-9.415857e-05,2.036846e+01,-6.864715e+00,1.942911e+01,-4.556161e+00,1.801435e+01,-1.875687e+01,1.196476e+01,-1.533042e+01,1.192510e+01,-1.727167e+00,-7.643965e-01,-9.375413e+00,0,0,0,0,0,-1.898140e-04,0,4.369744e-05,-8.958330e-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.350919e-06,-3.189280e-06,-1.145833e+01,8.333334e+00,2.291666e+01,-9.270833e+01,2.309606e-03,1.314664e-02,-3.881481e+04,1.173019e-01,1.179354e+00,-2.030326e-06,4.210486e-01,3.111606e-01,-1.854241e+00,-1.509867e+00,-1.212952e+00,9.561996e-02,6.249298e-01,5.875546e-01,-1.816591e+00,-2.385597e+00,1.151037e+00,-7.225032e-01
xxx,0.020000,0,0,0,0,0,1.221074e-01,9.883412e-01,2.299726e-03,7.604166e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,4.192488e-04,8.671760e-05,1.979167e+02,2.812500e+02,625,1.458333e+03,9.915301e-03,4.923630e+00,6.965492e+05,3.125859e+00,1.475846e+01,-9.169800e-05,2.114576e+01,-6.311705e+00,1.578827e+01,-8.513404e+00,1.530912e+01,-1.769224e+01,1.338713e+01,-1.549199e+01,7.167902e+00,-7.691198e+00,1.629993e+00,-9.755657e+00,0,0,0,0,0,-1.495542e-03,0,3.546011e-05,-8.437498e-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.235779e-05,-5.342071e-06,-2.812500e+01,3.125000e+00,1.249999e+01,-1.312500e+02,2.727345e-03,-3.403854e-02,-5.088164e+04,1.650807e-01,1.632845e+00,-2.105124e-06,4.161913e-01,4.768534e-01,-2.298237e+00,-1.575691e+00,-1.130226e+00,1.883793e-01,8.006327e-01,9.001959e-01,-2.460033e+00,-2.271541e+00,1.982398e+00,-7.601292e-01
xxx,0.030000,0,0,0,0,0,1.221725e-01,9.883412e-01,2.356814e-03,6.250000e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,4.996464e-04,8.215741e-05,1.562500e+02,2.916667e+02,6.458333e+02,1.260417e+03,1.482213e-02,4.853063e+00,5.889964e+05,3.470114e+00,1.828993e+01,-1.055405e-04,2.208505e+01,-5.585417e+00,1.197833e+01,-1.012687e+01,1.330221e+01,-1.881109e+01,1.437822e+01,-1.231187e+01,5.220746e+00,-1.067314e+01,3.793594e+00,-1.279781e+01,0,0,0,0,0,-2.688414e-03,-2.173042e-03,-1.056932e-05,-2.708329e-03,1.273423e-04,-8.403361e-04,-1.119804e-03,-2.681232e-03,-1.287544e-03,-1.811945e-03,-6.726814e-03,-2.639520e-03,-2.229655e-03,3.572226e-04,2.467251e-03,-3.866029e-03,-4.794693e-03,-2.850938e-03,4.081464e-03,-5.396294e-03,-1.126306e-02,-2.672672e-03,-3.897071e-03,-3.835678e-04,-9.400606e-04,-2.516079e-03,-9.963751e-04,-2.521062e-03,-2.168644e-03,7.070303e-05,1.727455e-05,-5.319540e-06,-4.166667e+01,-4.166666e+00,-1.250001e+01,-1.187500e+02,1.879208e-03,-9.275069e-02,-4.882701e+04,1.590176e-01,1.580757e+00,-1.821663e-06,2.988100e-01,3.654960e-01,-2.000361e+00,-8.134201e-01,-2.938507e-01,-1.716131e-01,4.552357e-01,9.880269e-01,-2.277669e+00,-7.868298e-01,3.072195e+00,-5.538160e-01
xxx,0.040000,0,0,0,0,0,1.156113e-01,9.883412e-01,2.287083e-03,7.187500e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,4.794820e-04,7.367355e-05,9.375000e+01,2.604167e+02,5.833333e+02,1.166667e+03,1.445741e-02,4.652421e+00,5.824387e+05,3.536880e+00,1.879165e+01,-9.899324e-05,2.159112e+01,-5.120097e+00,1.166332e+01,-9.649261e+00,1.471930e+01,-1.778787e+01,1.476119e+01,-1.233872e+01,2.977112e+00,-8.611888e+00,6.868600e+00,-1.146486e+01,0,1.248832e-01,0,0,0,-4.028730e-03,-7.494926e-03,-7.288509e-05,4.583335e-03,-5.598813e-05,-2.393743e-03,-4.452896e-03,-8.806800e-03,-9.189785e-04,-5.832654e-03,-2.038163e-02,-6.215924e-03,-1.301730e-02,-3.849757e-03,1.128349e-02,-1.130465e-02,-1.565430e-02,-8.912313e-03,7.241762e-03,-1.749207e-02,-3.198487e-02,-1.393135e-02,-1.101004e-02,-3.008652e-03,-2.947819e-03,-8.732152e-03,-6.878960e-03,-7.281816e-03,-6.619781e-03,-1.709205e-03,-1.412613e-05,-5.833538e-06,-3.125000e+01,-8.333334e+00,-2.708334e+01,-4.270834e+01,3.241958e-04,-7.300377e-02,-1.590169e+04,5.832110e-02,5.327824e-01,4.517359e-06,3.031750e-02,1.667686e-01,-9.032372e-01,-5.336752e-02,5.525935e-01,-5.428581e-01,-3.758596e-01,6.057817e-01,-1.137587e+00,1.136895e+00,2.897138e+00,-4.826085e-01
xxx,0.050000,0,0,0,0,0,1.125895e-01,9.774759e-01,2.145601e-03,8.541667e-02,1.298529e-01,2.678467e-01,4.139289e-01,5.410411e-01,6.632912e-01,7.568364e-01,8.133944e-01,9.046316e-01,9.711012e-01,1.044886e+00,1.114436e+00,1.140740e+00,1.193157e+00,1.258582e+00,1.346619e+00,1.348599e+00,1.361741e+00,1.435118e+00,1.438392e+00,1.430786e+00,1.354046e+00,1.219759e+00,1.064173e+00,8.833223e-01,7.234052e-01,5.946846e-01,5.012670e-04,7.423273e-05,5.208333e+01,250,5.208333e+02,1.187500e+03,1.261282e-02,4.504614e+00,5.671502e+05,3.553933e+00,1.906879e+01,-9.961927e-05,2.163983e+01,-5.633039e+00,1.148978e+01,-8.055333e+00,1.684001e+01,-1.956713e+01,1.355391e+01,-1.196692e+01,2.632150e+00,-5.200972e+00,1.197727e+01,-1.128989e+01,0,1.873247e-01,0,0,0,-2.936765e-03,-1.412036e-02,-7.576314e-05,6.145834e-03,-3.969028e-04,-3.544620e-03,-8.943349e-03,-1.354467e-02,2.712178e-03,-1.067865e-02,-3.497157e-02,-4.518879e-03,-2.733985e-02,-1.221936e-02,2.300410e-02,-1.759301e-02,-2.908398e-02,-1.837898e-02,-1.099503e-03,-3.265531e-02,-4.937731e-02,-3.184861e-02,-1.451701e-02,-6.160855e-03,-8.394837e-03,-1.916694e-02,-1.628655e-02,-1.194346e-02,-1.363875e-02,-6.543017e-03,-2.158298e-05,-4.294261e-06,-1.250000e+01,-6.250000e+00,-1.979166e+01,1.041687e+00,-6.634414e-04,-6.563378e-03,-2.381288e+03,7.599306e-03,8.337097e-02,5.210232e-06,1.748190e-01,8.454366e-02,-5.374489e-02,-1.702344e-01,8.651329e-01,-2.383614e-01,-1.016124e+00,1.179089e-01,3.277846e-01,8.733387e-01,1.298211e+00,-5.461699e-01
xxx,0.060000,0,6.244158e-01,0,0,0,1.067552e-01,9.562991e-01,2.040907e-03,8.750000e-02,1.286179e-01,2.621805e-01,4.000629e-01,5.171164e-01,6.683529e-01,7.412627e-01,7.619373e-01,8.933484e-01,9.227371e-01,1.022958e+00,1.152349e+00,1.113212e+00,1.150846e+00,1.235403e+00,1.352217e+00,1.301611e+00,1.286290e+00,1.385506e+00,1.412570e+00,1.418620e+00,1.346357e+00,1.194969e+00,1.037251e+00,8.658212e-01,7.065711e-01,5.856083e-01,3.478079e-04,6.151225e-05,9.375000e+01,2.604167e+02,5.520833e+02,1.281250e+03,1.264093e-02,4.732835e+00,6.279638e+05,3.375555e+00,1.703295e+01,-7.207182e-05,2.151996e+01,-5.454051e+00,1.151636e+01,-9.816012e+00,1.630319e+01,-2.002851e+01,1.191999e+01,-1.263555e+01,2.774264e+00,-4.742804e+00,1.202384e+01,-1.292266e+01,0,6.244158e-02,0,0,0,1.471192e-05,-1.568175e-02,-1.532403e-05,2.291667e-03,-8.803398e-04,-3.079236e-04,-1.002531e-02,-9.248775e-03,1.513855e-02,-5.891961e-03,-3.606979e-02,7.574535e-03,-3.368979e-02,-2.046493e-02,3.642000e-02,-1.218045e-02,-3.576086e-02,-2.437855e-02,-2.773980e-02,-3.955153e-02,-4.103904e-02,-4.127709e-02,-6.463087e-03,-1.061360e-02,-1.679920e-02,-2.830014e-02,-2.331785e-02,-1.071654e-02,-1.835867e-02,-1.378320e-02,2.244755e-06,-1.912620e-06,1.875000e+01,1.354167e+01,6.103516e-06,2.083337e+00,2.528710e-04,7.355857e-02,-2.231744e+04,8.642419e-02,1.061200e+00,-3.966787e-07,7.162496e-01,2.607434e-01,-3.075972e-02,-9.794472e-01,1.823788e-02,-1.658970e-01,-1.666722e+00,-9.180857e-01,2.159770e+00,-2.007348e-01,-1.878310e-01,-6.971356e-01
xxx,0.070000,0,6.244158e-01,0,0,0,1.119167e-01,9.337603e-01,2.101087e-03,8.541667e-02,1.275308e-01,2.592592e-01,3.845437e-01,5.053894e-01,6.839778e-01,7.248196e-01,7.147161e-01,9.074752e-01,8.753064e-01,9.920735e-01,1.191995e+00,1.095534e+00,1.104853e+00,1.199659e+00,1.307712e+00,1.249289e+00,1.237053e+00,1.320726e+00,1.407946e+00,1.408942e+00,1.322966e+00,1.155190e+00,1.003674e+00,8.512635e-01,6.798933e-01,5.659774e-01,4.575686e-04,6.676676e-05,9.375000e+01,2.604167e+02,5.625000e+02,1.208333e+03,1.241316e-02,4.780039e+00,5.543274e+05,3.588774e+00,1.958614e+01,-9.295005e-05,2.299473e+01,-4.995722e+00,1.178309e+01,-1.089467e+01,1.683593e+01,-1.888257e+01,1.071820e+01,-1.157391e+01,6.961092e+00,-8.240987e+00,7.707029e+00,-1.479976e+01,0,-6.244158e-02,0,0,0,1.819310e-03,-9.183466e-03,5.568180e-05,-6.250009e-04,-1.236825e-03,5.774826e-03,-4.948250e-03,4.751623e-03,3.202921e-02,9.669882e-03,-1.957934e-02,2.710595e-02,-2.112347e-02,-2.161169e-02,3.591751e-02,6.654203e-03,-3.106167e-02,-2.808118e-02,-6.693896e-02,-2.844803e-02,-5.085802e-03,-2.246737e-02,1.624171e-02,-1.091000e-02,-2.773131e-02,-2.857343e-02,-1.704373e-02,-4.179275e-03,-1.709045e-02,-2.080397e-02,2.938042e-05,-4.882139e-07,1.979167e+01,1.875000e+01,1.041669e+00,-3.229166e+01,1.207641e-03,4.807472e-02,-3.110169e+04,1.438822e-01,1.637909e+00,-5.620996e-06,7.793274e-01,3.914004e-01,1.383596e-01,-1.955231e+00,-3.737415e-01,5.297995e-01,-1.635235e+00,-2.009211e+00,3.005322e+00,-1.609619e+00,-1.117908e+00,2.466390e-01
xxx,0.080000,0,0,0,0,0,1.160212e-01,9.317902e-01,2.232720e-03,8.333334e-02,1.259755e-01,2.748025e-01,3.840940e-01,5.260293e-01,7.350784e-01,7.524447e-01,7.160186e-01,9.542801e-01,8.616980e-01,9.671807e-01,1.245420e+00,1.121771e+00,1.082479e+00,1.180406e+00,1.206966e+00,1.227478e+00,1.275205e+00,1.299292e+00,1.440785e+00,1.390558e+00,1.290290e+00,1.123124e+00,9.828152e-01,8.583743e-01,6.642110e-01,5.397687e-01,5.125550e-04,6.784344e-05,1.666667e+02,3.229167e+02,5.625000e+02,1.166667e+03,1.582160e-02,4.882501e+00,4.772629e+05,3.951581e+00,2.383898e+01,-1.043112e-04,2.449492e+01,-4.135038e+00,1.136287e+01,-1.312683e+01,1.481253e+01,-1.895963e+01,7.845430e+00,-1.712565e+01,1.161149e+01,-8.095554e+00,8.064569e+00,-1.319561e+01,0,-1.873247e-01,0,0,0,1.675668e-03,6.118119e-04,1.067064e-04,-1.770832e-03,-2.185680e-04,1.125909e-02,4.349974e-03,1.943614e-02,4.306337e-02,2.867555e-02,1.519465e-03,3.681251e-02,5.320835e-03,-1.436477e-02,1.725463e-02,2.804710e-02,-2.177845e-02,-2.801713e-02,-8.933854e-02,-9.709930e-03,2.240064e-02,1.891425e-02,3.590971e-02,-1.126379e-02,-3.718656e-02,-1.901884e-02,5.042875e-03,1.630753e-03,-9.426558e-03,-2.340676e-02,6.025734e-05,-7.117909e-07,6.250001e+00,7.291672e+00,-2.708333e+01,-75,1.376799e-03,-5.432353e-02,-4.266676e+04,2.602075e-01,3.022082e+00,-1.090882e-05,6.656481e-01,7.108550e-01,2.449709e-01,-1.247769e+00,-2.162685e-01,2.360187e-01,-6.929379e-01,-1.647429e+00,2.771079e+00,-1.586179e+00,-3.307030e-01,1.021683e+00
xxx,0.090000,0,0,0,0,0,1.170530e-01,9.438131e-01,2.328103e-03,8.437500e-02,1.249899e-01,2.904098e-01,3.971721e-01,5.603428e-01,7.900745e-01,7.995948e-01,7.384570e-01,1.009696e+00,8.960034e-01,9.647155e-01,1.247488e+00,1.169732e+00,1.072033e+00,1.145675e+00,1.084549e+00,1.243426e+00,1.341854e+00,1.365888e+00,1.505493e+00,1.390267e+00,1.243423e+00,1.112815e+00,1.006172e+00,8.661494e-01,6.591330e-01,5.135846e-01,5.657955e-04,6.862607e-05,1.145833e+02,3.125000e+02,5.208333e+02,1.083333e+03,1.706069e-02,4.670155e+00,4.869922e+05,3.985331e+00,2.385532e+01,-1.116045e-04,2.404899e+01,-4.335543e+00,1.225833e+01,-1.617608e+01,1.571663e+01,-1.745257e+01,7.415009e+00,-1.976792e+01,1.324015e+01,-1.157269e+01,8.367372e+00,-9.920221e+00,0,9.153342e-03,0,0,0,-1.511171e-03,4.264939e-03,9.974446e-05,-8.333341e-04,2.181435e-03,1.333162e-02,9.920892e-03,2.032181e-02,3.596804e-02,3.264395e-02,1.420677e-02,2.356766e-02,1.730241e-02,-1.466900e-02,-1.823265e-02,3.605288e-02,-1.890241e-02,-2.366961e-02,-7.884394e-02,1.743782e-03,1.899816e-02,4.649241e-02,3.494983e-02,-1.389947e-02,-3.930079e-02,-3.333139e-03,2.948564e-02,2.549696e-03,1.731384e-03,-1.970886e-02,3.988224e-05,-5.540857e-06,-1.145833e+01,-2.187500e+01,-5.416667e+01,-9.687500e+01,5.519850e-04,-1.298761e-01,-2.346439e+04,2.825396e-01,3.155972e+00,-6.627026e-06,6.634960e-02,1.114839e+00,7.468132e-01,3.620265e-01,2.270009e-01,-1.412579e-01,1.174421e+00,5.529804e-01,1.862181e+00,-6.779853e-01,-5.062771e-03,4.168006e-01
xxx,0.100000,0,0,0,0,0,1.125654e-01,9.543318e-01,2.460931e-03,7.916667e-02,1.287955e-01,3.029007e-01,4.154986e-01,5.868204e-01,8.306214e-01,8.472528e-01,7.576642e-01,1.026301e+00,9.389928e-01,9.648128e-01,1.210876e+00,1.216349e+00,1.058364e+00,1.122309e+00,1.017105e+00,1.255993e+00,1.345892e+00,1.457496e+00,1.543345e+00,1.371638e+00,1.200196e+00,1.121063e+00,1.061216e+00,8.665320e-01,6.698185e-01,4.947709e-01,5.949811e-04,5.702364e-05,1.145833e+02,2.708333e+02,4.375000e+02,9.687500e+02,1.720116e-02,4.516160e+00,4.482976e+05,4.478314e+00,3.000877e+01,-1.172887e-04,2.432107e+01,-2.229865e+00,1.250359e+01,-1.341415e+01,1.578149e+01,-1.956342e+01,1.010690e+01,-1.677569e+01,1.349013e+01,-1.100785e+01,1.004016e+01,-1.025401e+01,0,2.015532e-01,0,0,0,-3.407031e-03,-2.015096e-03,6.705600e-05,9.374983e-04,7.482625e-03,1.528339e-02,6.420210e-03,6.941301e-03,5.906188e-03,1.183386e-02,1.124110e-02,-9.705109e-03,4.103023e-03,-2.685685e-02,-5.070601e-02,2.088852e-02,-2.301551e-02,-7.573485e-03,-3.860375e-02,-7.002008e-03,-1.392788e-02,3.214414e-02,6.246007e-03,-2.171806e-02,-3.224546e-02,8.854961e-03,4.052144e-02,-6.296694e-04,9.785021e-03,-8.059969e-03,5.707528e-05,-6.830115e-06,-2.395833e+01,-5.104166e+01,-8.333333e+01,-1.364583e+02,-1.056022e-03,-1.999285e-01,-3.581501e+04,3.850366e-01,4.403203e+00,-1.007470e-05,-8.153915e-02,1.522697e+00,1.173168e+00,3.116741e+00,1.327255e+00,1.205160e-01,2.823605e+00,2.948623e+00,7.708110e-01,7.341505e-01,5.300784e-01,2.425662e-01
