name,frameTime,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband25-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],F0final_sma_de,voicingFinalUnclipped_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de,audspec_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,pcm_RMSenergy_sma_de,pcm_zcr_sma_de,audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[25],pcm_fftMag_fband25-650_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12]
xxx,0.010000,0,0,0,0,0,2.365038e-01,9.883412e-01,4.570576e-03,1.166667e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,1.772388e-03,7.309049e-04,3.958333e+02,6.041667e+02,1125,1.989583e+03,1.328122e-02,5.296346e+00,8.473503e+05,2.608594e+00,1.136917e+01,-4.503197e-04,1.669553e+01,-1.254337e+01,5.233925e+00,-1.568404e+01,4.901677e+00,-2.053768e+01,1.603597e+01,-1.444879e+00,2.599674e+01,5.739529e+00,1.300863e+01,-1.651056e+01,0,0,0,0,0,-1.030440e-02,0,8.487143e-07,3.020832e-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.452496e-05,-8.615723e-05,-3.437500e+01,-3.125006e+00,-7.291667e+01,-7.812502e+01,6.510033e-03,-1.572743e-01,-3.168334e+04,7.092328e-02,8.519734e-01,2.717928e-06,4.034781e-01,1.724775e-01,9.097881e-01,-6.961567e-01,-3.663132e-01,-6.136619e-01,1.036822e+00,3.565444e-01,1.514986e+00,1.509012e+00,1.594175e+00,-1.923724e+00
xxx,0.020000,0,0,0,0,0,2.212344e-01,9.883412e-01,4.624736e-03,1.239583e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,2.330593e-03,5.817887e-04,3.854167e+02,5.937500e+02,9.583333e+02,1750,2.619291e-02,4.868937e+00,7.303361e+05,2.887163e+00,1.445364e+01,-5.141892e-04,1.818582e+01,-1.223839e+01,8.152248e+00,-1.733543e+01,3.233590e+00,-2.335798e+01,1.798079e+01,-1.724920e+00,3.043916e+01,7.868250e+00,1.688053e+01,-2.116113e+01,0,0,0,0,0,-1.427068e-02,0,-6.577340e-05,2.395833e-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.451255e-05,-1.114432e-04,-4.375001e+01,-5.208344e+00,-7.604166e+01,-9.166669e+01,6.613244e-03,-1.399699e-01,-3.484388e+04,7.162640e-02,8.907778e-01,1.892030e-05,6.780134e-01,2.835106e-01,8.382851e-01,-5.494482e-01,6.125750e-02,-9.436260e-01,8.144504e-01,-5.142901e-01,7.420439e-01,7.537213e-01,1.654417e+00,-1.991127e+00
xxx,0.030000,0,0,0,0,0,1.926166e-01,9.883412e-01,4.547739e-03,1.281250e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,1.915910e-03,3.746769e-04,2.291667e+02,5.937500e+02,8.437500e+02,1.718750e+03,3.937554e-02,4.723679e+00,7.474408e+05,2.823926e+00,1.408680e+01,-4.047953e-04,1.796778e+01,-1.183347e+01,8.323704e+00,-1.833914e+01,3.904154e+00,-2.219584e+01,2.024767e+01,4.778632e-01,3.135046e+01,1.222023e+01,1.904356e+01,-2.380389e+01,0,1.092579e-01,0,0,0,-1.549468e-02,-1.253581e-03,-1.842841e-04,9.375028e-04,-6.038100e-04,1.343083e-03,5.125725e-03,8.125579e-03,-1.579452e-03,-5.753958e-03,-9.336794e-03,1.810479e-03,5.999231e-03,-2.551794e-04,2.730179e-03,9.162665e-04,-4.242229e-03,1.948881e-03,-4.521298e-03,-8.045316e-03,-5.234695e-03,-1.315236e-03,-2.704573e-03,-8.292317e-03,-2.371526e-03,-3.100824e-03,-4.692316e-04,2.544880e-04,-4.813075e-04,-2.539420e-03,-2.179195e-04,-1.080902e-04,-5.625000e+01,-2.187501e+01,-5.104166e+01,-3.958334e+01,3.693010e-03,-1.215386e-02,4.085625e+02,-1.248431e-03,4.225731e-02,6.070208e-05,5.472778e-01,4.670097e-01,5.452210e-01,3.048027e-01,1.318176e+00,-3.584202e-01,-4.468006e-01,-2.286522e+00,-1.686579e+00,-1.332856e+00,6.608435e-01,-1.400064e+00
xxx,0.040000,0,0,0,0,0,1.870940e-01,9.883412e-01,4.253127e-03,1.229167e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,1.823189e-03,3.518031e-04,2.604167e+02,5.833333e+02,8.854167e+02,1.666667e+03,3.330028e-02,4.882830e+00,7.230857e+05,2.859060e+00,1.446425e+01,-3.784804e-04,1.944948e+01,-1.148077e+01,7.880461e+00,-1.710374e+01,5.706726e+00,-2.442673e+01,1.800238e+01,-4.977701e+00,2.703010e+01,6.267787e+00,1.826326e+01,-2.281953e+01,0,1.638869e-01,0,0,0,-9.986281e-03,-3.062975e-03,-3.157618e-04,1.041671e-03,-2.238759e-03,3.777432e-03,1.482004e-02,1.700242e-02,-7.834887e-03,-2.045682e-02,-3.244550e-02,6.016946e-03,1.519864e-02,-1.607120e-03,1.441765e-02,1.888573e-03,-1.508491e-02,1.547387e-02,-1.358412e-02,-2.634207e-02,-1.113106e-02,4.361272e-04,8.479833e-04,-1.900965e-02,-7.129204e-03,-3.394103e-03,-3.800642e-03,-2.323747e-04,7.952869e-04,-6.021178e-03,-3.949194e-04,-5.395701e-05,-1.979167e+01,-2.812500e+01,3.333334e+01,8.229169e+01,-1.736969e-03,1.686351e-01,5.589795e+04,-1.314306e-01,-1.183293e+00,8.317055e-05,1.000050e-01,1.308305e-01,4.487260e-01,1.232777e+00,2.419298e+00,3.508545e-01,-2.046329e+00,-3.441827e+00,-3.608920e+00,-3.913918e+00,-4.214720e-01,-1.565773e-01
xxx,0.050000,0,5.462895e-01,0,0,0,1.761006e-01,9.820732e-01,3.834960e-03,1.218750e-01,1.261971e-01,2.787638e-01,4.451565e-01,5.950752e-01,6.618317e-01,7.371264e-01,8.003445e-01,9.268816e-01,1.012246e+00,1.041824e+00,1.115750e+00,1.164652e+00,1.195920e+00,1.282581e+00,1.303605e+00,1.335354e+00,1.391883e+00,1.441905e+00,1.444355e+00,1.391242e+00,1.346889e+00,1.216836e+00,1.066809e+00,8.972000e-01,7.318419e-01,5.816340e-01,9.364919e-04,3.054469e-04,1.770833e+02,500,9.062500e+02,1.833333e+03,2.819259e-02,5.228630e+00,8.530183e+05,2.616403e+00,1.157516e+01,-2.146637e-04,1.880009e+01,-1.058713e+01,8.095923e+00,-1.427587e+01,1.025599e+01,-2.179540e+01,1.379118e+01,-1.125110e+01,1.926838e+01,-1.245187e-01,1.562149e+01,-2.268168e+01,0,5.462895e-02,0,0,0,-2.125680e-03,-3.306258e-03,-3.246094e-04,4.895833e-03,-5.784034e-03,6.967473e-03,2.606156e-02,2.304659e-02,-1.336810e-02,-3.509801e-02,-5.841020e-02,1.390212e-02,2.610319e-02,-8.406639e-04,2.487059e-02,6.873250e-04,-2.515665e-02,4.121854e-02,-2.314130e-02,-4.628515e-02,-1.244122e-02,9.077966e-03,1.782532e-02,-2.393966e-02,-1.671472e-02,-1.132393e-03,-7.673335e-03,-7.793844e-04,4.126090e-03,-9.083974e-03,-3.025962e-04,-6.197224e-06,4.270833e+01,-25,3.749999e+01,8.750002e+01,-4.054009e-03,1.768323e-01,4.634162e+04,-9.257145e-02,-1.003028e+00,5.469926e-05,-1.731525e-01,-3.073927e-01,3.845916e-02,3.286634e-01,7.976317e-01,1.059715e-01,-2.674696e+00,-3.150485e+00,-3.581961e+00,-5.429965e+00,-8.367966e-01,4.328543e-01
xxx,0.060000,0,5.462895e-01,0,0,0,1.795610e-01,9.761602e-01,3.402317e-03,1.322917e-01,1.195319e-01,2.875778e-01,4.808138e-01,6.191455e-01,6.345031e-01,6.779969e-01,7.081429e-01,9.433877e-01,1.043245e+00,1.035702e+00,1.167362e+00,1.167222e+00,1.152312e+00,1.345334e+00,1.269594e+00,1.263984e+00,1.375488e+00,1.453950e+00,1.468879e+00,1.358387e+00,1.329029e+00,1.223121e+00,1.051325e+00,8.941295e-01,7.394281e-01,5.705737e-01,8.457047e-04,3.466186e-04,3.125000e+02,500,1.093750e+03,2.104167e+03,2.309954e-02,5.459637e+00,957037,2.333771e+00,9.793001e+00,-1.934022e-04,1.826969e+01,-1.220741e+01,1.050977e+01,-1.320317e+01,1.215416e+01,-2.180392e+01,1.097740e+01,-1.306957e+01,1.843561e+01,-5.528966e+00,1.648421e+01,-2.250512e+01,0,-5.462895e-02,0,0,0,-2.383769e-04,-9.839892e-04,-2.256592e-04,7.604166e-03,-9.194231e-03,8.799854e-03,2.688994e-02,1.304158e-02,-1.240910e-02,-3.775955e-02,-6.595340e-02,2.836129e-02,2.773803e-02,1.391232e-03,1.807895e-02,-7.871687e-03,-2.474177e-02,6.786893e-02,-2.598070e-02,-5.613574e-02,1.276255e-04,2.266077e-02,4.151281e-02,-1.040231e-02,-2.316487e-02,4.063070e-03,-1.451586e-02,-2.037382e-03,9.292019e-03,-5.242562e-03,-2.183089e-04,-3.314274e-06,4.687500e+01,-1.041660e+00,1.458333e+01,8.125002e+01,-1.875464e-03,1.065993e-01,3.207895e+04,-7.284093e-02,-8.222677e-01,3.516724e-05,-5.209068e-01,-4.915255e-01,-1.409418e-01,-7.492984e-01,-8.922976e-01,7.729002e-01,-1.143411e+00,7.407086e-01,-1.978099e+00,-3.379697e+00,-6.088454e-01,8.353878e-01
xxx,0.070000,0,0,0,0,0,1.857547e-01,9.779003e-01,3.350097e-03,1.479167e-01,1.051381e-01,2.991210e-01,5.191928e-01,6.373312e-01,6.205013e-01,6.343557e-01,6.244202e-01,9.745606e-01,1.082268e+00,1.042595e+00,1.193821e+00,1.159931e+00,1.123757e+00,1.442681e+00,1.238814e+00,1.199954e+00,1.377135e+00,1.491137e+00,1.541503e+00,1.350164e+00,1.290031e+00,1.231287e+00,1.039703e+00,8.929297e-01,7.522890e-01,5.607899e-01,8.916711e-04,3.462830e-04,4.166667e+02,5.104167e+02,9.270833e+02,1.937500e+03,2.420587e-02,5.319437e+00,8.621732e+05,2.623713e+00,1.140729e+01,-2.238381e-04,1.769192e+01,-1.300711e+01,7.201346e+00,-1.864610e+01,4.668594e+00,-2.297739e+01,1.038668e+01,-1.122863e+01,1.773791e+01,-9.031223e+00,1.574910e+01,-2.179682e+01,0,-1.638869e-01,0,0,0,-1.238421e-04,1.069307e-03,-4.819902e-05,3.229164e-03,-9.851302e-03,9.254560e-03,1.447161e-02,-5.461246e-03,-2.572227e-03,-2.158132e-02,-4.248863e-02,4.725379e-02,1.885301e-02,4.216540e-03,-1.716154e-02,-2.230028e-02,-8.181548e-03,7.263140e-02,-1.987937e-02,-5.240946e-02,1.147741e-02,2.822344e-02,4.628570e-02,7.888925e-03,-2.105684e-02,3.955626e-03,-2.416395e-02,-7.581037e-03,1.223429e-02,5.745095e-03,6.717950e-06,-1.406629e-05,1.875000e+01,1.041669e+00,-5.833333e+01,-5.625001e+01,-3.537780e-04,-5.038295e-02,-4.445482e+04,9.849362e-02,7.035823e-01,-5.630762e-06,1.499165e-01,1.625628e-01,-5.746561e-01,-1.018428e+00,-1.992726e+00,4.875769e-01,3.475805e-01,3.180705e+00,-1.382351e+00,-1.872169e+00,-1.033686e+00,1.636232e+00
xxx,0.080000,0,0,0,0,0,1.810751e-01,9.855077e-01,3.367263e-03,1.479167e-01,9.377452e-02,3.058690e-01,5.169595e-01,5.985272e-01,6.283486e-01,6.284837e-01,6.052236e-01,1.035796e+00,1.085929e+00,1.049670e+00,1.153459e+00,1.123072e+00,1.129503e+00,1.532132e+00,1.228704e+00,1.162603e+00,1.426069e+00,1.537169e+00,1.616867e+00,1.401231e+00,1.271351e+00,1.245429e+00,1.010128e+00,8.878759e-01,7.704849e-01,5.785403e-01,7.540553e-04,3.148137e-04,375,5.729167e+02,9.479167e+02,2.020833e+03,2.591632e-02,5.370423e+00,878903,2.491201e+00,1.043684e+01,-1.980570e-04,1.739903e+01,-1.272840e+01,7.623041e+00,-1.866512e+01,4.038936e+00,-1.997124e+01,1.398757e+01,-1.285396e+00,1.790484e+01,-6.177344e+00,1.515522e+01,-1.908502e+01,0,1.355571e-02,0,0,0,-3.195989e-03,-1.902699e-03,1.014502e-04,-6.770834e-03,-5.044828e-03,1.098360e-02,1.581451e-03,-1.075225e-02,1.034837e-02,-1.683831e-03,-6.390852e-03,6.302252e-02,1.232147e-02,2.033460e-03,-6.401402e-02,-3.529583e-02,3.669417e-03,4.216344e-02,-1.759494e-02,-5.241366e-02,1.408219e-03,1.692957e-02,9.171272e-03,6.364274e-03,-6.196892e-03,-5.254018e-03,-3.640264e-02,-1.537076e-02,1.122156e-02,1.572571e-02,7.864519e-05,-3.816510e-05,-6.354166e+01,-2.291667e+01,-1.135417e+02,-1.843750e+02,1.936747e-04,-1.117214e-01,-8.176030e+04,2.226019e-01,1.738635e+00,-1.372763e-05,9.325024e-01,1.647919e+00,-2.718117e-01,-5.077133e-02,-2.370782e-01,1.237010e+00,1.274950e+00,3.324811e+00,-1.552776e+00,-6.752903e-01,-1.229073e+00,2.596681e+00
xxx,0.090000,0,0,0,0,0,1.747243e-01,9.827461e-01,3.611492e-03,1.302083e-01,8.981931e-02,3.158910e-01,4.994418e-01,5.780781e-01,6.520478e-01,6.539764e-01,6.393610e-01,1.116946e+00,1.085169e+00,1.055922e+00,1.036894e+00,1.075225e+00,1.166416e+00,1.552339e+00,1.224654e+00,1.123998e+00,1.423980e+00,1.541412e+00,1.601789e+00,1.409265e+00,1.270444e+00,1.225460e+00,9.665873e-01,8.624217e-01,7.774849e-01,6.063762e-01,1.015906e-03,2.510179e-04,2.395833e+02,4.687500e+02,6.875000e+02,1.593750e+03,2.501531e-02,5.021322e+00,6.698112e+05,3.030157e+00,1.477115e+01,-2.404901e-04,1.998500e+01,-9.513822e+00,6.666007e+00,-1.663704e+01,4.349974e+00,-2.027386e+01,1.402400e+01,-1.239667e+00,1.262201e+01,-9.161176e+00,1.111755e+01,-1.621057e+01,0,6.140680e-02,0,0,0,-4.964599e-03,-9.731692e-03,1.024338e-04,-1.385417e-02,4.209074e-03,1.541946e-02,1.481473e-05,-4.236162e-03,1.474069e-02,5.936205e-03,1.629359e-02,6.221921e-02,1.014485e-02,-9.166026e-03,-8.535752e-02,-3.868991e-02,-6.406152e-03,-2.054238e-03,-2.513195e-02,-6.561762e-02,-2.816753e-02,-2.054441e-03,-5.048152e-02,-1.854501e-02,1.524858e-02,-1.213930e-02,-4.774143e-02,-2.367487e-02,5.594403e-03,1.661841e-02,9.741383e-05,-4.363956e-05,-8.958333e+01,-3.541667e+01,-8.854166e+01,-2.125000e+02,-9.731734e-04,-9.850860e-02,-7.958402e+04,2.373049e-01,2.001142e+00,-1.201591e-05,1.319796e+00,2.184652e+00,4.218439e-01,7.681952e-01,1.873813e+00,1.368247e+00,1.093839e+00,1.820365e+00,-1.121343e+00,-4.553343e-01,-1.318887e+00,2.300189e+00
xxx,0.100000,0,6.140680e-01,0,0,0,1.690962e-01,9.642239e-01,3.778870e-03,1.072917e-01,1.019672e-01,3.341108e-01,4.985966e-01,5.950108e-01,6.704717e-01,6.597674e-01,6.687183e-01,1.187307e+00,1.103402e+00,1.039205e+00,9.257553e-01,1.033096e+00,1.149329e+00,1.501322e+00,1.188700e+00,1.039894e+00,1.359107e+00,1.513460e+00,1.484592e+00,1.360658e+00,1.307838e+00,1.199765e+00,9.058697e-01,8.325297e-01,7.829379e-01,6.264092e-01,1.176813e-03,2.034256e-04,8.333334e+01,4.062500e+02,6.458333e+02,1.354167e+03,2.366320e-02,5.050087e+00,6.444165e+05,3.243559e+00,1.680425e+01,-2.537144e-04,2.178565e+01,-5.714457e+00,9.418380e+00,-1.446156e+01,1.112808e+01,-1.697063e+01,1.553349e+01,-1.439998e+00,1.322968e+01,-8.840442e+00,1.265462e+01,-1.231484e+01,0,0,0,0,0,-4.448055e-03,-1.746732e-02,2.912558e-05,-1.291667e-02,1.187466e-02,2.104757e-02,1.119356e-02,6.700665e-03,1.176945e-02,1.218796e-04,1.600347e-02,4.142225e-02,1.386558e-02,-2.212064e-02,-6.814163e-02,-3.185796e-02,-3.186840e-02,-3.532431e-02,-4.339976e-02,-7.979517e-02,-5.746267e-02,-1.854551e-02,-1.000755e-01,-4.438047e-02,2.571287e-02,-1.442443e-02,-4.539490e-02,-2.235826e-02,-3.373277e-03,4.661137e-03,7.076624e-05,-3.322628e-05,-6.458333e+01,-4.270834e+01,-6.145833e+01,-1.760417e+02,-1.644150e-03,-7.563944e-02,-5.494719e+04,2.094618e-01,1.640890e+00,-8.405604e-06,9.950374e-01,1.816879e+00,3.997416e-01,7.060080e-01,2.579241e+00,9.269291e-01,9.948105e-01,1.161126e-01,7.177963e-02,-4.633075e-01,-7.784196e-01,7.992673e-01
