name,frameTime,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband25-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],F0final_sma_de,voicingFinalUnclipped_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de,audspec_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,pcm_RMSenergy_sma_de,pcm_zcr_sma_de,audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[25],pcm_fftMag_fband25-650_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12]
ang,0.010000,0,0,0,0,0,3.213341e-01,9.883412e-01,6.673870e-03,1.822917e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,1.958466e-03,1.568428e-03,5.625000e+02,7.291667e+02,1.552083e+03,2.770833e+03,1.618139e-02,5.529735e+00,1.313881e+06,1.927923e+00,6.319872e+00,-7.454303e-04,1.240794e+01,-1.482833e+01,6.233809e+00,-3.287769e+01,3.274188e+00,-1.610526e+01,2.857158e+01,-1.170784e+01,1.108197e+01,3.608701e+00,1.081847e+01,-2.419095e+01,0,6.093367e-02,0,0,0,-3.504854e-03,0,3.008181e-05,-2.395835e-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.471545e-04,-2.967317e-05,3.229167e+01,1.041666e+01,-1.260417e+02,-2.291665e+01,6.966550e-03,-7.623186e-02,-4.332781e+04,6.617235e-02,2.615550e-01,-1.120312e-05,-1.930535e-01,-3.558831e-01,-8.165768e-01,-1.409180e+00,3.794296e-01,1.653933e+00,1.648159e+00,7.773232e-01,-3.240074e+00,-1.821664e+00,1.419264e+00,1.399335e+00
ang,0.020000,0,6.093367e-01,0,0,0,3.137609e-01,9.883412e-01,6.816416e-03,1.729167e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,1.575126e-03,1.570912e-03,6.354167e+02,750,1.312500e+03,2.666667e+03,3.134577e-02,5.388706e+00,1198852,2.097701e+00,7.074411e+00,-7.389478e-04,1.217780e+01,-1.577168e+01,4.283924e+00,-3.489346e+01,2.836344e+00,-1.400978e+01,2.891204e+01,-1.299478e+01,2.333115e+00,-2.839116e+00,1.262734e+01,-2.053441e+01,0,1.096505e-01,0,0,0,-6.728843e-03,0,-7.079011e-05,-5.208373e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.682432e-04,-3.926600e-05,3.750000e+01,8.541665e+01,-5.729168e+01,8.541670e+01,8.786467e-03,-4.155755e-02,1.401326e+04,-4.368199e-02,-9.896436e-02,1.736370e-05,-4.674756e-01,-6.327475e-01,-1.123369e-01,-6.821850e-01,1.451101e+00,1.755556e+00,2.553959e+00,1.786283e+00,-3.908406e+00,-1.242332e+00,2.229211e+00,1.300448e+00
ang,0.030000,0,0,0,0,0,3.075965e-01,9.883412e-01,6.753006e-03,1.750000e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,1.414364e-03,1.418821e-03,6.875000e+02,7.708333e+02,1.041667e+03,2.708333e+03,4.343195e-02,5.219090e+00,1154757,2.173896e+00,7.250378e+00,-8.046872e-04,1.155773e+01,-1.613607e+01,3.125867e+00,-3.891571e+01,5.390259e+00,-8.883341e+00,3.664215e+01,-7.177759e+00,-7.439671e-01,-2.275712e+00,1.701035e+01,-1.902254e+01,0,1.035421e-01,0,0,0,-1.073848e-02,-3.162861e-03,-2.454096e-04,1.041666e-03,1.900285e-03,-6.475449e-05,-7.693887e-04,-1.378357e-03,4.750490e-04,-3.338313e-03,-7.147682e-03,-1.194618e-02,-6.853998e-03,-1.737809e-03,-4.529357e-03,6.850815e-03,-2.120018e-04,-4.102779e-03,-2.676558e-03,5.118132e-04,-4.170346e-03,-9.535765e-03,-1.033840e-02,-2.042222e-03,1.452160e-03,-4.387903e-03,-6.367040e-03,-6.209111e-03,-1.486361e-03,-4.130149e-03,-1.759993e-04,-9.567667e-05,-1.562500e+01,1.031250e+02,1.458334e+01,1.416667e+02,6.784791e-03,1.959171e-02,6.602571e+04,-1.350061e-01,-4.337852e-01,4.492456e-05,-1.172183e-01,-2.268825e-01,1.131310e+00,7.006603e-01,2.395967e+00,8.055853e-01,1.988471e+00,2.221061e+00,-2.346098e+00,1.707546e+00,2.574324e+00,1.011974e+00
ang,0.040000,0,5.482524e-01,0,0,0,2.945587e-01,9.883412e-01,6.280351e-03,1.833333e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,8.893014e-04,1.446902e-03,6.875000e+02,1.135417e+03,1.520833e+03,3.229167e+03,4.648845e-02,5.477270e+00,1.463510e+06,1.586527e+00,5.359798e+00,-6.289834e-04,1.049566e+01,-1.733820e+01,7.226095e+00,-3.326961e+01,9.471657e+00,-1.093844e+01,3.730610e+01,-5.041470e+00,-2.547087e+00,3.392447e-01,1.886858e+01,-2.027291e+01,0,-6.704210e-02,0,0,0,-1.312806e-02,-1.013857e-02,-3.966234e-04,1.354167e-03,6.087792e-03,1.170719e-03,2.437198e-03,3.861982e-03,5.765712e-03,-6.689775e-03,-1.923588e-02,-3.662332e-02,-2.498524e-02,-8.331764e-03,-1.001991e-02,2.189364e-02,-3.453684e-03,-1.414267e-02,-9.091437e-03,-6.386149e-03,-1.350921e-02,-2.841898e-02,-3.282833e-02,-1.088372e-02,-3.801250e-03,-1.448026e-02,-2.169812e-02,-2.013076e-02,-5.865186e-03,-1.424426e-02,3.021734e-06,-1.397103e-04,-7.916667e+01,8.229167e+01,8.750000e+01,1.072916e+02,1.937540e-03,1.118290e-01,7.766548e+04,-1.589880e-01,-4.509520e-01,7.753621e-05,7.825035e-01,4.926986e-01,2.434408e+00,2.525875e+00,2.048761e+00,-1.689468e+00,-1.144487e+00,4.054533e-01,-2.553864e-01,3.016363e+00,1.546830e+00,2.334213e-02
ang,0.050000,0,5.482524e-01,0,0,0,2.772428e-01,9.725268e-01,5.714854e-03,1.822917e-01,1.387176e-01,2.717246e-01,4.156810e-01,5.475555e-01,6.721042e-01,7.492046e-01,8.112900e-01,8.580983e-01,9.479795e-01,1.034410e+00,1.079453e+00,1.194324e+00,1.216071e+00,1.252323e+00,1.312829e+00,1.378140e+00,1.397205e+00,1.400802e+00,1.406186e+00,1.422493e+00,1.366007e+00,1.210400e+00,1.037320e+00,8.648821e-01,7.268166e-01,5.736803e-01,1.421382e-03,1.152050e-03,4.583333e+02,1.052083e+03,1.520833e+03,3.197917e+03,4.253401e-02,5.583412e+00,1511681,1.508480e+00,5.008253e+00,-5.757897e-04,1.266292e+01,-1.517948e+01,1.041927e+01,-3.018632e+01,1.193637e+01,-1.361300e+01,3.431691e+01,-4.579194e+00,1.791585e+00,1.055725e+01,2.056947e+01,-1.926182e+01,0,-5.482524e-02,0,0,0,-1.332598e-02,-2.002509e-02,-3.894994e-04,-2.812497e-03,1.026798e-02,2.273482e-03,1.286690e-02,2.245808e-02,1.303761e-02,-8.687985e-03,-3.118940e-02,-6.607991e-02,-5.034286e-02,-1.612515e-02,-1.184337e-02,3.690396e-02,-1.046724e-02,-2.621344e-02,-1.829978e-02,-2.655160e-02,-2.576720e-02,-5.314313e-02,-6.170569e-02,-2.994189e-02,-2.382531e-02,-3.156124e-02,-4.211113e-02,-4.108881e-02,-1.480704e-02,-2.870804e-02,1.322948e-04,-1.513408e-04,-100,-3.020833e+01,9.375000e+00,-8.125000e+01,-2.847082e-03,1.011744e-01,-1.337703e+04,-1.366315e-02,6.281142e-02,7.476033e-05,1.625668e+00,7.501153e-01,1.905349e+00,2.272392e+00,8.080187e-01,-2.644539e+00,-3.321990e+00,-1.815388e+00,6.855406e-01,1.991217e+00,3.729652e-01,-2.187580e-01
ang,0.060000,0,0,0,0,0,2.632974e-01,9.455554e-01,5.352375e-03,1.760417e-01,1.549044e-01,2.780639e-01,4.336374e-01,5.772031e-01,6.973699e-01,7.407930e-01,7.687182e-01,7.645780e-01,8.744583e-01,1.005785e+00,1.063323e+00,1.252411e+00,1.200392e+00,1.212380e+00,1.287446e+00,1.342371e+00,1.360936e+00,1.330226e+00,1.319582e+00,1.383391e+00,1.336110e+00,1.170908e+00,9.765820e-01,8.107966e-01,7.086384e-01,5.334352e-01,1.586726e-03,1.005746e-03,3.541667e+02,1.020833e+03,1.510417e+03,2.958333e+03,4.148244e-02,5.765690e+00,1.408717e+06,1.635469e+00,5.940714e+00,-4.657155e-04,1.553773e+01,-1.378648e+01,1.280926e+01,-2.662878e+01,9.807095e+00,-2.009228e+01,2.435222e+01,-1.226680e+01,-2.115931e-01,5.826214e+00,1.858193e+01,-2.029806e+01,0,-1.644757e-01,0,0,0,-9.818578e-03,-2.685478e-02,-2.161422e-04,-6.979165e-03,1.192090e-02,3.446424e-03,2.762409e-02,4.900768e-02,2.127287e-02,-8.786380e-04,-2.694475e-02,-7.566275e-02,-6.622703e-02,-2.347177e-02,-2.503431e-03,3.754150e-02,-2.125266e-02,-3.474202e-02,-2.869329e-02,-5.874610e-02,-3.455653e-02,-6.715286e-02,-7.412489e-02,-5.355378e-02,-5.648829e-02,-4.786143e-02,-5.457699e-02,-5.573927e-02,-2.626551e-02,-3.959515e-02,2.702083e-04,-1.589565e-04,-7.916667e+01,-1.354167e+02,-1.614583e+02,-2.593750e+02,-3.724224e-03,-7.454681e-03,-1.220703e+05,1.893963e-01,7.815508e-01,2.013748e-05,1.949400e+00,8.974832e-01,9.173638e-01,5.169178e-01,-3.129541e-01,-2.109494e+00,-3.062845e+00,-1.819149e+00,1.377936e+00,-3.182107e-01,-1.629650e-01,-5.348942e-01
ang,0.070000,0,0,0,0,0,2.565972e-01,9.096085e-01,5.269498e-03,1.645833e-01,1.677120e-01,2.804081e-01,4.768077e-01,6.553598e-01,7.210965e-01,7.350078e-01,7.302365e-01,6.640552e-01,7.844308e-01,9.811308e-01,1.062271e+00,1.298419e+00,1.173164e+00,1.171998e+00,1.254096e+00,1.259428e+00,1.317781e+00,1.241893e+00,1.218497e+00,1.307651e+00,1.250938e+00,1.105249e+00,9.048858e-01,7.330491e-01,6.730182e-01,4.812388e-01,1.727125e-03,8.826950e-04,3.541667e+02,6.770833e+02,1.093750e+03,2.437500e+03,3.169954e-02,5.580752e+00,1.115268e+06,2.081109e+00,7.273977e+00,-5.125194e-04,1.716504e+01,-1.416135e+01,9.861026e+00,-3.087416e+01,9.262633e+00,-1.752911e+01,2.650914e+01,-1.264204e+01,1.515989e+00,4.936886e+00,1.901850e+01,-2.010376e+01,0,-1.096505e-01,0,0,0,-6.981242e-03,-2.688296e-02,9.734276e-06,-1.041667e-02,9.366358e-03,6.506455e-03,3.820950e-02,6.050616e-02,2.172552e-02,1.321450e-02,-7.796729e-03,-5.726032e-02,-6.360636e-02,-2.516205e-02,1.546506e-02,1.200020e-02,-2.956686e-02,-3.062288e-02,-3.313153e-02,-8.241031e-02,-4.100995e-02,-6.245619e-02,-5.567169e-02,-6.844634e-02,-8.222227e-02,-5.751209e-02,-4.942585e-02,-5.308044e-02,-3.678130e-02,-3.978690e-02,2.288694e-04,-9.488446e-05,-4.687500e+01,-1.312500e+02,-1.687500e+02,-2.395833e+02,-2.363549e-03,-1.062916e-01,-1.284078e+05,2.056665e-01,8.339387e-01,-7.304768e-06,1.436065e+00,5.937971e-01,6.507012e-01,1.313425e-01,2.934999e-02,-8.854139e-01,-1.148729e+00,-3.119017e-01,1.211810e+00,-1.063760e+00,5.707232e-01,-1.354301e+00
ang,0.080000,0,0,0,0,0,2.557886e-01,8.855264e-01,5.422319e-03,1.572917e-01,1.743235e-01,2.849388e-01,5.270850e-01,7.455835e-01,7.515971e-01,7.686014e-01,7.528315e-01,6.365370e-01,7.328887e-01,9.523804e-01,1.098173e+00,1.295730e+00,1.132321e+00,1.139289e+00,1.212112e+00,1.141206e+00,1.284986e+00,1.192171e+00,1.181097e+00,1.222356e+00,1.133839e+00,1.045608e+00,8.624870e-01,6.831477e-01,6.298200e-01,4.425761e-01,2.087471e-03,7.867969e-04,3.437500e+02,6.458333e+02,9.270833e+02,2.312500e+03,3.328456e-02,5.441326e+00,1.051365e+06,2.247193e+00,8.134690e+00,-5.599311e-04,1.799159e+01,-1.335985e+01,1.209204e+01,-3.034110e+01,9.243752e+00,-1.952785e+01,2.589576e+01,-1.010579e+01,4.480391e+00,1.558374e+00,1.882924e+01,-2.252641e+01,0,0,0,0,0,-6.247558e-03,-2.317239e-02,1.456458e-04,-1.145833e-02,7.338235e-03,1.378403e-02,2.848952e-02,3.344714e-02,1.529571e-02,2.472853e-02,1.042157e-02,-3.108775e-02,-5.114207e-02,-2.360535e-02,2.719999e-02,-2.629337e-02,-3.042395e-02,-2.274990e-02,-3.345407e-02,-7.744287e-02,-5.256478e-02,-4.909118e-02,-1.999717e-02,-6.447748e-02,-7.948940e-02,-5.887431e-02,-3.316685e-02,-3.592462e-02,-4.232912e-02,-3.107224e-02,2.876194e-04,-7.238011e-05,-7.291666e+01,-1.156250e+02,-1.500000e+02,-1.572916e+02,-6.792080e-04,-2.137628e-01,-8.584226e+04,1.592953e-01,6.383913e-01,-3.404428e-05,8.242208e-01,7.157124e-01,1.029689e+00,5.085266e-01,1.167927e+00,3.754244e-01,1.035147e+00,2.599560e+00,3.024632e+00,1.535558e+00,2.488197e+00,-1.559448e+00
ang,0.090000,0,0,0,0,0,2.460910e-01,8.681266e-01,5.728554e-03,1.395833e-01,1.758399e-01,3.008194e-01,5.600047e-01,7.658961e-01,7.536182e-01,8.013729e-01,7.802498e-01,6.358172e-01,7.007325e-01,9.353025e-01,1.139353e+00,1.232666e+00,1.102272e+00,1.135754e+00,1.184838e+00,1.066671e+00,1.230130e+00,1.157548e+00,1.197069e+00,1.160779e+00,1.056031e+00,9.854898e-01,8.472380e-01,6.633043e-01,5.823193e-01,4.201754e-01,2.315356e-03,7.871021e-04,2.291667e+02,5.833333e+02,9.687500e+02,2.322917e+03,3.481521e-02,5.214136e+00,1.048318e+06,2.230949e+00,8.080958e+00,-5.652058e-04,1.861631e+01,-1.242382e+01,1.403139e+01,-2.767345e+01,1.236479e+01,-1.832229e+01,2.780150e+01,-7.219204e+00,5.504645e+00,7.372374e+00,2.329943e+01,-2.491915e+01,0,0,0,0,0,-6.701146e-03,-1.879478e-02,1.582204e-04,-1.031250e-02,8.701542e-03,2.624056e-02,6.759113e-03,-1.543395e-02,8.138943e-03,2.468435e-02,1.588994e-02,-1.375947e-02,-4.265370e-02,-2.536048e-02,2.241069e-02,-5.892418e-02,-2.563844e-02,-1.991956e-02,-3.074771e-02,-4.398999e-02,-6.532452e-02,-3.160786e-02,1.065891e-02,-4.749953e-02,-5.470122e-02,-5.158054e-02,-1.590886e-02,-1.080302e-02,-3.983634e-02,-1.845876e-02,2.860729e-04,-5.572636e-05,-8.958333e+01,-6.562498e+01,-6.250000e+01,-1.041666e+02,1.357593e-03,-2.224428e-01,-3.941746e+04,9.713733e-02,5.907974e-01,-3.214025e-05,4.874878e-01,1.179666e+00,1.763942e+00,1.453218e+00,1.152061e+00,8.843138e-01,1.733118e+00,2.370661e+00,3.046544e+00,1.783310e+00,2.205019e+00,-1.653342e+00
ang,0.100000,0,0,0,0,0,2.373127e-01,8.504345e-01,5.851076e-03,1.312500e-01,1.875317e-01,3.367783e-01,5.344865e-01,6.891707e-01,7.575876e-01,8.312531e-01,7.958195e-01,6.232583e-01,6.605971e-01,9.106725e-01,1.160782e+00,1.153821e+00,1.083718e+00,1.116753e+00,1.154804e+00,1.051535e+00,1.141938e+00,1.126942e+00,1.230310e+00,1.134440e+00,1.036116e+00,9.364164e-01,8.395717e-01,6.660458e-01,5.423422e-01,4.086057e-01,2.730707e-03,6.916419e-04,5.208333e+01,4.895833e+02,8.229167e+02,2.229167e+03,3.652857e-02,4.880185e+00,1012981,2.357025e+00,8.729179e+00,-6.095938e-04,1.893320e+01,-1.107669e+01,1.587253e+01,-2.568651e+01,1.409565e+01,-1.781857e+01,2.888178e+01,-1.980410e+00,1.291724e+01,1.228626e+01,2.888245e+01,-2.568760e+01,0,0,0,0,0,-7.412912e-03,-1.754585e-02,5.030231e-05,-9.895833e-03,1.138920e-02,3.447996e-02,-1.163537e-02,-4.850142e-02,-5.090254e-03,5.073100e-03,4.618096e-03,-1.038975e-02,-4.074842e-02,-3.005485e-02,-1.469791e-03,-7.336292e-02,-2.334700e-02,-3.096313e-02,-2.692962e-02,-1.381540e-03,-6.505895e-02,-1.701547e-02,1.673199e-02,-3.065124e-02,-3.318727e-02,-4.013802e-02,-5.371988e-03,6.144559e-03,-2.969711e-02,-9.635305e-03,2.087811e-04,-6.246710e-05,-6.979166e+01,-7.604166e+01,-6.354167e+01,-1.114583e+02,7.182456e-04,-1.906697e-01,-4.064226e+04,9.836791e-02,6.252475e-01,-2.298486e-05,3.147831e-01,1.301597e+00,1.809250e+00,1.237537e+00,4.033768e-01,1.851712e+00,1.874278e+00,-2.191276e-02,1.798623e+00,-1.613745e-02,1.054035e-01,-1.394702e+00
