name,frameTime,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband25-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],F0final_sma_de,voicingFinalUnclipped_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de,audspec_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,pcm_RMSenergy_sma_de,pcm_zcr_sma_de,audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[25],pcm_fftMag_fband25-650_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12]
fru,0.010000,0,0,0,0,0,8.314808e-01,9.883412e-01,6.775544e-02,7.187500e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,5.370507e-01,7.142422e-02,4.895833e+02,5.416667e+02,6.770833e+02,7.291667e+02,1.339524e-01,3.458017e+00,7.518116e+04,3.226485e+00,2.771477e+01,-1.051416e-01,4.090531e+01,-1.376210e+01,-1.410968e+01,-1.348482e+01,-1.283891e+01,-2.411064e+01,-9.222290e+00,-7.216096e+00,-1.346180e+01,-1.519214e+01,2.759098e+01,-7.235289e+00,7.640751e+01,2.216098e-01,0,0,4.076933e-02,2.752022e-02,0,1.114935e-03,3.125001e-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.716227e-02,2.037187e-02,-1.458334e+01,-1.875001e+01,2.395834e+01,9.375000e+01,7.611404e-02,1.477431e-01,1.071224e+04,-3.630260e-01,-3.775053e+00,-1.812741e-03,2.352066e-02,-8.495510e-01,-1.682512e+00,-3.602908e-01,9.342785e-01,3.122497e+00,-5.223584e-02,-4.907300e+00,1.994366e+00,-1.115682e+00,-3.683158e+00,-2.896067e+00
fru,0.020000,2.538176e+02,7.461718e-01,0,0,0,9.113647e-01,9.883412e-01,7.099336e-02,7.812500e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,5.373900e-01,1.309409e-01,4.895833e+02,5.416667e+02,750,8.958333e+02,2.530955e-01,3.799787e+00,8.804179e+04,2.337555e+00,1.927681e+01,-1.185565e-01,4.189761e+01,-1.566499e+01,-1.892830e+01,-1.604487e+01,-1.141052e+01,-1.786903e+01,-7.640368e+00,-1.554948e+01,-1.004154e+01,-1.612442e+01,2.192794e+01,-1.146208e+01,7.686806e+01,2.168691e-01,2.724794e-03,1.468729e-03,6.115400e-02,2.658498e-02,0,5.036168e-04,4.791668e-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.465791e-02,1.805578e-02,-4.062501e+01,-3.229167e+01,2.291668e+01,1.364583e+02,9.149727e-02,1.942121e-01,2.232474e+04,-4.126966e-01,-4.382115e+00,1.183075e-03,-3.838821e-01,-6.062110e-01,-1.200040e+00,6.728705e-01,1.429538e+00,4.645790e+00,-8.321284e-01,-7.844263e+00,3.740285e+00,-2.571681e+00,-6.101549e+00,-5.855287e+00
fru,0.030000,2.551287e+02,7.349629e-01,0,0,2.038467e-01,9.291399e-01,9.883412e-01,7.171115e-02,8.437500e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,4.510697e-01,1.435252e-01,4.166667e+02,4.479167e+02,7.604167e+02,1.114583e+03,4.549510e-01,4.025847e+00,1.223120e+05,1.855819e+00,1.305848e+01,-1.074979e-01,4.052676e+01,-1.705840e+01,-2.011293e+01,-1.400625e+01,-8.881709e+00,-1.161896e+01,-1.027443e+01,-2.758591e+01,-5.200099e+00,-2.030441e+01,1.200671e+01,-1.960223e+01,2.958344e-01,1.392712e-01,1.362397e-03,7.343647e-04,2.038467e-02,1.374372e-02,3.201973e-03,-1.013391e-03,5.104168e-03,-5.553365e-05,2.300352e-03,3.047466e-03,3.862655e-03,-6.425119e-03,-5.391550e-03,-1.933074e-03,-1.106250e-03,-3.429592e-03,-6.914258e-03,9.416103e-04,1.583240e-02,-5.572319e-04,-1.253111e-02,-2.611566e-03,2.670343e-02,8.034634e-03,7.985091e-03,1.882946e-02,-2.336955e-03,2.999568e-03,5.436254e-03,1.105702e-02,9.674800e-03,1.021957e-02,-3.811836e-04,-5.509498e-02,3.493621e-03,-6.458334e+01,-3.437500e+01,1.875000e+01,1.302083e+02,7.694393e-02,1.832708e-01,2.929432e+04,-2.641637e-01,-3.086617e+00,7.378039e-03,-1.159829e+00,-2.651210e-01,5.048828e-02,1.591271e+00,1.551172e+00,4.477314e+00,-1.384896e+00,-8.535536e+00,4.664812e+00,-3.558084e+00,-7.306641e+00,-7.572520e+00
fru,0.040000,2.567759e+02,7.168642e-01,1.362397e-02,7.343647e-03,2.038467e-01,9.155762e-01,9.883412e-01,6.829567e-02,8.958334e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,4.067517e-01,1.256526e-01,3.229167e+02,4.270833e+02,750,1.218750e+03,4.309394e-01,4.145162e+00,1.632394e+05,1.848334e+00,1.313233e+01,-9.804813e-02,3.917517e+01,-1.514500e+01,-1.710825e+01,-9.859755e+00,-7.669816e+00,-7.127530e+00,-1.285686e+01,-3.625251e+01,1.108776e+00,-2.549441e+01,4.875371e+00,-3.032825e+01,-1.999292e+01,-9.138751e-03,0,0,-2.038467e-02,5.425638e-03,1.299817e-02,-2.274737e-03,4.479168e-03,-5.851627e-04,4.452971e-03,5.130857e-03,6.475371e-03,-1.953429e-02,-1.479883e-02,-5.140769e-03,-8.972466e-04,-9.476942e-03,-2.135730e-02,2.162647e-03,5.702525e-02,1.369376e-02,-3.009230e-02,-1.620424e-03,8.666910e-02,2.588202e-02,2.752382e-02,7.387267e-02,2.796256e-03,1.246241e-02,2.292968e-02,3.705448e-02,3.036987e-02,3.297973e-02,-2.539158e-05,-6.535351e-02,-9.354518e-03,-4.791666e+01,6.249994e+00,3.645832e+01,8.541667e+01,1.732478e-02,1.660572e-01,2.892517e+04,-5.622588e-02,-7.473742e-01,1.178283e-02,-1.815956e+00,-4.061581e-01,1.002412e+00,1.612616e+00,1.147032e+00,2.412979e+00,-1.041103e+00,-4.650287e+00,4.765832e+00,-3.498056e+00,-5.537378e+00,-6.444805e+00
fru,0.050000,0,7.110097e-01,0,0,0,8.980937e-01,1.004351e+00,6.403733e-02,9.166667e-02,1.289385e-01,2.835501e-01,4.347652e-01,5.737606e-01,6.376033e-01,7.389384e-01,8.373631e-01,9.122980e-01,9.651015e-01,1.008528e+00,1.106807e+00,1.239232e+00,1.214345e+00,1.210181e+00,1.313154e+00,1.509098e+00,1.458230e+00,1.488407e+00,1.552025e+00,1.421019e+00,1.373744e+00,1.259521e+00,1.124440e+00,9.443016e-01,7.853463e-01,5.924252e-01,3.268950e-01,9.153648e-02,250,4.270833e+02,7.708333e+02,1.218750e+03,4.297501e-01,4.201683e+00,1.840540e+05,2.150276e+00,1.535392e+01,-7.850563e-02,3.646738e+01,-1.534770e+01,-1.476726e+01,-8.621026e+00,-6.953400e+00,-7.094819e+00,-1.353852e+01,-3.954226e+01,4.287098e+00,-2.829756e+01,-4.159405e-01,-3.566480e+01,8.525317e+00,-2.288985e-03,1.744007e-02,-7.343647e-04,-2.564530e-02,3.696273e-02,3.375432e-02,-5.279422e-04,4.270833e-03,-1.953113e-03,3.990307e-03,3.318348e-03,5.435765e-03,-3.080829e-02,-1.429185e-02,3.108144e-04,8.044058e-03,-1.047894e-02,-3.231582e-02,5.177009e-03,1.216873e-01,5.992100e-02,-2.847521e-02,1.597947e-02,1.793569e-01,5.526409e-02,5.367044e-02,1.686459e-01,3.512896e-02,3.437507e-02,5.871534e-02,7.152408e-02,5.528865e-02,5.918429e-02,9.180665e-04,-1.705934e-02,2.214014e-03,3.125006e+00,4.687500e+01,4.687499e+01,4.270834e+01,-7.977220e-03,1.424735e-01,1.743651e+04,2.244554e-02,1.762212e-01,2.017660e-03,-1.734023e+00,-1.557191e+00,8.050402e-01,-2.045102e-01,1.711750e-03,-9.997553e-01,1.346115e-01,5.784981e-01,3.065681e+00,-1.728946e+00,-2.164150e+00,-3.574442e+00
fru,0.060000,2.814174e+02,7.124546e-01,0,0,0,9.540160e-01,1.045327e+00,6.345659e-02,9.687500e-02,1.264292e-01,2.885624e-01,4.375635e-01,5.771675e-01,5.881203e-01,7.053809e-01,8.261573e-01,9.161086e-01,9.434388e-01,9.535986e-01,1.110559e+00,1.405615e+00,1.286993e+00,1.153703e+00,1.324638e+00,1.742168e+00,1.527380e+00,1.566137e+00,1.780167e+00,1.452528e+00,1.413559e+00,1.333398e+00,1.226785e+00,1.023590e+00,8.735981e-01,5.951571e-01,2.727098e-01,1.101627e-01,3.333333e+02,5.833333e+02,9.270833e+02,1.270833e+03,3.523199e-01,4.542155e+00,2.017967e+05,1.909197e+00,1.439222e+01,-7.413849e-02,3.484752e+01,-1.855113e+01,-1.658908e+01,-1.067441e+01,-6.639514e+00,-8.066205e+00,-1.121383e+01,-3.282273e+01,9.044017e+00,-2.961812e+01,4.523729e-01,-3.565482e+01,3.580461e+01,5.579961e-03,2.913664e-02,1.136241e-02,7.223177e-03,7.911484e-02,6.591739e-02,2.407443e-03,6.874999e-03,-4.017693e-03,-3.762308e-03,-7.393292e-03,-4.438776e-03,-2.613606e-02,8.649659e-03,1.906610e-02,2.210028e-02,-2.243209e-03,-2.819473e-02,9.788024e-03,1.800117e-01,1.557146e-01,4.041537e-02,7.365786e-02,2.760528e-01,1.045452e-01,8.463943e-02,2.804866e-01,1.283050e-01,7.276259e-02,1.115097e-01,9.256715e-02,6.269626e-02,6.536873e-02,1.702070e-03,1.225119e-02,2.319953e-02,5.937500e+01,5.937500e+01,9.062499e+01,7.500002e+01,1.910502e-02,1.501426e-01,2.093755e+04,-5.947173e-02,-9.046254e-01,-5.306864e-03,-1.867723e+00,-3.955626e+00,9.972922e-01,-1.853005e+00,-1.162188e+00,-3.855476e+00,4.610215e-01,5.193448e+00,1.734204e+00,1.270895e-01,8.294849e-01,-3.330231e-04
fru,0.070000,2.854346e+02,7.257227e-01,9.401235e-02,0,1.775435e-01,1.094734e+00,1.128620e+00,7.149098e-02,1.020833e-01,1.208441e-01,2.837429e-01,4.271019e-01,5.702660e-01,5.564918e-01,7.246946e-01,8.590181e-01,9.589098e-01,9.492602e-01,9.262707e-01,1.123755e+00,1.645734e+00,1.481805e+00,1.190028e+00,1.406896e+00,2.089072e+00,1.639715e+00,1.658005e+00,2.139962e+00,1.598437e+00,1.503215e+00,1.475388e+00,1.347960e+00,1.108540e+00,9.604950e-01,5.985084e-01,4.327939e-01,1.623402e-01,4.270833e+02,6.041667e+02,9.062500e+02,1.302083e+03,4.543746e-01,4.539718e+00,1.902160e+05,1.937615e+00,1.330964e+01,-1.093645e-01,3.402047e+01,-2.314129e+01,-1.634732e+01,-1.462148e+01,-9.388301e+00,-1.614840e+01,-1.042289e+01,-2.640830e+01,6.160685e+00,-2.688728e+01,3.397458e+00,-3.481116e+01,5.961271e+01,1.123120e-02,2.709126e-02,1.984446e-02,5.258502e-02,1.004484e-01,1.035043e-01,4.280382e-03,9.479165e-03,-5.455115e-03,-1.732077e-02,-2.374197e-02,-1.969390e-02,-2.167028e-03,5.124649e-02,4.643728e-02,2.963524e-02,6.540710e-03,-1.363547e-02,9.379769e-03,2.006403e-01,2.886232e-01,1.931426e-01,1.656231e-01,3.380876e-01,1.948549e-01,1.233998e-01,3.836612e-01,2.942738e-01,1.220160e-01,1.653704e-01,8.544586e-02,3.764391e-02,3.794125e-02,-8.362651e-04,4.664353e-02,3.359655e-02,7.812500e+01,3.645833e+01,8.541667e+01,1.197917e+02,3.527491e-02,5.556917e-02,3.104615e+04,-9.848490e-02,-1.949355e+00,-1.141843e-02,-1.923066e+00,-5.176038e+00,2.700294e+00,-2.887968e+00,-2.279166e+00,-5.520768e+00,3.102786e-01,7.656088e+00,1.664587e+00,1.537669e+00,2.132905e+00,2.461878e+00
fru,0.080000,2.930817e+02,7.374074e-01,1.123010e-01,6.415572e-02,1.511908e-01,1.212830e+00,1.255794e+00,7.660606e-02,1.187500e-01,1.131749e-01,2.531404e-01,3.863932e-01,5.340007e-01,5.796044e-01,8.162664e-01,9.315314e-01,1.005025e+00,9.789541e-01,9.432545e-01,1.142566e+00,1.856878e+00,1.861974e+00,1.484990e+00,1.647630e+00,2.465858e+00,1.850039e+00,1.786879e+00,2.566342e+00,1.985520e+00,1.657824e+00,1.681955e+00,1.420231e+00,1.127290e+00,9.735177e-01,5.997998e-01,4.150581e-01,2.062484e-01,5.312500e+02,6.354167e+02,1.135417e+03,1.552083e+03,5.141522e-01,4.726858e+00,2.648462e+05,1.657306e+00,9.631346e+00,-1.091530e-01,3.106001e+01,-3.102633e+01,-1.133176e+01,-1.612455e+01,-1.226330e+01,-2.187812e+01,-1.210957e+01,-1.685225e+01,8.843004e+00,-2.556410e+01,7.116096e+00,-3.075674e+01,2.402930e+00,1.392840e-02,9.398351e-03,1.624223e-02,2.347975e-02,8.468820e-02,1.364739e-01,3.539316e-03,9.687500e-03,-4.787644e-03,-2.972330e-02,-3.558460e-02,-2.758650e-02,2.520472e-02,8.871461e-02,6.326684e-02,1.568314e-02,2.132404e-03,-1.334798e-02,-6.274545e-03,1.789381e-01,4.035916e-01,3.616889e-01,2.533221e-01,3.750392e-01,3.417192e-01,1.735658e-01,4.727258e-01,4.996070e-01,1.722599e-01,2.021192e-01,6.260278e-02,-7.918847e-03,-9.466469e-03,-9.168702e-03,4.616269e-02,2.418173e-02,5.312500e+01,-2.083337e+00,5.208334e+01,1.333333e+02,2.605998e-02,-7.026391e-02,4.340614e+04,-3.175112e-02,-1.973319e+00,-8.274755e-03,-2.165488e+00,-5.004346e+00,5.085525e+00,-3.276747e+00,-2.854813e+00,-5.675149e+00,-3.176231e-02,7.403807e+00,2.274936e+00,2.054821e+00,1.622558e+00,3.807814e+00
fru,0.090000,2.922314e+02,7.546893e-01,7.930581e-02,6.714442e-02,1.873297e-01,1.270929e+00,1.416639e+00,7.886451e-02,1.281250e-01,1.082901e-01,2.146572e-01,3.416406e-01,4.968745e-01,6.310261e-01,9.397281e-01,1.016862e+00,1.016016e+00,9.800474e-01,9.455228e-01,1.137703e+00,2.016803e+00,2.369970e+00,2.010250e+00,1.979774e+00,2.837691e+00,2.271174e+00,1.995035e+00,3.077244e+00,2.625892e+00,1.861692e+00,1.912094e+00,1.454947e+00,1.080671e+00,9.250927e-01,5.859225e-01,4.889385e-01,2.114764e-01,5.416667e+02,5.833333e+02,1.093750e+03,1.677083e+03,5.252084e-01,4.387177e+00,3.077600e+05,1.783798e+00,7.987585e+00,-1.180905e-01,2.874581e+01,-3.499029e+01,-3.894448e+00,-2.033579e+01,-1.553734e+01,-2.779270e+01,-1.153926e+01,-9.247066e+00,1.271054e+01,-2.263622e+01,6.916726e+00,-2.580445e+01,4.479065e-02,1.066074e-02,-2.334599e-02,4.315189e-03,-1.994271e-02,4.304757e-02,1.460535e-01,1.408245e-03,6.770833e-03,-2.211653e-03,-3.626468e-02,-3.874828e-02,-2.552072e-02,3.738550e-02,9.457627e-02,5.315688e-02,-1.244232e-02,-1.534852e-02,-4.158892e-02,-3.863764e-02,1.180054e-01,4.382051e-01,4.497932e-01,2.768617e-01,3.534978e-01,4.842268e-01,2.001278e-01,5.253900e-01,6.565852e-01,1.995335e-01,2.027944e-01,4.151188e-02,-5.142544e-02,-5.167515e-02,-2.039673e-02,1.917049e-02,3.353368e-03,2.187500e+01,-1.354167e+01,-6.250000e+00,1.052083e+02,-1.840524e-02,-1.317185e-01,4.170435e+04,3.390253e-02,-1.313247e+00,-1.106507e-03,-1.950225e+00,-3.405949e+00,5.272130e+00,-3.374309e+00,-2.383549e+00,-4.701649e+00,1.217473e-01,6.125688e+00,2.241085e+00,7.682480e-01,3.380646e-01,3.772039e+00
fru,0.100000,2.900336e+02,7.676134e-01,5.434503e-02,4.763892e-02,1.125057e-01,1.289359e+00,1.583687e+00,7.746641e-02,1.322917e-01,1.087680e-01,1.744887e-01,3.023712e-01,4.759308e-01,6.768767e-01,1.041437e+00,1.063569e+00,9.659712e-01,9.387072e-01,8.772326e-01,1.072212e+00,2.114772e+00,2.860868e+00,2.552036e+00,2.304810e+00,3.243054e+00,2.920246e+00,2.265452e+00,3.675156e+00,3.436835e+00,2.095620e+00,2.125640e+00,1.486306e+00,9.979300e-01,8.439669e-01,5.556065e-01,4.754510e-01,2.065033e-01,5.416667e+02,5.833333e+02,1.093750e+03,1750,4.472029e-01,4.267106e+00,3.600554e+05,1.827351e+00,7.186652e+00,-1.111492e-01,2.665741e+01,-3.764836e+01,2.612115e+00,-2.420099e+01,-1.783906e+01,-3.061980e+01,-1.081446e+01,-4.384319e+00,1.714377e+01,-2.146954e+01,6.805529e+00,-2.111910e+01,-1.635162e+00,3.183198e-03,-2.482980e-02,-1.183792e-02,-3.373864e-02,1.721411e-02,1.200495e-01,9.689808e-04,9.374991e-04,-2.266921e-04,-3.238947e-02,-2.792237e-02,-5.855751e-03,3.399741e-02,7.541192e-02,2.620718e-02,-2.816322e-02,-2.684309e-02,-8.177596e-02,-7.338668e-02,3.849683e-02,3.433129e-01,3.763461e-01,2.010805e-01,2.795143e-01,5.053821e-01,1.655914e-01,4.902411e-01,6.651069e-01,1.823175e-01,1.563294e-01,2.825099e-02,-7.153602e-02,-7.006587e-02,-2.813460e-02,5.662500e-02,-1.187918e-02,-3.125006e+00,-1.666667e+01,-8.854166e+01,-1.770835e+01,-3.208590e-02,-1.644313e-01,1.088132e+04,1.991749e-01,4.399217e-01,-7.043889e-03,-7.518147e-01,-1.030820e+00,3.721462e+00,-3.557941e+00,-2.587565e+00,-3.831971e+00,-5.704337e-01,3.018511e+00,-3.555974e-01,-1.063271e+00,-1.495378e+00,1.686656e+00
