name,frameTime,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband25-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],F0final_sma_de,voicingFinalUnclipped_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de,audspec_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,pcm_RMSenergy_sma_de,pcm_zcr_sma_de,audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[25],pcm_fftMag_fband25-650_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12]
fru,0.010000,0,0,0,0,0,1.514309e-01,9.883412e-01,2.507033e-03,1.895833e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,5.220775e-04,1.357492e-04,1.458333e+02,3.541667e+02,9.687500e+02,2.729167e+03,5.528510e-03,5.376245e+00,1.744964e+06,2.211130e+00,7.251967e+00,-1.179197e-04,1.314039e+01,-1.244256e+00,1.254204e+01,-1.166698e+01,2.172497e+01,-1.322981e+01,2.311982e+01,-2.229665e+00,1.123941e+01,-2.594938e+01,6.309060e+00,-1.089611e+01,0,0,0,0,0,-3.647461e-04,0,6.153623e-05,-1.593751e-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.497066e-05,6.826592e-06,-1.041664e+00,-1.041666e+01,-4.062499e+01,-1.489584e+02,3.674135e-03,-1.142707e-01,-1.353403e+05,1.071828e-01,1.035186e+00,-1.004577e-05,5.464631e-01,-1.153383e+00,7.300780e-01,6.686999e-01,-7.069820e-01,8.649178e-01,-2.034491e+00,-2.806204e-01,1.093177e+00,5.927340e-01,-4.942609e-01,1.323586e-01
fru,0.020000,0,0,0,0,0,1.524742e-01,9.883412e-01,2.556299e-03,1.614583e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,5.260835e-04,1.573354e-04,1.562500e+02,3.541667e+02,9.791667e+02,2.614583e+03,1.195593e-02,5.387740e+00,1.554265e+06,2.190695e+00,7.454912e+00,-1.201606e-04,1.413735e+01,-3.649202e+00,1.512430e+01,-9.514544e+00,1.993506e+01,-1.221880e+01,1.718530e+01,-4.557751e+00,1.187879e+01,-2.658717e+01,4.257649e+00,-1.233435e+01,0,0,0,0,0,-1.982966e-03,0,1.187365e-04,-2.364584e-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.628306e-05,5.333606e-06,-1.562500e+01,-4.062500e+01,-1.041667e+02,-2.979167e+02,4.957909e-03,-2.203092e-01,-2.440098e+05,2.148688e-01,1.948823e+00,-1.705171e-05,1.140224e+00,-1.505470e+00,7.770440e-01,1.384685e+00,-1.651307e+00,3.704552e-01,-2.613116e+00,9.152435e-01,1.794314e+00,1.961219e+00,5.855189e-02,1.349288e-01
fru,0.030000,0,0,0,0,0,1.490856e-01,9.883412e-01,2.790081e-03,1.239583e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,7.949278e-04,1.590891e-04,1.354167e+02,3.020833e+02,7.604167e+02,2.041667e+03,2.068547e-02,4.799144e+00,1.163613e+06,2.757262e+00,1.232643e+01,-1.670280e-04,1.537423e+01,-5.808700e+00,1.490131e+01,-9.399693e+00,1.908502e+01,-9.410726e+00,1.591462e+01,-2.468724e+00,1.638561e+01,-2.266681e+01,4.863460e+00,-9.515193e+00,0,0,0,0,0,-2.756967e-03,-1.553881e-03,1.661332e-04,-2.302084e-02,9.984374e-05,-4.988789e-04,-1.191103e-03,-4.227877e-04,6.282640e-03,4.533076e-03,3.833509e-03,-1.260042e-04,-3.244102e-03,-3.846359e-03,6.968498e-04,4.116750e-03,-1.185417e-03,1.548624e-03,4.352212e-03,3.773928e-03,-2.903724e-03,-5.125880e-03,-8.494472e-03,-1.019993e-02,-8.674478e-03,-9.017373e-03,-8.310771e-03,-3.517842e-03,-3.945434e-03,1.066005e-03,1.047808e-04,1.610069e-06,-2.708333e+01,-4.687500e+01,-1.322917e+02,-3.572917e+02,3.969208e-03,-2.584326e-01,-2.800445e+05,2.602507e-01,2.328178e+00,-1.874581e-05,1.404084e+00,-1.509537e+00,-3.926058e-02,1.361420e+00,-2.691243e+00,-1.546265e-01,-1.965492e+00,1.558799e+00,2.289855e+00,3.055202e+00,9.892707e-02,1.965128e-01
fru,0.040000,0,0,0,0,0,1.426888e-01,9.883412e-01,2.959191e-03,1.041667e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,8.670677e-04,1.507473e-04,7.291666e+01,1.770833e+02,5.520833e+02,1.583333e+03,2.273957e-02,4.563250e+00,815591,3.012408e+00,1.445885e+01,-1.786241e-04,1.772460e+01,-6.489383e+00,1.524763e+01,-5.877192e+00,1.478842e+01,-1.328708e+01,1.365684e+01,2.466082e+00,1.763788e+01,-1.778457e+01,7.324619e+00,-1.091192e+01,0,0,0,0,0,3.165677e-04,-5.612791e-04,1.538340e-04,-1.166667e-02,6.803066e-04,-1.667827e-03,-2.581823e-03,-1.512563e-03,1.644531e-02,1.249607e-02,1.320216e-02,1.218176e-03,-2.884859e-03,-6.829882e-03,-7.840156e-04,1.156515e-02,-1.020968e-02,1.184199e-02,2.784542e-02,2.217281e-02,-8.980036e-05,-8.997858e-03,-1.688254e-02,-2.738631e-02,-1.461175e-02,-1.440844e-02,-1.752330e-02,-4.455912e-03,-8.616108e-03,7.382113e-03,6.329612e-05,1.324424e-05,-2.708333e+01,-3.645833e+01,-5.729168e+01,-1.875000e+02,1.405002e-03,-1.212707e-01,-1.568283e+05,7.595722e-02,8.315795e-01,-1.356221e-05,8.079805e-01,-9.153095e-01,-1.679149e-01,1.157136e+00,-3.165433e+00,-5.403551e-01,3.580075e-01,1.173243e+00,4.299257e-01,3.233034e+00,4.620559e-01,3.683224e-02
fru,0.050000,0,0,0,0,0,1.425388e-01,9.805717e-01,3.136253e-03,1.031250e-01,1.297154e-01,2.695540e-01,4.135724e-01,5.523334e-01,7.011421e-01,7.885615e-01,8.661960e-01,9.171992e-01,9.660290e-01,1.023868e+00,1.105584e+00,1.180654e+00,1.211204e+00,1.280580e+00,1.347973e+00,1.394451e+00,1.403538e+00,1.422852e+00,1.415405e+00,1.381704e+00,1.315374e+00,1.187253e+00,1.027601e+00,8.783384e-01,7.145212e-01,5.996611e-01,8.754896e-04,1.470936e-04,5.208333e+01,2.083333e+02,5.208333e+02,1.458333e+03,1.998273e-02,4.496327e+00,7.140788e+05,3.101527e+00,1.539089e+01,-1.824170e-04,1.836719e+01,-7.371848e+00,1.228408e+01,-6.678553e+00,1.084208e+01,-1.346880e+01,1.505659e+01,2.052413e+00,1.980914e+01,-1.507467e+01,5.270210e+00,-1.062476e+01,0,0,0,0,0,4.494621e-03,6.437713e-03,5.584031e-05,2.187500e-03,1.774281e-04,-3.214669e-03,7.841259e-04,-1.962268e-03,3.113202e-02,2.576962e-02,2.184693e-02,5.644781e-03,6.360292e-03,-6.546927e-03,-9.219361e-03,2.023481e-02,-2.825013e-02,2.925882e-02,7.949024e-02,6.147916e-02,1.793932e-02,-3.412652e-03,-1.555241e-02,-3.993303e-02,-7.154226e-03,-4.272151e-03,-1.971837e-02,-6.604195e-04,-1.136652e-02,1.852656e-02,-1.157672e-05,2.204218e-05,1.041665e+00,8.333330e+00,4.687499e+01,7.395834e+01,-1.124423e-05,1.101998e-01,1.382327e+04,-1.642519e-01,-1.197735e+00,-1.329275e-06,-8.998184e-02,-4.517480e-01,2.400154e-01,-3.466027e-01,-3.504219e+00,-7.275165e-01,1.727754e+00,-9.142421e-01,-2.221761e+00,2.228528e+00,1.129559e-01,7.423992e-02
fru,0.060000,0,0,0,0,0,1.573304e-01,9.894195e-01,3.152383e-03,1.135417e-01,1.323681e-01,2.649564e-01,4.095966e-01,5.479414e-01,7.362489e-01,8.170438e-01,9.034554e-01,9.242351e-01,9.759355e-01,1.018566e+00,1.096437e+00,1.207604e+00,1.169046e+00,1.328175e+00,1.454558e+00,1.477010e+00,1.424867e+00,1.416306e+00,1.394701e+00,1.321272e+00,1.307374e+00,1.182841e+00,1.002315e+00,8.824427e-01,7.010314e-01,6.285766e-01,8.022832e-04,2.295543e-04,6.250000e+01,2.187500e+02,8.125000e+02,1.968750e+03,1.933231e-02,4.932795e+00,9.948902e+05,2.398349e+00,1.008058e+01,-1.802772e-04,1.668077e+01,-7.444176e+00,1.559334e+01,-5.089435e+00,8.229362e+00,-1.289154e+01,1.940435e+01,-9.521034e-01,1.231665e+01,-1.421807e+01,6.364554e+00,-1.159540e+01,0,0,0,0,0,6.022564e-03,1.910152e-02,-6.537512e-05,1.000000e-02,-2.019993e-03,-4.106971e-03,6.924459e-03,-2.792621e-03,4.038833e-02,3.494791e-02,2.040829e-02,1.032310e-02,2.758799e-02,2.222025e-03,-2.050113e-02,1.946350e-02,-4.942348e-02,4.377332e-02,1.248491e-01,1.036895e-01,5.308568e-02,1.996944e-02,7.639885e-03,-3.199315e-02,3.014002e-02,3.259320e-02,-1.886296e-03,1.142389e-02,-8.176947e-03,2.811160e-02,-5.346484e-05,2.339143e-05,3.229167e+01,5.520834e+01,1.427083e+02,2.552083e+02,5.992345e-04,2.381675e-01,1.399079e+05,-2.805091e-01,-2.162682e+00,6.764356e-06,-9.297938e-01,-2.443052e-01,5.740406e-01,-1.889161e+00,-1.824390e+00,-4.298487e-01,1.853690e+00,-2.655797e+00,-3.048909e+00,1.153410e+00,-2.490210e-01,7.375816e-01
fru,0.070000,0,0,0,0,0,1.642378e-01,1.019991e+00,2.972686e-03,1.302083e-01,1.285274e-01,2.595210e-01,4.284142e-01,5.478889e-01,7.921290e-01,8.691704e-01,9.280496e-01,9.428502e-01,1.017208e+00,1.022632e+00,1.058834e+00,1.237477e+00,1.099923e+00,1.391462e+00,1.659490e+00,1.632262e+00,1.504348e+00,1.447505e+00,1.411704e+00,1.288755e+00,1.348661e+00,1.235728e+00,1.003983e+00,8.993680e-01,6.940243e-01,6.698411e-01,7.694364e-04,2.298965e-04,1.458333e+02,3.229167e+02,8.645833e+02,2.218750e+03,2.233288e-02,5.165370e+00,1.143079e+06,2.243033e+00,8.526889e+00,-1.728479e-04,1.544623e+01,-7.590044e+00,1.592853e+01,-1.152659e+01,4.843454e+00,-1.324608e+01,2.167963e+01,-5.330842e+00,7.937425e+00,-1.330742e+01,5.908272e+00,-8.802251e+00,0,0,0,0,0,1.094750e-03,2.561576e-02,-1.262026e-04,6.666668e-03,-5.905303e-03,-3.458178e-03,1.423810e-02,-3.119069e-03,3.927561e-02,3.071756e-02,3.938949e-03,1.101609e-02,4.568218e-02,9.147083e-03,-2.600410e-02,5.593312e-03,-5.878899e-02,3.562699e-02,1.108461e-01,1.069308e-01,7.236452e-02,3.866824e-02,3.607237e-02,-5.176401e-03,7.133444e-02,7.095505e-02,2.549818e-02,1.975435e-02,-4.404324e-03,2.520685e-02,-9.769206e-05,-3.235258e-06,3.958334e+01,6.354167e+01,1.218750e+02,1.927083e+02,8.790474e-04,2.299249e-01,1.047744e+05,-1.546586e-01,-1.322292e+00,1.802214e-05,-5.189095e-01,1.410615e-01,1.942519e-01,-2.318926e+00,-3.905249e-02,-1.144432e+00,-5.196558e-01,-2.703141e+00,-2.163024e+00,-4.419081e-01,-1.174966e+00,3.845289e-01
fru,0.080000,0,0,0,0,0,1.619520e-01,1.064139e+00,2.714099e-03,1.406250e-01,1.197102e-01,2.565300e-01,4.467293e-01,5.427064e-01,8.261771e-01,9.003313e-01,9.181431e-01,9.566192e-01,1.094600e+00,1.054828e+00,1.022969e+00,1.228976e+00,1.025654e+00,1.436262e+00,1.794699e+00,1.775123e+00,1.633080e+00,1.536002e+00,1.497928e+00,1.319213e+00,1.492803e+00,1.371068e+00,1.071533e+00,9.425322e-01,7.036121e-01,6.997991e-01,6.527700e-04,2.263030e-04,1.875000e+02,3.958333e+02,1.093750e+03,2.479167e+03,2.456067e-02,5.419565e+00,1.300630e+06,2.039110e+00,7.077439e+00,-1.495868e-04,1.453611e+01,-7.601811e+00,1.629561e+01,-1.289898e+01,8.665781e+00,-1.554768e+01,1.961377e+01,-7.121274e+00,8.329197e+00,-1.290114e+01,5.760483e+00,-8.135264e+00,0,0,0,0,0,-5.217022e-03,1.351206e-02,-7.015071e-05,-3.229164e-03,-8.155307e-03,-7.682055e-04,1.088032e-02,-5.637407e-03,2.873798e-02,1.035674e-02,-1.294175e-02,3.871256e-03,4.582920e-02,5.587113e-03,-1.053180e-02,-1.218659e-02,-4.414777e-02,-6.361842e-04,9.315860e-03,4.641223e-02,4.578656e-02,2.531905e-02,3.269030e-02,1.027073e-02,6.794842e-02,6.484910e-02,3.256632e-02,9.513753e-03,-1.055866e-02,6.942785e-03,-4.627552e-05,-2.922020e-05,1.250000e+01,2.395833e+01,4.166663e+00,-6.562500e+01,-1.608619e-04,3.254318e-03,-3.376348e+04,1.461024e-01,1.041569e+00,1.069992e-05,4.356635e-01,2.149367e-01,-9.588414e-01,-1.103065e+00,2.348000e+00,1.995225e-01,-1.650388e+00,-5.872083e-01,1.276875e+00,-3.021231e-01,-1.232555e+00,9.061527e-01
fru,0.090000,0,0,0,0,0,1.457017e-01,1.071291e+00,2.724382e-03,1.229167e-01,1.065178e-01,2.564763e-01,4.661965e-01,5.393555e-01,8.525560e-01,9.005056e-01,8.785469e-01,9.560876e-01,1.135108e+00,1.051472e+00,1.012297e+00,1.197935e+00,9.889547e-01,1.404671e+00,1.732133e+00,1.780048e+00,1.661254e+00,1.556345e+00,1.544154e+00,1.356852e+00,1.579332e+00,1.447915e+00,1.120483e+00,9.470654e-01,6.912093e-01,6.900842e-01,4.617859e-04,1.325429e-04,1.875000e+02,4.375000e+02,9.895833e+02,2.166667e+03,2.176379e-02,5.402566e+00,1085081,2.507853e+00,1.028100e+01,-1.076515e-04,1.684498e+01,-6.587723e+00,1.290420e+01,-1.436841e+01,1.042861e+01,-1.786289e+01,1.235360e+01,-8.378705e+00,1.098774e+01,-1.794268e+01,-3.025846e-01,-1.043218e+01,0,0,0,0,0,-7.377165e-03,-1.197935e-02,3.155335e-05,-1.041667e-02,-5.562679e-03,4.022884e-03,-4.119521e-03,-1.037347e-02,5.951089e-03,-2.274760e-02,-1.906605e-02,-4.674899e-03,3.045572e-02,-2.599561e-03,1.495872e-02,-2.496051e-02,-1.536822e-02,-4.244053e-02,-1.172262e-01,-4.517232e-02,-1.970394e-02,-2.360196e-02,-3.635418e-03,4.946530e-03,1.326206e-02,1.120644e-02,1.391935e-02,-1.233760e-02,-2.188493e-02,-1.471076e-02,4.512432e-07,-3.153258e-05,-1.875000e+01,-1.979167e+01,-7.604167e+01,-2.145833e+02,-6.677912e-04,-1.403763e-01,-1.097131e+05,2.666779e-01,2.021393e+00,1.577480e-06,9.255951e-01,2.465725e-01,-1.232316e+00,7.909481e-01,2.982728e+00,1.761381e+00,-4.832964e-01,1.487012e+00,1.851756e+00,-3.153863e-01,-6.086810e-02,4.264729e-01
fru,0.100000,0,0,0,0,0,1.405133e-01,1.031330e+00,2.925781e-03,1.010417e-01,1.025963e-01,2.626378e-01,4.451070e-01,5.240211e-01,8.497253e-01,8.531599e-01,8.634980e-01,9.369727e-01,1.146132e+00,1.032081e+00,1.067046e+00,1.166443e+00,1.003791e+00,1.318390e+00,1.464816e+00,1.635178e+00,1.575347e+00,1.488482e+00,1.491928e+00,1.338577e+00,1.531781e+00,1.400993e+00,1.106897e+00,9.061627e-01,6.496456e-01,6.531690e-01,7.247308e-04,1.321300e-04,1.041667e+02,2.812500e+02,7.708333e+02,1.666667e+03,1.881255e-02,4.830469e+00,855072,2.996450e+00,1.441137e+01,-1.593758e-04,1.815972e+01,-6.870653e+00,1.231130e+01,-9.183846e+00,1.717678e+01,-9.585517e+00,1.581543e+01,-2.364213e+00,1.717587e+01,-1.341106e+01,3.307208e+00,-6.249675e+00,0,1.224652e-01,0,0,0,-3.317468e-03,-3.190579e-02,6.524376e-05,-6.250001e-03,5.759791e-04,7.751298e-03,-2.211801e-02,-1.189523e-02,-1.464442e-02,-4.469490e-02,-8.102650e-03,3.658539e-03,2.174130e-02,-5.615509e-03,3.035755e-02,-2.224045e-02,1.531245e-02,-6.770147e-02,-1.733952e-01,-1.012050e-01,-7.839464e-02,-7.503053e-02,-4.750274e-02,-1.256046e-02,-6.125032e-02,-5.959858e-02,-1.685244e-02,-3.088508e-02,-2.997411e-02,-2.528617e-02,5.256097e-05,-1.715135e-05,-2.812500e+01,-1.562500e+01,-1.156250e+02,-2.427083e+02,-1.703149e-04,-1.741066e-01,-1.268878e+05,2.448876e-01,1.959047e+00,-1.273361e-05,8.952252e-01,-2.066863e-01,-1.402038e+00,8.748794e-01,1.510298e+00,2.759051e+00,1.587959e+00,2.251453e+00,1.332830e+00,-1.371849e-01,1.045371e+00,5.828809e-01
