name;frameTime;F0final_sma;voicingFinalUnclipped_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma;audspec_lengthL1norm_sma;audspecRasta_lengthL1norm_sma;pcm_RMSenergy_sma;pcm_zcr_sma;audSpec_Rfilt_sma[0];audSpec_Rfilt_sma[1];audSpec_Rfilt_sma[2];audSpec_Rfilt_sma[3];audSpec_Rfilt_sma[4];audSpec_Rfilt_sma[5];audSpec_Rfilt_sma[6];audSpec_Rfilt_sma[7];audSpec_Rfilt_sma[8];audSpec_Rfilt_sma[9];audSpec_Rfilt_sma[10];audSpec_Rfilt_sma[11];audSpec_Rfilt_sma[12];audSpec_Rfilt_sma[13];audSpec_Rfilt_sma[14];audSpec_Rfilt_sma[15];audSpec_Rfilt_sma[16];audSpec_Rfilt_sma[17];audSpec_Rfilt_sma[18];audSpec_Rfilt_sma[19];audSpec_Rfilt_sma[20];audSpec_Rfilt_sma[21];audSpec_Rfilt_sma[22];audSpec_Rfilt_sma[23];audSpec_Rfilt_sma[24];audSpec_Rfilt_sma[25];pcm_fftMag_fband25-650_sma;pcm_fftMag_fband1000-4000_sma;pcm_fftMag_spectralRollOff25.0_sma;pcm_fftMag_spectralRollOff50.0_sma;pcm_fftMag_spectralRollOff75.0_sma;pcm_fftMag_spectralRollOff90.0_sma;pcm_fftMag_spectralFlux_sma;pcm_fftMag_spectralEntropy_sma;pcm_fftMag_spectralVariance_sma;pcm_fftMag_spectralSkewness_sma;pcm_fftMag_spectralKurtosis_sma;pcm_fftMag_spectralSlope_sma;pcm_fftMag_mfcc_sma[1];pcm_fftMag_mfcc_sma[2];pcm_fftMag_mfcc_sma[3];pcm_fftMag_mfcc_sma[4];pcm_fftMag_mfcc_sma[5];pcm_fftMag_mfcc_sma[6];pcm_fftMag_mfcc_sma[7];pcm_fftMag_mfcc_sma[8];pcm_fftMag_mfcc_sma[9];pcm_fftMag_mfcc_sma[10];pcm_fftMag_mfcc_sma[11];pcm_fftMag_mfcc_sma[12];F0final_sma_de;voicingFinalUnclipped_sma_de;jitterLocal_sma_de;jitterDDP_sma_de;shimmerLocal_sma_de;audspec_lengthL1norm_sma_de;audspecRasta_lengthL1norm_sma_de;pcm_RMSenergy_sma_de;pcm_zcr_sma_de;audSpec_Rfilt_sma_de[0];audSpec_Rfilt_sma_de[1];audSpec_Rfilt_sma_de[2];audSpec_Rfilt_sma_de[3];audSpec_Rfilt_sma_de[4];audSpec_Rfilt_sma_de[5];audSpec_Rfilt_sma_de[6];audSpec_Rfilt_sma_de[7];audSpec_Rfilt_sma_de[8];audSpec_Rfilt_sma_de[9];audSpec_Rfilt_sma_de[10];audSpec_Rfilt_sma_de[11];audSpec_Rfilt_sma_de[12];audSpec_Rfilt_sma_de[13];audSpec_Rfilt_sma_de[14];audSpec_Rfilt_sma_de[15];audSpec_Rfilt_sma_de[16];audSpec_Rfilt_sma_de[17];audSpec_Rfilt_sma_de[18];audSpec_Rfilt_sma_de[19];audSpec_Rfilt_sma_de[20];audSpec_Rfilt_sma_de[21];audSpec_Rfilt_sma_de[22];audSpec_Rfilt_sma_de[23];audSpec_Rfilt_sma_de[24];audSpec_Rfilt_sma_de[25];pcm_fftMag_fband25-650_sma_de;pcm_fftMag_fband1000-4000_sma_de;pcm_fftMag_spectralRollOff25.0_sma_de;pcm_fftMag_spectralRollOff50.0_sma_de;pcm_fftMag_spectralRollOff75.0_sma_de;pcm_fftMag_spectralRollOff90.0_sma_de;pcm_fftMag_spectralFlux_sma_de;pcm_fftMag_spectralEntropy_sma_de;pcm_fftMag_spectralVariance_sma_de;pcm_fftMag_spectralSkewness_sma_de;pcm_fftMag_spectralKurtosis_sma_de;pcm_fftMag_spectralSlope_sma_de;pcm_fftMag_mfcc_sma_de[1];pcm_fftMag_mfcc_sma_de[2];pcm_fftMag_mfcc_sma_de[3];pcm_fftMag_mfcc_sma_de[4];pcm_fftMag_mfcc_sma_de[5];pcm_fftMag_mfcc_sma_de[6];pcm_fftMag_mfcc_sma_de[7];pcm_fftMag_mfcc_sma_de[8];pcm_fftMag_mfcc_sma_de[9];pcm_fftMag_mfcc_sma_de[10];pcm_fftMag_mfcc_sma_de[11];pcm_fftMag_mfcc_sma_de[12]
'unknown';0.010000;0;0;0;0;0;1.415806e-01;9.883412e-01;5.436776e-03;3.229167e-02;1.292162e-01;2.720484e-01;4.195279e-01;5.544473e-01;6.697289e-01;7.658961e-01;8.470284e-01;9.178292e-01;9.822495e-01;1.043099e+00;1.102099e+00;1.160070e+00;1.217131e+00;1.272837e+00;1.326212e+00;1.375581e+00;1.418056e+00;1.448481e+00;1.457878e+00;1.432704e+00;1.358746e+00;1.232340e+00;1.069155e+00;8.959276e-01;7.342484e-01;5.943311e-01;3.946915e-03;1.033125e-04;1.562500e+02;1.875000e+02;2.187500e+02;3.541667e+02;1.085439e-02;3.162986e+00;1.294545e+05;7.636745e+00;8.300480e+01;-7.416159e-04;2.946741e+01;2.273697e+00;2.238955e+01;1.484092e-01;2.169685e+01;-1.283562e+01;-8.244553e-01;-5.967299e+00;7.794492e+00;-1.807053e+01;-1.096026e+01;-1.001501e+01;0;0;0;0;0;-2.964263e-03;0;-3.720271e-04;6.666666e-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.137065e-04;-2.991757e-06;-1.875000e+01;-8.333333e+00;1.562500e+01;8.750000e+01;4.349113e-03;1.369068e-01;5.338825e+04;-5.205982e-01;-1.000770e+01;9.730786e-05;-1.476940e+00;-4.614827e-01;1.823452e-01;-1.138972e+00;-2.707836e-01;-6.576082e-01;1.522948e+00;2.762276e+00;1.470289e-01;1.017602e+00;3.650710e+00;-2.199703e-01
'unknown';0.020000;0;0;0;0;0;1.332322e-01;9.883412e-01;4.759856e-03;4.479166e-02;1.292162e-01;2.720484e-01;4.195279e-01;5.544473e-01;6.697289e-01;7.658961e-01;8.470284e-01;9.178292e-01;9.822495e-01;1.043099e+00;1.102099e+00;1.160070e+00;1.217131e+00;1.272837e+00;1.326212e+00;1.375581e+00;1.418056e+00;1.448481e+00;1.457878e+00;1.432704e+00;1.358746e+00;1.232340e+00;1.069155e+00;8.959276e-01;7.342484e-01;5.943311e-01;3.137083e-03;8.843363e-05;1.145833e+02;1.666667e+02;2.083333e+02;3.333333e+02;1.997597e-02;3.265023e+00;1.677548e+05;7.074784e+00;6.855083e+01;-5.815959e-04;2.706743e+01;1.911654e+00;2.456468e+01;-2.100222e+00;2.226900e+01;-1.340879e+01;1.834504e+00;-1.865211e+00;9.231088e+00;-1.573545e+01;-4.070835e+00;-9.174830e+00;0;0;0;0;0;-2.715157e-03;0;-5.453165e-04;1.208333e-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7.364554e-04;-1.116162e-06;-3.020833e+01;-1.145833e+01;5.416666e+01;2.010417e+02;3.931117e-03;2.629309e-01;1.119018e+05;-8.845379e-01;-1.513699e+01;1.376426e-04;-2.374373e+00;-7.861928e-01;-1.054470e+00;-1.749543e+00;-1.556999e+00;-1.612402e+00;2.761101e+00;4.546420e+00;7.731741e-01;1.683274e+00;6.712860e+00;5.413290e-01
'unknown';0.030000;0;0;0;0;0;1.309334e-01;9.883412e-01;3.915100e-03;5.937500e-02;1.292162e-01;2.720484e-01;4.195279e-01;5.544473e-01;6.697289e-01;7.658961e-01;8.470284e-01;9.178292e-01;9.822495e-01;1.043099e+00;1.102099e+00;1.160070e+00;1.217131e+00;1.272837e+00;1.326212e+00;1.375581e+00;1.418056e+00;1.448481e+00;1.457878e+00;1.432704e+00;1.358746e+00;1.232340e+00;1.069155e+00;8.959276e-01;7.342484e-01;5.943311e-01;1.783298e-03;9.579316e-05;8.333334e+01;1.562500e+02;3.020833e+02;8.020833e+02;2.803916e-02;3.796501e+00;3.772456e+05;5.314734e+00;4.019326e+01;-3.350867e-04;2.328269e+01;1.473041e-01;2.221371e+01;-4.422133e+00;2.005685e+01;-1.583708e+01;5.460804e+00;5.793037e+00;7.811339e+00;-1.415005e+01;3.848575e+00;-1.153495e+01;0;0;0;0;0;-3.585249e-04;2.933943e-03;-5.595136e-04;1.718750e-02;-2.382100e-04;-2.165955e-03;-4.817700e-03;8.780241e-04;4.586852e-03;7.537794e-03;5.487406e-03;3.790617e-03;3.861237e-03;-6.153345e-04;2.769542e-03;-6.578207e-03;4.094410e-03;7.548952e-03;4.942370e-03;5.218792e-03;-5.884456e-03;-4.937196e-03;-7.184029e-04;2.726364e-03;4.607940e-03;7.806444e-03;1.190581e-02;6.195414e-03;1.175860e-02;6.521869e-03;-7.813527e-04;1.250309e-06;-2.187500e+01;-6.250000e+00;8.645833e+01;2.656250e+02;2.240703e-03;3.525386e-01;1.483073e+05;-1.055587e+00;-1.668978e+01;1.425160e-04;-2.583045e+00;-4.998697e-01;-2.962769e+00;-1.883551e+00;-2.658828e+00;-2.329999e+00;3.429040e+00;4.765245e+00;3.918581e-01;2.050528e+00;6.645617e+00;7.867537e-01
'unknown';0.040000;0;0;0;0;0;1.333284e-01;9.883412e-01;3.471031e-03;7.916666e-02;1.292162e-01;2.720484e-01;4.195279e-01;5.544473e-01;6.697289e-01;7.658961e-01;8.470284e-01;9.178292e-01;9.822495e-01;1.043099e+00;1.102099e+00;1.160070e+00;1.217131e+00;1.272837e+00;1.326212e+00;1.375581e+00;1.418056e+00;1.448481e+00;1.457878e+00;1.432704e+00;1.358746e+00;1.232340e+00;1.069155e+00;8.959276e-01;7.342484e-01;5.943311e-01;1.346446e-03;1.014914e-04;4.166667e+01;1.458333e+02;4.479167e+02;1.135417e+03;2.191759e-02;4.160883e+00;5.650679e+05;4.375061e+00;2.872562e+01;-2.566676e-04;2.068789e+01;-5.940710e-01;1.720512e+01;-6.314034e+00;1.473185e+01;-1.939690e+01;9.838419e+00;1.088464e+01;1.165194e+01;-1.161439e+01;1.519962e+01;-6.548396e+00;0;0;0;0;0;2.253655e-03;1.043155e-02;-3.463791e-04;1.833333e-02;-8.029759e-04;-5.105934e-03;-1.255104e-02;5.940449e-03;1.017012e-02;1.699302e-02;2.081748e-02;1.386671e-02;1.433368e-02;1.517856e-03;1.365904e-02;-1.761208e-02;1.210864e-02;2.005138e-02;1.332376e-02;1.413834e-02;-1.354134e-02;-1.360513e-02;-1.132789e-02;5.635381e-03;1.634339e-02;2.929480e-02;4.584656e-02;2.945263e-02;4.147948e-02;2.079416e-02;-4.901760e-04;1.706879e-06;-2.083334e+00;1.041667e+00;7.291667e+01;175;-1.030362e-03;2.666829e-01;1.354930e+05;-7.466722e-01;-1.124644e+01;8.685598e-05;-1.956230e+00;4.299476e-01;-3.988765e+00;-9.244561e-01;-2.320454e+00;-2.186678e+00;3.647711e+00;1.761900e+00;5.839438e-01;1.137836e+00;4.065257e+00;8.170602e-01
'unknown';0.050000;0;0;0;0;0;1.397399e-01;1.003011e+00;3.283620e-03;1.010417e-01;1.280251e-01;2.612186e-01;3.954394e-01;5.588374e-01;6.926632e-01;8.035851e-01;8.744655e-01;9.367823e-01;1.001556e+00;1.040023e+00;1.115947e+00;1.127179e+00;1.237603e+00;1.310582e+00;1.350924e+00;1.401675e+00;1.388634e+00;1.423795e+00;1.454286e+00;1.446336e+00;1.381786e+00;1.271372e+00;1.128684e+00;9.269047e-01;7.930414e-01;6.269404e-01;9.354697e-04;1.030352e-04;8.333334e+01;1.666667e+02;5.312500e+02;1.281250e+03;2.108710e-02;4.477749e+00;6.723346e+05;3.708673e+00;1.946850e+01;-1.915003e-04;1.974195e+01;1.027211e+00;1.125549e+01;-7.162438e+00;1.217128e+01;-2.149156e+01;1.231879e+01;1.148400e+01;8.543357e+00;-9.878419e+00;1.263260e+01;-7.394461e+00;0;0;0;0;0;2.452072e-03;1.969855e-02;-1.529847e-04;1.656250e-02;-1.896834e-03;-6.782648e-03;-1.814695e-02;1.406467e-02;1.277238e-02;2.611554e-02;3.645642e-02;2.518885e-02;3.048708e-02;9.262538e-03;2.967567e-02;-2.820944e-02;1.914817e-02;2.537686e-02;1.143150e-02;2.023703e-02;-1.429368e-02;-1.953175e-02;-3.812039e-02;1.561344e-03;3.160982e-02;5.823605e-02;1.000301e-01;6.921370e-02;7.940508e-02;3.887186e-02;-1.689714e-04;-2.484726e-06;1.875000e+01;1.458333e+01;3.229167e+01;1.875001e+01;-1.920296e-03;1.477149e-01;8.821636e+04;-2.500695e-01;-4.129154e+00;2.928412e-05;-9.774250e-01;1.401115e+00;-3.360219e+00;1.523100e-01;-9.025397e-01;-1.259261e+00;2.404451e+00;-2.357461e+00;6.822368e-01;1.889084e-01;-5.440726e-02;4.954081e-01
'unknown';0.060000;0;0;0;0;0;1.400973e-01;1.033164e+00;3.343700e-03;1.156250e-01;1.257968e-01;2.519336e-01;3.688170e-01;5.819545e-01;7.091124e-01;8.320168e-01;9.373973e-01;9.776862e-01;1.044265e+00;1.052227e+00;1.163471e+00;1.088455e+00;1.267438e+00;1.354221e+00;1.380475e+00;1.433226e+00;1.365061e+00;1.392798e+00;1.403034e+00;1.454065e+00;1.428943e+00;1.359298e+00;1.268623e+00;1.027702e+00;9.122493e-01;6.819972e-01;1.110118e-03;9.334701e-05;1.041667e+02;1.666667e+02;4.583333e+02;9.687500e+02;1.830019e-02;4.257814e+00;6.976751e+05;4.144454e+00;2.268099e+01;-2.191092e-04;1.905665e+01;3.621439e+00;1.009997e+01;-5.352350e+00;1.460952e+01;-2.151494e+01;1.664407e+01;4.098806e+00;1.178480e+01;-1.218209e+01;1.186344e+01;-7.159776e+00;0;0;0;0;0;-4.789233e-06;2.263242e-02;-9.259870e-05;9.375001e-03;-2.556074e-03;-4.239888e-03;-1.370269e-02;1.710748e-02;5.629271e-03;2.054197e-02;3.580124e-02;3.132338e-02;3.733144e-02;1.657837e-02;3.572975e-02;-2.865330e-02;1.533986e-02;1.174728e-02;-8.292329e-03;1.653298e-02;-9.529948e-04;-1.704433e-02;-7.460719e-02;-1.359817e-02;3.374497e-02;7.605971e-02;1.430025e-01;1.072430e-01;1.013307e-01;4.704668e-02;-3.331845e-05;-5.269967e-06;1.875000e+01;1.145833e+01;-2.395833e+01;-6.770832e+01;-3.043475e-04;1.559010e-02;4.429735e+04;6.315849e-02;-2.992718e-01;7.036382e-06;-5.933300e-01;1.542691e+00;-1.874376e+00;1.081870e+00;4.123320e-01;1.774979e-01;2.139434e+00;-3.997134e+00;1.152478e+00;-1.147300e+00;-2.337641e+00;-3.795377e-01
'unknown';0.070000;0;0;0;0;0;1.398094e-01;1.064422e+00;3.213842e-03;1.239583e-01;1.214417e-01;2.481925e-01;3.541486e-01;6.110170e-01;7.138991e-01;8.634135e-01;9.841261e-01;1.013845e+00;1.103677e+00;1.084848e+00;1.219792e+00;1.054830e+00;1.287718e+00;1.359029e+00;1.356238e+00;1.447944e+00;1.373086e+00;1.378664e+00;1.294697e+00;1.429830e+00;1.481697e+00;1.460041e+00;1.469571e+00;1.176109e+00;1.042273e+00;7.448573e-01;1.056605e-03;8.744171e-05;1.458333e+02;2.187500e+02;4.583333e+02;9.791667e+02;2.024638e-02;4.486610e+00;7.520238e+05;4.179691e+00;2.256980e+01;-2.074454e-04;1.921119e+01;5.045124e+00;8.965192e+00;-4.141425e+00;1.560532e+01;-2.107437e+01;1.408024e+01;-2.601352e+00;1.115609e+01;-1.292166e+01;5.244629e+00;-8.752223e+00;0;0;0;0;0;-3.645416e-03;1.202879e-02;-8.580271e-05;9.375028e-04;-2.025319e-03;3.924370e-04;-1.820376e-03;5.322200e-03;-1.345894e-02;-3.225970e-03;7.623470e-03;2.680618e-02;2.225724e-02;1.617550e-02;2.050036e-02;-1.630732e-02;-1.074612e-03;-2.128974e-02;-4.587787e-02;-3.566348e-03;1.620679e-02;-6.204271e-03;-9.830748e-02;-4.153149e-02;1.062794e-02;6.665559e-02;1.411508e-01;1.130913e-01;8.701566e-02;3.361271e-02;2.121379e-05;-7.877615e-06;0;3.124997e+00;-4.895833e+01;-8.333333e+01;2.395632e-04;-6.658163e-02;2.987331e+03;2.408972e-01;2.231193e+00;-8.630130e-07;-4.374937e-01;9.924181e-01;-6.693929e-01;1.411196e+00;1.484541e+00;1.423440e+00;1.691604e+00;-2.952989e+00;2.334314e+00;-1.594908e+00;-2.662352e+00;1.630187e-01
'unknown';0.080000;0;0;0;0;0;1.332697e-01;1.070797e+00;3.042926e-03;1.145833e-01;1.197275e-01;2.573620e-01;3.716598e-01;6.138949e-01;6.872573e-01;8.386918e-01;9.712043e-01;1.035915e+00;1.117846e+00;1.103578e+00;1.228826e+00;1.052978e+00;1.268772e+00;1.307350e+00;1.282093e+00;1.435111e+00;1.421066e+00;1.385825e+00;1.164636e+00;1.372966e+00;1.477516e+00;1.518304e+00;1.613724e+00;1.307541e+00;1.116286e+00;7.706060e-01;1.119286e-03;8.293827e-05;1.041667e+02;1.770833e+02;3.645833e+02;9.479167e+02;2.081621e-02;4.234403e+00;7.467101e+05;4.455345e+00;2.567861e+01;-2.135132e-04;1.798662e+01;5.110425e+00;8.978385e+00;-2.415190e+00;1.507649e+01;-1.871801e+01;1.965486e+01;-2.058357e+00;1.610796e+01;-1.582927e+01;7.205400e+00;-7.767203e+00;0;0;0;0;0;-5.754116e-03;-8.660746e-03;-7.378021e-05;-3.437498e-03;-2.799600e-04;8.523866e-04;6.153306e-03;-1.838920e-02;-3.251224e-02;-3.384548e-02;-3.378370e-02;1.322991e-02;-5.702317e-03;5.564618e-03;-1.376379e-02;8.779764e-05;-2.262279e-02;-5.150982e-02;-7.640591e-02;-3.087442e-02;1.707554e-02;-4.077387e-03;-9.561992e-02;-6.725154e-02;-2.711334e-02;3.744062e-02;8.377586e-02;7.240307e-02;4.589815e-02;6.091326e-03;-1.802467e-05;-6.955542e-06;-1.666667e+01;-1.041667e+01;-5.416667e+01;-4.583333e+01;5.806016e-04;-9.882102e-02;-2.351687e+04;1.954059e-01;2.098089e+00;5.634106e-06;-2.931355e-01;2.925364e-01;-2.386005e-01;1.425078e+00;2.004378e+00;1.727789e+00;1.403735e+00;-1.065741e+00;1.308897e+00;-9.020011e-01;-1.862330e+00;9.932678e-01
'unknown';0.090000;0;0;0;0;0;1.249266e-01;1.044338e+00;3.004994e-03;1.062500e-01;1.209332e-01;2.604666e-01;3.849161e-01;5.694782e-01;6.362960e-01;7.841178e-01;8.956793e-01;1.041699e+00;1.076051e+00;1.095224e+00;1.185771e+00;1.063381e+00;1.231562e+00;1.227569e+00;1.170725e+00;1.382900e+00;1.441666e+00;1.396260e+00;1.081947e+00;1.279228e+00;1.410639e+00;1.525147e+00;1.661888e+00;1.352442e+00;1.126101e+00;7.506996e-01;1.036954e-03;6.885148e-05;8.333334e+01;1.770833e+02;3.333333e+02;875;2.102690e-02;4.156547e+00;6.627538e+05;4.757714e+00;2.912565e+01;-1.986133e-04;1.808949e+01;5.244808e+00;8.469312e+00;-1.575036e+00;1.936050e+01;-1.577282e+01;1.927141e+01;-2.023564e-01;1.805334e+01;-1.602937e+01;1.649861e+00;-6.275654e+00;0;0;0;0;0;-4.937436e-03;-2.777890e-02;-3.941592e-05;-2.604166e-03;1.709023e-03;-4.260606e-03;6.540918e-03;-3.523246e-02;-4.379274e-02;-5.931855e-02;-6.152489e-02;-7.982028e-03;-2.724879e-02;-1.014113e-04;-4.528857e-02;1.063231e-02;-3.428102e-02;-5.921192e-02;-7.834198e-02;-5.195208e-02;4.462183e-03;-1.409431e-02;-7.405835e-02;-7.924657e-02;-5.470970e-02;9.021878e-03;-2.318859e-03;4.718125e-03;-2.064490e-03;-2.430676e-02;-4.990966e-05;-2.696745e-06;-2.187500e+01;-8.333331e+00;-3.229167e+01;-2.395834e+01;-8.041944e-04;-8.086114e-02;-3.129075e+04;5.936508e-02;8.149359e-01;1.010460e-05;-3.812218e-03;-4.913695e-01;7.370319e-02;9.681603e-01;1.822635e+00;6.600491e-01;7.557684e-01;-1.141295e+00;-4.675849e-01;5.883398e-02;-7.309326e-01;1.956613e+00
'unknown';0.100000;0;0;0;0;0;1.187681e-01;9.999025e-01;3.079223e-03;1.072917e-01;1.246513e-01;2.500585e-01;3.841998e-01;5.107779e-01;5.853527e-01;7.024372e-01;8.127022e-01;1.029909e+00;1.029566e+00;1.074862e+00;1.111662e+00;1.084619e+00;1.182402e+00;1.162402e+00;1.091201e+00;1.311375e+00;1.416149e+00;1.363613e+00;1.031309e+00;1.193108e+00;1.328905e+00;1.513948e+00;1.591344e+00;1.301551e+00;1.099826e+00;7.095327e-01;1.029820e-03;6.786442e-05;5.208333e+01;1.354167e+02;250;7.916667e+02;2.081294e-02;3.928741e+00;6.247258e+05;4.832471e+00;2.989351e+01;-1.953546e-04;1.815182e+01;4.984279e+00;9.154904e+00;4.898460e-01;2.275381e+01;-1.552677e+01;2.106716e+01;-2.429396e+00;1.488066e+01;-1.513824e+01;4.349173e+00;-3.431722e+00;0;0;0;0;0;-3.105241e-03;-3.507206e-02;-8.517024e-05;2.083333e-03;1.063549e-03;-1.306045e-02;1.228184e-03;-3.191724e-02;-4.021792e-02;-6.351412e-02;-6.647340e-02;-3.395637e-02;-2.003830e-02;1.650734e-02;-6.015551e-02;7.646263e-03;-3.103602e-02;-4.246404e-02;-4.722452e-02;-5.034753e-02;-3.477418e-03;-3.088374e-02;-5.062381e-02;-7.215621e-02;-5.262484e-02;-8.878494e-03;-7.980870e-02;-5.902516e-02;-4.071546e-02;-3.971978e-02;-1.267109e-04;1.601184e-06;-1.250000e+01;6.250003e+00;3.958332e+01;8.541666e+01;-1.292259e-03;6.654458e-02;1.498209e+04;-2.462496e-01;-2.144239e+00;2.301753e-05;7.557487e-02;-1.374765e+00;9.306164e-02;2.423561e-01;2.037466e-01;-8.309622e-02;-3.701349e-01;-2.187972e+00;-4.047578e+00;1.128972e+00;2.335657e-01;2.553705e+00
