name;frameTime;F0final_sma;voicingFinalUnclipped_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma;audspec_lengthL1norm_sma;audspecRasta_lengthL1norm_sma;pcm_RMSenergy_sma;pcm_zcr_sma;audSpec_Rfilt_sma[0];audSpec_Rfilt_sma[1];audSpec_Rfilt_sma[2];audSpec_Rfilt_sma[3];audSpec_Rfilt_sma[4];audSpec_Rfilt_sma[5];audSpec_Rfilt_sma[6];audSpec_Rfilt_sma[7];audSpec_Rfilt_sma[8];audSpec_Rfilt_sma[9];audSpec_Rfilt_sma[10];audSpec_Rfilt_sma[11];audSpec_Rfilt_sma[12];audSpec_Rfilt_sma[13];audSpec_Rfilt_sma[14];audSpec_Rfilt_sma[15];audSpec_Rfilt_sma[16];audSpec_Rfilt_sma[17];audSpec_Rfilt_sma[18];audSpec_Rfilt_sma[19];audSpec_Rfilt_sma[20];audSpec_Rfilt_sma[21];audSpec_Rfilt_sma[22];audSpec_Rfilt_sma[23];audSpec_Rfilt_sma[24];audSpec_Rfilt_sma[25];pcm_fftMag_fband25-650_sma;pcm_fftMag_fband1000-4000_sma;pcm_fftMag_spectralRollOff25.0_sma;pcm_fftMag_spectralRollOff50.0_sma;pcm_fftMag_spectralRollOff75.0_sma;pcm_fftMag_spectralRollOff90.0_sma;pcm_fftMag_spectralFlux_sma;pcm_fftMag_spectralEntropy_sma;pcm_fftMag_spectralVariance_sma;pcm_fftMag_spectralSkewness_sma;pcm_fftMag_spectralKurtosis_sma;pcm_fftMag_spectralSlope_sma;pcm_fftMag_mfcc_sma[1];pcm_fftMag_mfcc_sma[2];pcm_fftMag_mfcc_sma[3];pcm_fftMag_mfcc_sma[4];pcm_fftMag_mfcc_sma[5];pcm_fftMag_mfcc_sma[6];pcm_fftMag_mfcc_sma[7];pcm_fftMag_mfcc_sma[8];pcm_fftMag_mfcc_sma[9];pcm_fftMag_mfcc_sma[10];pcm_fftMag_mfcc_sma[11];pcm_fftMag_mfcc_sma[12];F0final_sma_de;voicingFinalUnclipped_sma_de;jitterLocal_sma_de;jitterDDP_sma_de;shimmerLocal_sma_de;audspec_lengthL1norm_sma_de;audspecRasta_lengthL1norm_sma_de;pcm_RMSenergy_sma_de;pcm_zcr_sma_de;audSpec_Rfilt_sma_de[0];audSpec_Rfilt_sma_de[1];audSpec_Rfilt_sma_de[2];audSpec_Rfilt_sma_de[3];audSpec_Rfilt_sma_de[4];audSpec_Rfilt_sma_de[5];audSpec_Rfilt_sma_de[6];audSpec_Rfilt_sma_de[7];audSpec_Rfilt_sma_de[8];audSpec_Rfilt_sma_de[9];audSpec_Rfilt_sma_de[10];audSpec_Rfilt_sma_de[11];audSpec_Rfilt_sma_de[12];audSpec_Rfilt_sma_de[13];audSpec_Rfilt_sma_de[14];audSpec_Rfilt_sma_de[15];audSpec_Rfilt_sma_de[16];audSpec_Rfilt_sma_de[17];audSpec_Rfilt_sma_de[18];audSpec_Rfilt_sma_de[19];audSpec_Rfilt_sma_de[20];audSpec_Rfilt_sma_de[21];audSpec_Rfilt_sma_de[22];audSpec_Rfilt_sma_de[23];audSpec_Rfilt_sma_de[24];audSpec_Rfilt_sma_de[25];pcm_fftMag_fband25-650_sma_de;pcm_fftMag_fband1000-4000_sma_de;pcm_fftMag_spectralRollOff25.0_sma_de;pcm_fftMag_spectralRollOff50.0_sma_de;pcm_fftMag_spectralRollOff75.0_sma_de;pcm_fftMag_spectralRollOff90.0_sma_de;pcm_fftMag_spectralFlux_sma_de;pcm_fftMag_spectralEntropy_sma_de;pcm_fftMag_spectralVariance_sma_de;pcm_fftMag_spectralSkewness_sma_de;pcm_fftMag_spectralKurtosis_sma_de;pcm_fftMag_spectralSlope_sma_de;pcm_fftMag_mfcc_sma_de[1];pcm_fftMag_mfcc_sma_de[2];pcm_fftMag_mfcc_sma_de[3];pcm_fftMag_mfcc_sma_de[4];pcm_fftMag_mfcc_sma_de[5];pcm_fftMag_mfcc_sma_de[6];pcm_fftMag_mfcc_sma_de[7];pcm_fftMag_mfcc_sma_de[8];pcm_fftMag_mfcc_sma_de[9];pcm_fftMag_mfcc_sma_de[10];pcm_fftMag_mfcc_sma_de[11];pcm_fftMag_mfcc_sma_de[12]
'unknown';0.010000;0;0;0;0;0;1.002140e-01;9.883412e-01;2.570669e-03;5.833333e-02;1.292162e-01;2.720484e-01;4.195279e-01;5.544473e-01;6.697289e-01;7.658961e-01;8.470284e-01;9.178292e-01;9.822495e-01;1.043099e+00;1.102099e+00;1.160070e+00;1.217131e+00;1.272837e+00;1.326212e+00;1.375581e+00;1.418056e+00;1.448481e+00;1.457878e+00;1.432704e+00;1.358746e+00;1.232340e+00;1.069155e+00;8.959276e-01;7.342484e-01;5.943311e-01;6.431551e-04;4.276171e-05;8.333334e+01;2.083333e+02;4.375000e+02;9.375000e+02;7.682205e-03;4.396297e+00;3.123781e+05;3.962441e+00;2.731815e+01;-1.270846e-04;2.710574e+01;-4.328363e+00;1.259984e+01;-4.354167e+00;8.136966e+00;-2.070355e+01;7.979746e+00;-2.923556e+00;1.466240e+01;-3.525355e-01;9.766307e+00;-1.489564e+00;0;0;0;0;0;2.804896e-03;0;1.550090e-04;1.770834e-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.032972e-04;2.639471e-06;-3.125001e+00;-2.604167e+01;-4.166669e+00;-6.666666e+01;2.267629e-03;-1.212256e-01;-2.721775e+04;1.122886e-01;1.770677e+00;-2.046015e-05;8.020126e-01;6.833215e-02;1.755939e-01;-1.046596e+00;6.674970e-01;2.179923e+00;2.362337e+00;1.873394e+00;-1.925122e-01;-8.113440e-01;6.851398e-01;1.147491e+00
'unknown';0.020000;0;0;0;0;0;1.067159e-01;9.883412e-01;2.915188e-03;6.354167e-02;1.292162e-01;2.720484e-01;4.195279e-01;5.544473e-01;6.697289e-01;7.658961e-01;8.470284e-01;9.178292e-01;9.822495e-01;1.043099e+00;1.102099e+00;1.160070e+00;1.217131e+00;1.272837e+00;1.326212e+00;1.375581e+00;1.418056e+00;1.448481e+00;1.457878e+00;1.432704e+00;1.358746e+00;1.232340e+00;1.069155e+00;8.959276e-01;7.342484e-01;5.943311e-01;8.331649e-04;5.389814e-05;7.291666e+01;1.562500e+02;4.375000e+02;8.125000e+02;1.190131e-02;4.187141e+00;2.670253e+05;4.030028e+00;2.841331e+01;-1.651294e-04;2.881786e+01;-5.127286e+00;1.314604e+01;-6.037214e+00;1.032399e+01;-1.748532e+01;1.134964e+01;4.163496e-02;1.411701e+01;-1.889186e+00;1.118058e+01;1.346026e-01;0;0;0;0;0;2.835793e-03;0;2.239039e-04;6.250005e-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.603409e-04;1.806830e-06;-5.208334e+00;-3.125000e+01;-1.458333e+01;-9.583333e+01;2.869570e-03;-1.815776e-01;-3.793189e+04;2.874148e-01;4.606213e+00;-3.103879e-05;9.837143e-01;5.011150e-01;3.942166e-01;-1.160586e+00;1.165692e+00;3.049754e+00;2.884247e+00;1.963347e+00;-6.376745e-01;-1.139871e+00;1.868031e-01;9.771002e-01
'unknown';0.030000;0;0;0;0;0;1.109876e-01;9.883412e-01;3.173454e-03;6.458334e-02;1.292162e-01;2.720484e-01;4.195279e-01;5.544473e-01;6.697289e-01;7.658961e-01;8.470284e-01;9.178292e-01;9.822495e-01;1.043099e+00;1.102099e+00;1.160070e+00;1.217131e+00;1.272837e+00;1.326212e+00;1.375581e+00;1.418056e+00;1.448481e+00;1.457878e+00;1.432704e+00;1.358746e+00;1.232340e+00;1.069155e+00;8.959276e-01;7.342484e-01;5.943311e-01;1.064636e-03;5.039085e-05;7.291666e+01;1.041667e+02;4.166667e+02;6.666667e+02;1.691079e-02;3.894748e+00;1.989657e+05;4.490091e+00;3.562395e+01;-2.103630e-04;3.025974e+01;-3.587240e+00;1.320471e+01;-8.745625e+00;1.038094e+01;-1.141306e+01;1.810649e+01;4.960819e+00;1.397254e+01;-3.640930e+00;1.248487e+01;3.435808e+00;0;0;0;0;0;1.549223e-03;-5.819321e-04;2.317006e-04;-2.604167e-03;1.427233e-05;-2.968073e-04;-3.604472e-04;-1.300704e-03;-2.448463e-03;-3.676176e-04;-3.833461e-03;3.242493e-06;-1.630414e-03;-4.379010e-03;1.635933e-03;1.305175e-03;-2.817988e-03;-1.463628e-03;-2.737594e-03;2.655506e-03;-4.935503e-04;-5.717278e-04;-2.376223e-03;1.137948e-03;-1.565361e-03;5.449295e-04;1.859164e-03;2.403927e-03;-1.143706e-03;1.096380e-03;1.666040e-04;-9.109550e-07;-7.291667e+00;-3.020833e+01;-2.708333e+01;-9.895834e+01;2.709829e-03;-2.259398e-01;-3.764201e+04;3.933837e-01;6.240195e+00;-3.155899e-05;6.467772e-01;7.179080e-01;1.663910e-01;-6.927093e-01;8.572127e-01;2.904084e+00;2.997065e+00;1.389526e+00;-1.692286e-01;-6.957577e-01;-2.024097e-02;5.526206e-01
'unknown';0.040000;0;0;0;0;0;1.090062e-01;9.883412e-01;3.388796e-03;5.833333e-02;1.292162e-01;2.720484e-01;4.195279e-01;5.544473e-01;6.697289e-01;7.658961e-01;8.470284e-01;9.178292e-01;9.822495e-01;1.043099e+00;1.102099e+00;1.160070e+00;1.217131e+00;1.272837e+00;1.326212e+00;1.375581e+00;1.418056e+00;1.448481e+00;1.457878e+00;1.432704e+00;1.358746e+00;1.232340e+00;1.069155e+00;8.959276e-01;7.342484e-01;5.943311e-01;1.234119e-03;4.798129e-05;6.250000e+01;1.041667e+02;375;5.937500e+02;1.741576e-02;3.739184e+00;1.794248e+05;5.135691e+00;4.619631e+01;-2.406394e-04;3.044731e+01;-2.193349e+00;1.426849e+01;-7.961368e+00;1.284344e+01;-1.010003e+01;1.733761e+01;2.950992e+00;1.181896e+01;-4.407691e+00;9.341043e+00;9.332506e-01;0;0;0;0;0;-6.445706e-04;-2.091122e-03;1.513749e-04;-7.083334e-03;9.779781e-05;-1.544732e-03;-2.136102e-03;-4.877525e-03;-3.949118e-03;-1.718175e-03;-1.472655e-02;-3.131628e-05;-1.090431e-02;-1.490685e-02;1.075995e-02;6.237924e-03;-9.394753e-03;-5.455744e-03;-3.759420e-03;5.291224e-03;-8.373153e-03;-2.537393e-03;-1.111269e-02;-1.484740e-03;-1.102734e-03;2.529001e-03;5.924857e-03;1.001155e-02;-9.158313e-04;3.710157e-03;1.303141e-04;-2.503049e-06;-1.041667e+01;-2.083333e+01;-4.375000e+01;-7.395834e+01;1.521197e-03;-2.134362e-01;-2.374890e+04;4.201035e-01;6.450575e+00;-2.280913e-05;-3.298664e-02;6.584063e-01;-1.479595e-01;6.166272e-01;8.033636e-01;6.594022e-01;1.084711e+00;-9.327457e-02;4.950014e-01;7.563876e-01;4.194317e-02;-6.136013e-01
'unknown';0.050000;0;0;0;0;0;1.068150e-01;9.854315e-01;3.492368e-03;4.791667e-02;1.292875e-01;2.705643e-01;4.177257e-01;5.479438e-01;6.574866e-01;7.640581e-01;8.278611e-01;9.178454e-01;9.740974e-01;1.021204e+00;1.110279e+00;1.166596e+00;1.203041e+00;1.265519e+00;1.312524e+00;1.388858e+00;1.415589e+00;1.445622e+00;1.445996e+00;1.438394e+00;1.350919e+00;1.235064e+00;1.078451e+00;9.079472e-01;7.285299e-01;5.998130e-01;1.275698e-03;4.116536e-05;5.208333e+01;8.333334e+01;3.333333e+02;5.520833e+02;1.847413e-02;3.490577e+00;1.679683e+05;5.376528e+00;4.962762e+01;-2.471246e-04;2.952490e+01;-2.205791e+00;1.287057e+01;-6.855637e+00;1.116331e+01;-9.875775e+00;1.997109e+01;2.569393e+00;1.496528e+01;-2.572071e+00;1.058487e+01;8.742154e-01;0;0;0;0;0;-1.719710e-03;-3.400528e-03;-1.610583e-06;-7.187502e-03;-3.243134e-04;-4.886767e-03;-6.431562e-03;-9.346073e-03;-8.107483e-03;-8.361268e-03;-3.265256e-02;-8.181632e-04;-2.788647e-02;-2.434291e-02;3.547810e-02;1.699562e-02;-1.574513e-02;-8.453751e-03;-3.516912e-03;9.246444e-03;-2.061003e-02;-4.691243e-03;-1.950186e-02;-7.093442e-03;4.695558e-03;7.661366e-03;1.081258e-02;2.262456e-02;1.240128e-03;5.602437e-03;-1.014412e-05;-4.486505e-07;-9.374999e+00;-1.041667e+01;-3.020833e+01;-5.208337e+00;1.315275e-04;-9.099440e-02;9.069986e+03;1.081422e-01;1.197527e+00;4.089683e-06;-8.164930e-01;-2.575012e-01;-4.383354e-01;1.242100e+00;1.256142e+00;-8.326966e-01;-7.255772e-01;-1.261798e+00;1.041827e+00;1.425352e+00;4.002992e-01;-1.159072e+00
'unknown';0.060000;0;0;0;0;0;1.055793e-01;9.793404e-01;3.512605e-03;3.645833e-02;1.296695e-01;2.650667e-01;4.097485e-01;5.333114e-01;6.561045e-01;7.582243e-01;7.829793e-01;9.176645e-01;9.318040e-01;9.795127e-01;1.151809e+00;1.187997e+00;1.177202e+00;1.249217e+00;1.314259e+00;1.395398e+00;1.377425e+00;1.437223e+00;1.408255e+00;1.422435e+00;1.357146e+00;1.243622e+00;1.094131e+00;9.399756e-01;7.325285e-01;6.101409e-01;1.379204e-03;4.599564e-05;3.125000e+01;6.250000e+01;2.604167e+02;500;1.872564e-02;3.322046e+00;1.637795e+05;5.687326e+00;5.366435e+01;-2.607942e-04;2.902035e+01;-2.525980e+00;1.257331e+01;-3.899071e+00;1.394963e+01;-1.495695e+01;1.584090e+01;7.709753e-01;1.609564e+01;1.358323e+00;1.234030e+01;-1.652608e+00;0;0;0;0;0;-1.683195e-03;-3.765506e-03;-2.081378e-04;-2.500000e-03;-1.763901e-03;-8.214754e-03;-1.391537e-02;-1.069915e-02;-1.119708e-02;-2.124267e-02;-4.847568e-02;-1.219231e-03;-4.902915e-02;-2.769895e-02;6.878616e-02;2.944801e-02;-1.933720e-02;-8.729232e-03;-1.682329e-03;1.388540e-02;-2.992575e-02;-7.161987e-03;-2.345064e-02;-1.238713e-02;1.818826e-02;1.466327e-02;9.242093e-03;3.281049e-02;6.963002e-03;4.241556e-03;-1.259577e-04;5.994014e-07;-1.041666e+00;-1.041667e+00;-7.291669e+00;4.270833e+01;-4.840687e-04;7.137284e-02;2.823914e+04;-1.698267e-01;-3.400432e+00;2.522071e-05;-9.219755e-01;-5.631546e-01;-3.890410e-01;1.069440e+00;1.262360e+00;-1.085138e+00;-1.352899e+00;-1.409312e+00;5.977706e-01;1.759463e+00;2.779880e-01;-1.569617e+00
'unknown';0.070000;0;0;0;0;0;1.041025e-01;9.758389e-01;3.103497e-03;3.958333e-02;1.273680e-01;2.511054e-01;3.922598e-01;5.182849e-01;6.360037e-01;7.279257e-01;7.157902e-01;9.138207e-01;8.680399e-01;9.531782e-01;1.254635e+00;1.231085e+00;1.158370e+00;1.242378e+00;1.314604e+00;1.411904e+00;1.335322e+00;1.430654e+00;1.385180e+00;1.402371e+00;1.383024e+00;1.265005e+00;1.110730e+00;9.870265e-01;7.413090e-01;6.144384e-01;9.413728e-04;4.914042e-05;4.166667e+01;7.291666e+01;3.229167e+02;6.875000e+02;1.691349e-02;3.648345e+00;2.521383e+05;4.754984e+00;3.787757e+01;-1.798371e-04;2.689076e+01;-4.708431e+00;1.186062e+01;-4.566275e+00;1.610855e+01;-1.314808e+01;1.522696e+01;-2.581620e-01;1.704333e+01;6.028223e-01;1.298674e+01;-1.066623e+00;0;0;0;0;0;-1.853565e-03;-3.861028e-03;-3.211866e-04;3.854167e-03;-3.821815e-03;-8.439566e-03;-2.062480e-02;-3.782141e-03;-1.475308e-02;-3.826048e-02;-5.228584e-02;-4.891706e-03;-5.999213e-02;-1.846406e-02;8.887607e-02;2.831551e-02;-1.815065e-02;-6.207073e-03;-1.003699e-02;1.705959e-02;-2.700229e-02;-9.971237e-03;-1.437342e-02;-1.158062e-02;2.867732e-02;2.040368e-02;-1.153815e-03;2.890291e-02;1.360481e-02;-2.433979e-03;-1.969952e-04;8.987088e-07;7.291667e+00;1.041667e+01;1.041667e+01;6.354167e+01;-1.002509e-03;1.938110e-01;3.599090e+04;-3.032809e-01;-5.539383e+00;3.696089e-05;-6.824116e-01;-4.598745e-01;1.925934e-01;4.506302e-01;1.447132e+00;-9.746675e-02;-1.693671e+00;-1.870040e+00;-6.272444e-01;4.577671e-01;-2.267478e-01;-9.873764e-01
'unknown';0.080000;0;0;0;0;0;1.019465e-01;9.743099e-01;2.542542e-03;5.000000e-02;1.213565e-01;2.407041e-01;3.626840e-01;5.157810e-01;6.244850e-01;6.777490e-01;6.606855e-01;9.137454e-01;7.901325e-01;9.386177e-01;1.373852e+00;1.275066e+00;1.142780e+00;1.240761e+00;1.316760e+00;1.433485e+00;1.308561e+00;1.420156e+00;1.371033e+00;1.388780e+00;1.433635e+00;1.290686e+00;1.099226e+00;1.020440e+00;7.626739e-01;6.082262e-01;7.714930e-04;4.699076e-05;6.250000e+01;1.041667e+02;3.437500e+02;7.395833e+02;1.577573e-02;4.017164e+00;2.785355e+05;4.597330e+00;3.506918e+01;-1.481795e-04;2.715450e+01;-3.757802e+00;1.282826e+01;-3.758851e+00;1.668262e+01;-1.388957e+01;1.294518e+01;-2.681791e+00;1.376879e+01;2.802179e+00;9.530051e+00;-5.944417e+00;0;0;0;0;0;-1.537889e-03;-4.781014e-03;-3.117723e-04;8.541668e-03;-5.590344e-03;-5.103222e-03;-2.120199e-02;1.001299e-02;-1.703793e-02;-4.960642e-02;-3.993645e-02;-1.163700e-02;-5.290551e-02;-2.003855e-03;7.566302e-02;3.427613e-03;-1.180521e-02;1.064658e-04;-2.720530e-02;1.647551e-02;-8.488786e-03;-1.632048e-02;1.643240e-03;5.928755e-04;2.032718e-02;1.831862e-02;-1.397684e-02;8.958864e-03;1.462292e-02;-1.163644e-02;-1.839204e-04;6.028986e-07;1.145833e+01;1.666667e+01;2.083333e+01;6.041666e+01;-1.344107e-03;2.186952e-01;2.559413e+04;-2.967674e-01;-5.187187e+00;3.359454e-05;-1.715187e-01;-1.941016e-01;5.545366e-01;-1.364616e-01;3.756329e-01;-9.555264e-02;-1.245465e+00;-1.571721e+00;-1.662566e+00;-9.397896e-01;-3.177471e-02;-2.218706e-01
'unknown';0.090000;0;0;0;0;0;9.936357e-02;9.686416e-01;2.371466e-03;6.041667e-02;1.143350e-01;2.405478e-01;3.381340e-01;5.377983e-01;5.995310e-01;6.129933e-01;6.275789e-01;8.953465e-01;7.449725e-01;9.493315e-01;1.443638e+00;1.264639e+00;1.129498e+00;1.238711e+00;1.261088e+00;1.455113e+00;1.315009e+00;1.404300e+00;1.392740e+00;1.397318e+00;1.456061e+00;1.313551e+00;1.070134e+00;1.012229e+00;7.814813e-01;5.886005e-01;5.945779e-04;4.516134e-05;7.291666e+01;1.145833e+02;3.437500e+02;750;1.493653e-02;4.112072e+00;2.905448e+05;4.405122e+00;3.122829e+01;-1.186274e-04;2.704577e+01;-3.889253e+00;1.370607e+01;-4.672596e+00;1.703247e+01;-1.089680e+01;1.295059e+01;-5.054426e+00;1.299249e+01;-1.005163e+00;1.085626e+01;-1.916762e+00;0;0;0;0;0;-7.420555e-05;-5.382407e-03;-1.580497e-04;8.125000e-03;-6.527475e-03;-1.177880e-03;-1.254534e-02;2.222390e-02;-1.001312e-02;-4.420562e-02;-1.734475e-02;-1.670760e-02;-3.216594e-02;2.235150e-02;3.308177e-02;-3.339921e-02;3.708589e-03;1.144484e-02;-3.718438e-02;1.099718e-03;1.352494e-02;-2.257640e-02;1.547426e-02;1.507525e-02;-4.412544e-03;5.066621e-03;-1.918703e-02;-1.654940e-02;9.320825e-03;-1.831896e-02;-8.731404e-05;3.973894e-06;1.145833e+01;3.333334e+01;3.229166e+01;6.145834e+01;-1.016390e-03;1.654417e-01;1.146056e+04;-1.925864e-01;-2.549921e+00;1.545732e-05;2.031918e-01;-4.477288e-01;1.429577e-02;-7.118174e-01;-4.500117e-01;-7.395207e-01;-1.496458e+00;-1.350885e+00;-1.918831e+00;-2.259065e+00;7.104185e-01;7.406820e-01
'unknown';0.100000;0;0;0;0;0;1.002593e-01;9.590340e-01;2.319759e-03;6.875000e-02;1.082343e-01;2.448294e-01;3.308015e-01;5.736197e-01;5.891512e-01;5.676584e-01;6.274027e-01;8.687167e-01;7.288101e-01;9.714168e-01;1.435623e+00;1.188358e+00;1.132612e+00;1.251583e+00;1.204990e+00;1.456172e+00;1.345137e+00;1.368798e+00;1.412691e+00;1.427926e+00;1.422263e+00;1.310943e+00;1.044545e+00;9.721684e-01;7.855570e-01;5.648777e-01;6.329996e-04;5.099967e-05;7.291666e+01;125;3.541667e+02;7.708333e+02;1.299358e-02;4.183658e+00;2.725469e+05;4.378420e+00;3.105305e+01;-1.234264e-04;2.808525e+01;-3.906077e+00;1.442327e+01;-4.528219e+00;1.536583e+01;-1.656035e+01;1.075175e+01;-4.689500e+00;9.808238e+00;-2.536632e+00;1.324666e+01;-2.336891e+00;0;0;0;0;0;1.084228e-03;-2.970493e-03;-3.085798e-06;5.208333e-03;-6.427499e-03;-8.585021e-04;7.567584e-04;2.256401e-02;-1.630789e-03;-2.249444e-02;3.507149e-03;-1.328647e-02;-8.864599e-03;5.217844e-02;-1.103042e-02;-5.636294e-02;2.515645e-02;2.273499e-02;-2.974427e-02;-2.424105e-02;3.107171e-02;-1.914904e-02;2.984837e-02;2.985694e-02;-2.762758e-02;-1.186959e-02;-9.927643e-03;-3.094820e-02;-1.437920e-03;-1.900752e-02;-1.445557e-05;5.858401e-06;8.333334e+00;3.645834e+01;3.437500e+01;6.666667e+01;1.624063e-04;7.200642e-02;5.203491e+03;-6.995807e-02;-1.495543e-01;1.853559e-06;7.958432e-02;-7.502314e-01;-3.981984e-01;-1.249842e+00;-3.663443e-01;-5.514747e-01;-1.140097e+00;-3.207597e-01;-8.088306e-01;-2.089765e+00;9.634304e-01;5.714286e-01
