name,frameTime,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband25-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],F0final_sma_de,voicingFinalUnclipped_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de,audspec_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,pcm_RMSenergy_sma_de,pcm_zcr_sma_de,audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[25],pcm_fftMag_fband25-650_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12]
ang,0.010000,0,0,0,0,0,3.767029e-01,9.883412e-01,1.461891e-02,9.895834e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,1.487269e-02,2.867792e-03,5.729167e+02,625,7.395833e+02,1.031250e+03,4.002963e-02,4.061542e+00,2.020579e+05,3.534680e+00,2.238096e+01,-4.933434e-03,2.882478e+01,-1.857371e+01,3.416956e+00,-1.960004e+01,-1.319787e+01,-1.349001e+01,1.514802e+01,3.970014e+00,4.804300e+01,4.398353e+00,-1.782230e+01,-2.214557e+01,0,1.821972e-01,0,0,0,-2.218623e-02,0,-1.328066e-03,2.604166e-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.950827e-03,-3.129820e-04,-4.375001e+01,1.354166e+01,-2.083325e+00,1.145833e+02,9.697750e-03,8.334418e-02,3.873443e+04,-2.711814e-01,-2.389690e+00,8.479888e-04,-7.322401e-01,4.884605e-01,1.476678e+00,2.478540e+00,2.004681e+00,3.113065e+00,2.818576e-01,1.302792e+00,4.655132e-01,-3.747287e+00,3.992395e-01,-1.221823e-01
ang,0.020000,0,6.075341e-01,0,0,0,3.337518e-01,9.883412e-01,1.187620e-02,1.083333e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,8.982006e-03,2.302780e-03,4.479167e+02,6.562500e+02,7.395833e+02,1.260417e+03,6.101416e-02,4.196858e+00,273822,2.961530e+00,1.760259e+01,-3.285580e-03,2.745023e+01,-1.787343e+01,6.233379e+00,-1.329821e+01,-8.103530e+00,-5.822476e+00,1.633425e+01,8.002991e+00,4.997129e+01,-3.510326e+00,-1.662919e+01,-2.321372e+01,0,1.893040e-01,0,0,0,-3.211724e-02,0,-1.927452e-03,1.041666e-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.605918e-03,-4.898537e-04,-6.354168e+01,1.562499e+01,-5.208325e+00,1.395833e+02,6.658344e-03,1.349111e-01,6.053239e+04,-3.501692e-01,-3.231218e+00,1.104179e-03,-8.862841e-01,9.729096e-01,2.157136e+00,2.579613e+00,2.097497e+00,4.513010e+00,-2.283878e-02,5.963912e-01,9.654121e-02,-4.762573e+00,1.884354e-01,3.825436e-01
ang,0.030000,0,6.072188e-01,0,0,0,2.872473e-01,9.883412e-01,9.349936e-03,1.072917e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,3.063897e-03,1.585388e-03,4.166667e+02,6.770833e+02,7.291667e+02,1.489583e+03,7.802611e-02,4.410605e+00,3.598480e+05,2.465348e+00,1.282169e+01,-1.517417e-03,2.585086e+01,-1.648154e+01,9.392135e+00,-1.035826e+01,-5.721632e+00,-1.758448e+00,1.596419e+01,8.467484e+00,4.940642e+01,-1.038374e+01,-1.642266e+01,-2.222240e+01,3.936818e+01,1.435246e-01,0,0,7.084469e-02,-3.204927e-02,-2.990365e-03,-1.850638e-03,-1.041667e-03,-8.237958e-05,-8.195877e-04,7.591724e-04,2.107298e-03,-3.014266e-03,-2.994108e-03,-6.178212e-03,-8.654952e-03,3.302240e-03,-5.749798e-03,-7.440090e-03,-9.078312e-03,-1.716535e-02,-4.329300e-03,-5.580640e-03,4.404545e-04,-9.990453e-04,-3.549862e-03,-1.063347e-04,-7.582664e-04,-1.736021e-03,-2.655101e-03,-9.481907e-04,-3.355110e-03,-2.077937e-04,1.044059e-03,-3.107794e-03,-5.265004e-04,-5.520834e+01,1.041667e+01,-6.249994e+00,1.343750e+02,5.883645e-04,1.941840e-01,7.317002e+04,-3.051820e-01,-3.052544e+00,1.028982e-03,-9.035479e-01,1.469284e+00,2.159111e+00,1.450986e+00,1.095725e+00,3.891799e+00,-5.431176e-01,-1.294594e+00,-2.128263e+00,-3.514652e+00,4.641197e-01,1.002386e+00
ang,0.040000,0,6.429107e-01,0,0,0,2.608445e-01,9.883412e-01,7.616138e-03,1.000000e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,2.747499e-03,1.059725e-03,3.333333e+02,6.770833e+02,7.187500e+02,1500,5.432311e-02,4.561566e+00,4.258248e+05,2.318500e+00,1.100451e+01,-1.120546e-03,2.588033e+01,-1.475524e+01,1.121505e+01,-1.132287e+01,-6.448500e+00,3.209259e+00,1.462574e+01,4.703234e+00,4.784399e+01,-1.202347e+01,-1.757995e+01,-2.019443e+01,5.896867e+01,3.991390e-02,0,0,1.157911e-01,-1.610451e-02,-4.638541e-03,-8.689775e-04,-1.354167e-03,-6.164700e-04,-7.929683e-04,1.064192e-02,1.668125e-02,4.051745e-04,-6.337404e-04,-1.857396e-02,-2.551371e-02,1.804676e-02,-1.333785e-03,-2.109933e-02,-2.759817e-02,-5.129207e-02,-1.019511e-02,-1.043414e-02,2.102089e-03,-5.668175e-03,-1.393936e-02,1.176429e-03,5.672025e-03,3.570247e-03,4.155052e-03,3.437710e-03,-5.984801e-03,-4.718125e-04,7.657182e-03,-5.124017e-04,-3.581144e-04,-3.958333e+01,-1.770832e+01,-1.145833e+01,2.187500e+01,-3.178993e-03,1.791772e-01,4.267557e+04,1.109810e-02,2.284307e-02,4.156404e-04,-2.097004e-01,2.154082e+00,1.240607e+00,-4.804104e-01,-1.113066e-01,1.303472e+00,-1.634658e+00,-4.223733e+00,-5.681120e+00,-8.898836e-01,1.419512e+00,1.566825e+00
ang,0.050000,1.968409e+02,6.999349e-01,0,0,3.542234e-01,2.529102e-01,9.733893e-01,7.495753e-03,9.791666e-02,1.288043e-01,2.679504e-01,4.233238e-01,5.649838e-01,6.546576e-01,7.509256e-01,8.161374e-01,8.745545e-01,9.987607e-01,1.014350e+00,1.064899e+00,1.114679e+00,1.131304e+00,1.251190e+00,1.298308e+00,1.377783e+00,1.413061e+00,1.430732e+00,1.457346e+00,1.428913e+00,1.350066e+00,1.219064e+00,1.064414e+00,8.791521e-01,7.332094e-01,5.995514e-01,2.450976e-03,8.568173e-04,3.541667e+02,6.666667e+02,7.187500e+02,1.583333e+03,4.631698e-02,4.850108e+00,4.919065e+05,2.330285e+00,1.041728e+01,-8.710400e-04,2.509200e+01,-1.278638e+01,1.172168e+01,-1.333279e+01,-8.546760e+00,1.453122e+00,1.328669e+01,-8.530791e-01,3.846533e+01,-8.918336e+00,-1.502633e+01,-1.864328e+01,5.868785e+01,4.738601e-02,2.201697e-02,3.376416e-02,1.300771e-01,6.765208e-03,1.369131e-03,6.499297e-04,-1.490116e-09,-8.598507e-04,3.590178e-03,3.298805e-02,5.775131e-02,2.160387e-02,1.824391e-02,-2.942239e-02,-4.086252e-02,6.075896e-02,3.580767e-02,-3.188064e-02,-4.356067e-02,-8.609643e-02,-1.040614e-02,-3.813589e-03,-1.101577e-03,-2.140320e-02,-3.469406e-02,4.099763e-03,2.476056e-02,2.483294e-02,2.200583e-02,1.659602e-02,-3.597939e-03,-1.570851e-03,2.182938e-02,2.886634e-03,-4.687739e-05,-3.437500e+01,-3.958332e+01,-1.979168e+01,-9.479169e+01,5.709339e-04,7.498131e-02,-1.374909e+04,2.999474e-01,3.669997e+00,-3.874594e-04,9.275015e-01,2.359216e+00,-3.528276e-01,-1.392450e+00,1.734047e-02,-1.687442e+00,-2.302014e+00,-4.542100e+00,-8.129117e+00,7.731935e-01,3.347748e+00,1.895719e+00
ang,0.060000,1.964229e+02,7.607455e-01,0,0,4.018435e-01,2.703978e-01,9.726244e-01,8.458407e-03,1.062500e-01,1.263398e-01,2.701325e-01,4.708396e-01,6.325853e-01,6.792905e-01,7.702127e-01,7.696041e-01,8.118981e-01,1.064228e+00,1.050805e+00,1.015203e+00,1.044775e+00,1.003584e+00,1.232684e+00,1.287993e+00,1.384990e+00,1.392213e+00,1.387659e+00,1.464025e+00,1.462960e+00,1.380937e+00,1.259753e+00,1.088714e+00,8.743914e-01,7.324088e-01,6.300068e-01,6.726459e-03,8.764931e-04,2.812500e+02,5.729167e+02,6.875000e+02,1.322917e+03,6.097377e-02,4.872993e+00,4.211706e+05,3.084552e+00,1.891901e+01,-1.530566e-03,2.678116e+01,-8.950603e+00,1.127164e+01,-1.421300e+01,-7.247499e+00,-9.109020e-01,9.499715e+00,-8.455394e+00,2.703623e+01,-8.692448e+00,-1.022980e+01,-1.716916e+01,3.861648e+01,3.521085e-02,2.662526e-02,5.010349e-02,1.095372e-01,3.391278e-02,2.442196e-02,3.036066e-03,-4.166655e-04,-5.769134e-04,1.531732e-02,6.734888e-02,1.366167e-01,8.359969e-02,8.025137e-02,-1.599110e-02,-3.751888e-02,1.541244e-01,1.429459e-01,-1.926554e-02,-3.814939e-02,-8.990999e-02,-3.220558e-04,1.575541e-02,-1.143857e-02,-4.747262e-02,-5.377974e-02,1.067798e-02,5.121435e-02,6.204517e-02,5.138278e-02,3.647329e-02,8.783263e-03,-4.085529e-03,3.694580e-02,1.099928e-02,6.568272e-04,-8.333331e+00,-4.895833e+01,-2.812501e+01,-1.750000e+02,1.804210e-02,-1.046921e-01,-8.034260e+04,4.837224e-01,7.588194e+00,-2.064500e-03,2.442023e+00,2.216260e+00,-2.491218e+00,-3.047310e+00,3.983330e-01,-3.629779e+00,-3.749769e+00,-5.320808e+00,-8.163620e+00,9.974368e-01,5.016644e+00,2.839056e+00
ang,0.070000,1.952278e+02,7.852314e-01,1.100849e-01,1.688208e-01,4.494636e-01,3.162967e-01,1.003045e+00,1.217845e-02,1.041667e-01,1.263551e-01,2.909572e-01,5.588123e-01,8.041348e-01,7.729675e-01,8.549574e-01,7.386286e-01,7.664822e-01,1.245055e+00,1.218285e+00,9.861443e-01,9.999143e-01,8.934221e-01,1.240882e+00,1.326253e+00,1.365368e+00,1.323962e+00,1.305422e+00,1.475302e+00,1.541379e+00,1.471815e+00,1.328662e+00,1.142356e+00,8.887060e-01,7.273139e-01,6.856401e-01,1.550759e-02,1.442617e-03,2.708333e+02,5.312500e+02,6.458333e+02,1.104167e+03,7.755545e-02,4.629798e+00,2.934297e+05,3.582059e+00,2.721443e+01,-3.249704e-03,3.003795e+01,-7.587779e+00,7.599699e+00,-1.587544e+01,-5.235430e+00,-8.135575e+00,7.017134e+00,-7.663699e+00,1.916472e+01,-8.183284e+00,-3.358999e+00,-1.425645e+01,-1.637224e+00,1.224029e-02,1.702496e-02,4.928935e-02,3.958721e-02,6.036032e-02,6.603797e-02,5.653745e-03,-3.854164e-03,5.511552e-04,3.406442e-02,1.039701e-01,2.465013e-01,1.846673e-01,1.991226e-01,3.915093e-02,3.690135e-03,3.333750e-01,3.440598e-01,2.780362e-02,-5.521965e-03,-4.671533e-02,1.793672e-02,3.794768e-02,-2.983725e-02,-7.529025e-02,-5.180453e-02,2.569395e-02,5.993190e-02,8.897939e-02,6.944896e-02,4.615043e-02,2.408977e-02,-5.546934e-03,4.456922e-02,2.155851e-02,1.625535e-03,2.187500e+01,-2.604167e+01,-1.562501e+01,-1.687500e+02,2.852633e-02,-2.399656e-01,-1.116241e+05,2.606952e-01,7.224668e+00,-4.616593e-03,3.834474e+00,1.267063e+00,-4.668199e+00,-4.268824e+00,7.939243e-02,-1.908418e+00,-4.075597e+00,-4.353759e+00,-6.215538e+00,-4.776848e-01,5.354689e+00,3.774118e+00
ang,0.080000,1.938889e+02,7.763166e-01,7.808386e-02,1.661070e-01,5.000660e-01,3.987152e-01,1.095623e+00,2.045512e-02,9.479167e-02,1.275562e-01,3.371316e-01,6.885281e-01,1.117955e+00,1.028572e+00,1.115137e+00,8.058273e-01,7.842709e-01,1.629724e+00,1.655861e+00,1.045149e+00,1.026705e+00,8.865218e-01,1.276381e+00,1.391016e+00,1.324595e+00,1.225243e+00,1.242237e+00,1.502289e+00,1.632543e+00,1.608097e+00,1.434455e+00,1.212551e+00,9.350669e-01,7.167685e-01,7.360157e-01,5.121560e-02,4.050961e-03,3.333333e+02,500,6.145833e+02,8.645833e+02,1.289144e-01,4.148261e+00,1.233502e+05,4.111225e+00,4.054691e+01,-1.025372e-02,3.561746e+01,-6.273241e+00,8.199466e-01,-2.528809e+01,-6.112499e+00,-1.014529e+01,-9.883277e-01,-1.849550e+01,1.667620e+01,-7.403807e+00,1.669608e+00,-8.192570e+00,-2.840971e+00,-6.929338e-03,-2.912103e-03,2.157557e-02,1.771569e-04,7.624941e-02,1.121056e-01,7.205124e-03,-7.187499e-03,1.740928e-03,5.139872e-02,1.251420e-01,3.370896e-01,2.775899e-01,3.372304e-01,1.264066e-01,8.480674e-02,5.736617e-01,5.944870e-01,1.039397e-01,3.025468e-02,7.050282e-03,3.971288e-02,5.517986e-02,-4.361329e-02,-8.508158e-02,-9.049023e-03,5.672270e-02,3.396619e-02,7.301338e-02,5.322387e-02,2.785006e-02,2.807722e-02,-7.423997e-04,3.468706e-02,2.772214e-02,2.636777e-03,5.833334e+01,8.333331e+00,1.145834e+01,-8.437498e+01,3.200365e-02,-2.211033e-01,-9.114641e+04,-1.250998e-01,3.598690e+00,-6.680835e-03,4.097456e+00,-2.316012e-01,-5.124036e+00,-5.044328e+00,-1.280471e+00,1.752333e+00,-2.966861e+00,-3.714437e+00,-3.925640e+00,-2.149211e+00,5.223298e+00,2.722809e+00
ang,0.090000,1.899218e+02,7.533508e-01,4.608285e-02,1.633932e-01,5.030482e-01,4.905532e-01,1.242080e+00,2.976612e-02,8.437500e-02,1.309519e-01,4.047730e-01,8.343298e-01,1.554805e+00,1.403353e+00,1.574077e+00,9.937804e-01,9.068187e-01,2.382888e+00,2.432121e+00,1.188944e+00,1.096104e+00,9.562584e-01,1.319026e+00,1.436535e+00,1.258794e+00,1.120095e+00,1.244420e+00,1.566684e+00,1.643781e+00,1.681383e+00,1.478958e+00,1.233248e+00,9.692631e-01,7.132949e-01,7.693930e-01,8.799895e-02,7.397261e-03,4.375000e+02,5.729167e+02,6.770833e+02,9.687500e+02,1.549783e-01,4.012646e+00,8.269609e+04,3.120424e+00,3.572668e+01,-1.959243e-02,3.984622e+01,-7.789743e+00,-6.393465e+00,-2.913936e+01,-8.717298e+00,-3.471774e+00,-1.847273e+00,-1.760182e+01,1.256765e+01,-1.195108e+01,5.797416e+00,-4.260983e+00,-4.042516e+00,-9.873646e-03,-2.392148e-02,-2.721492e-02,-5.313691e-02,7.551044e-02,1.462624e-01,6.738475e-03,-5.625000e-03,2.014917e-03,6.117566e-02,1.241383e-01,3.509994e-01,3.035674e-01,4.174215e-01,2.113407e-01,2.017941e-01,7.635303e-01,8.104057e-01,1.914819e-01,4.391018e-02,3.922254e-02,6.729598e-02,9.393594e-02,-3.917074e-02,-6.688301e-02,7.086158e-02,1.076802e-01,-1.065453e-02,1.543875e-02,1.100967e-02,-1.269106e-02,1.575422e-02,1.117673e-02,1.806579e-02,2.248002e-02,3.427075e-03,7.187499e+01,3.229166e+01,3.645834e+01,-1.458332e+01,2.290055e-02,-7.358341e-02,-4.881609e+04,-4.221741e-01,-1.233931e+00,-6.960803e-03,3.251930e+00,-1.555051e+00,-4.063337e+00,-3.739079e+00,-2.047644e+00,5.265489e+00,-8.602993e-01,-1.628046e+00,-3.886079e+00,-3.625889e+00,3.983046e+00,6.363473e-01
ang,0.100000,1.848711e+02,7.420391e-01,1.744049e-02,1.105917e-01,3.759370e-01,5.645166e-01,1.413635e+00,3.569019e-02,8.020833e-02,1.327461e-01,4.702182e-01,9.587910e-01,1.942698e+00,1.752047e+00,2.096805e+00,1.274061e+00,1.165763e+00,3.363620e+00,3.416322e+00,1.433502e+00,1.147954e+00,1.007417e+00,1.392177e+00,1.508751e+00,1.220211e+00,1.068739e+00,1.372915e+00,1.701948e+00,1.581590e+00,1.641220e+00,1.450724e+00,1.182518e+00,9.744989e-01,7.357063e-01,7.615657e-01,1.090915e-01,1.108305e-02,4.895833e+02,5.937500e+02,7.291667e+02,9.687500e+02,1.822806e-01,4.076052e+00,7.080534e+04,2.689870e+00,3.265634e+01,-2.676338e-02,4.236430e+01,-1.000763e+01,-7.351960e+00,-3.280268e+01,-1.190892e+01,5.518860e+00,-9.023888e-01,-2.205852e+01,1.070657e+01,-1.755460e+01,1.130848e+01,-8.552844e+00,-4.434079e+00,1.314765e-03,-1.358307e-02,-4.188444e-02,-9.529989e-02,5.988983e-02,1.518908e-01,4.793236e-03,-9.375021e-04,2.240315e-03,5.787066e-02,8.854745e-02,2.477731e-01,2.234188e-01,3.610000e-01,2.448841e-01,3.280424e-01,7.795377e-01,8.675947e-01,2.741639e-01,3.159126e-02,3.657497e-02,1.103577e-01,1.928336e-01,-1.231338e-02,-3.381494e-02,1.461278e-01,1.563153e-01,-3.460757e-02,-4.415016e-02,-3.732611e-02,-5.163939e-02,-7.876051e-03,1.937064e-02,2.645296e-03,6.725340e-03,4.920757e-03,5.729166e+01,4.687500e+01,5.312500e+01,2.604167e+01,1.568083e-02,6.705823e-02,-1.030104e+04,-5.138555e-01,-4.567755e+00,-5.200852e-03,1.770177e+00,-2.931867e+00,-2.109762e+00,-1.665339e+00,-9.130821e-01,5.574658e+00,2.289744e+00,1.076456e+00,-3.999342e+00,-2.543025e+00,3.806834e+00,-1.650453e+00
