name,frameTime,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband25-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],F0final_sma_de,voicingFinalUnclipped_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de,audspec_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,pcm_RMSenergy_sma_de,pcm_zcr_sma_de,audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[25],pcm_fftMag_fband25-650_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12]
ang,0.010000,0,0,0,0,0,3.966154e-01,9.883412e-01,1.478068e-02,1.302083e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,1.559175e-02,1.049210e-02,4.687500e+02,875,1.458333e+03,1.697917e+03,3.436815e-02,4.736818e+00,3.122265e+05,8.895499e-01,4.086823e+00,-4.446277e-03,3.395913e+01,-2.669315e+01,-5.673242e+00,-1.653219e+01,6.509171e+00,-5.185626e+01,-1.989692e+01,1.858410e+01,1.477829e+01,-1.336311e+01,-4.319829e+00,1.308061e-01,7.433720e+01,2.348563e-01,2.021923e-02,0,2.103631e-02,1.446545e-03,0,5.995969e-04,-2.708332e-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.694610e-03,2.416153e-04,-4.166669e+00,-1.041667e+01,-5.520835e+01,3.125012e+00,1.860488e-02,-8.083282e-02,6.251597e+03,2.865949e-02,1.616829e-01,-2.490914e-04,-5.008671e-01,1.389761e+00,1.678172e+00,1.479353e+00,8.217420e-02,-9.511703e-01,8.452142e-01,-7.302950e-01,7.233481e-01,1.251646e-01,-9.259192e-01,-4.249647e-01
ang,0.020000,2.480738e+02,7.738582e-01,0,0,0,4.011381e-01,9.883412e-01,1.590404e-02,1.260417e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,2.049123e-02,1.113572e-02,4.687500e+02,8.541667e+02,1.239583e+03,1.687500e+03,7.704964e-02,4.531790e+00,3.104145e+05,9.921000e-01,4.568480e+00,-5.233062e-03,3.308837e+01,-2.424921e+01,-1.977732e+00,-1.470437e+01,5.715311e+00,-5.444484e+01,-1.911805e+01,1.758998e+01,1.899618e+01,-1.220101e+01,-6.788975e+00,-7.029335e-01,7.428867e+01,2.402595e-01,2.666578e-02,1.878933e-02,4.236912e-02,3.192210e-03,0,9.621411e-04,-6.145831e-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.473847e-03,-9.773365e-05,-6.250003e+00,-7.916667e+01,-1.250000e+02,-2.083313e+00,1.975217e-02,-1.380314e-01,2.349466e+03,1.511099e-01,5.563985e-01,-5.019939e-04,-5.553488e-01,2.818175e+00,2.122599e+00,2.567178e+00,-6.372515e-01,-1.273346e+00,1.097377e+00,-1.026529e+00,9.215110e-01,-2.624688e-01,-9.400274e-01,-1.653984e+00
ang,0.030000,2.476491e+02,7.873526e-01,1.010962e-01,0,1.051816e-01,4.015868e-01,9.883412e-01,1.721699e-02,1.187500e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,2.161506e-02,1.137836e-02,4.479167e+02,8.333333e+02,1.291667e+03,1.718750e+03,1.060518e-01,4.435168e+00,3.443905e+05,9.815723e-01,4.654408e+00,-5.298341e-03,3.189018e+01,-2.096632e+01,8.698646e-01,-1.004933e+01,7.316972e+00,-5.531782e+01,-1.606028e+01,1.542969e+01,1.628608e+01,-1.331833e+01,-7.714851e+00,-1.577147e+00,4.945160e+01,1.669129e-01,1.446248e-02,2.330336e-02,4.591020e-02,4.830497e-03,1.669157e-03,1.215525e-03,-9.583334e-03,3.912002e-04,3.780431e-03,5.628192e-03,2.677047e-03,4.930508e-03,8.013141e-03,3.062725e-03,7.802295e-03,-2.925217e-03,-1.003718e-03,-1.321530e-03,-2.257657e-03,-8.393502e-03,-5.405354e-03,4.672861e-03,-3.802776e-03,-4.687691e-03,1.082015e-03,2.783203e-03,-1.462746e-03,6.651640e-04,4.049778e-04,6.062365e-03,9.830857e-03,6.457794e-03,6.413293e-03,5.228324e-03,-7.100655e-04,-6.250003e+00,-1.125000e+02,-1.531250e+02,-6.354166e+01,1.286733e-02,-1.807134e-01,-1.090853e+04,3.356661e-01,1.938181e+00,-7.841397e-04,-3.418247e-01,3.487972e+00,1.207837e+00,2.267433e+00,-1.027972e+00,-5.487480e-01,1.107867e+00,-1.082224e+00,-1.902351e-01,-1.152951e+00,-3.289341e-01,-2.487506e+00
ang,0.040000,2.476188e+02,8.076209e-01,8.278080e-02,9.394664e-02,1.592548e-01,4.100908e-01,9.883412e-01,1.837323e-02,1.052083e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,2.994933e-02,9.560295e-03,4.479167e+02,500,9.166667e+02,1.677083e+03,9.728717e-02,4.197486e+00,3.078918e+05,1.599088e+00,6.585022e+00,-6.530214e-03,3.221687e+01,-1.546570e+01,1.668198e+00,-6.937729e+00,2.919013e+00,-5.649221e+01,-1.632835e+01,1.502867e+01,1.863194e+01,-1.469784e+01,-7.322454e+00,-7.285139e+00,-1.160980e-01,1.166697e-02,-9.842683e-04,1.331175e-02,3.254272e-02,4.004717e-03,4.142791e-03,1.116617e-03,-1.093750e-02,-1.217917e-04,1.049252e-02,1.662309e-02,7.363015e-03,1.356741e-02,2.136280e-02,7.715917e-03,3.013324e-02,-3.248632e-04,-2.258885e-03,-4.411233e-03,-1.017810e-02,-2.657381e-02,-1.912299e-02,2.067010e-02,-1.423309e-02,-2.080748e-02,9.893060e-04,1.153204e-02,-7.632661e-03,-2.637470e-03,-2.114081e-03,1.367240e-02,2.568598e-02,1.913453e-02,1.918703e-02,5.886486e-03,-1.363056e-03,-1.250000e+01,-1.072917e+02,-1.854167e+02,-1.208333e+02,8.460760e-04,-2.013862e-01,-3.255356e+04,4.799058e-01,3.083028e+00,-8.970387e-04,1.260141e-01,2.962058e+00,-5.056864e-01,6.883580e-01,-2.064534e+00,5.153190e-01,4.233550e-01,-7.586807e-01,-1.682362e+00,-2.464152e+00,3.421651e-01,-2.959042e+00
ang,0.050000,2.474855e+02,8.176829e-01,3.092201e-02,6.954348e-02,1.499236e-01,4.162916e-01,9.966869e-01,1.962371e-02,9.270833e-02,1.311722e-01,2.909505e-01,4.476689e-01,5.678325e-01,6.943815e-01,8.059618e-01,8.623421e-01,9.568407e-01,9.676234e-01,1.038081e+00,1.095492e+00,1.148782e+00,1.175163e+00,1.245810e+00,1.349576e+00,1.356567e+00,1.394618e+00,1.453891e+00,1.471794e+00,1.425390e+00,1.362072e+00,1.234365e+00,1.099467e+00,9.450819e-01,7.665374e-01,6.263976e-01,3.700432e-02,7.729480e-03,4.479167e+02,4.895833e+02,8.541667e+02,1.385417e+03,8.858601e-02,4.000403e+00,2.589452e+05,2.264386e+00,1.276946e+01,-7.718399e-03,3.268576e+01,-1.364505e+01,-1.457022e+00,-9.078342e+00,2.767457e+00,-5.357631e+01,-1.575243e+01,1.445364e+01,1.400923e+01,-1.787945e+01,-5.697759e+00,-9.015622e+00,-3.899994e-02,5.605531e-03,-2.081462e-02,-1.686628e-03,-5.005303e-03,2.428034e-03,5.925363e-03,8.088060e-04,-1.041667e-02,-1.898202e-03,1.819060e-02,3.005558e-02,1.234949e-02,2.436581e-02,3.759934e-02,1.599525e-02,6.786013e-02,6.960517e-03,-7.333768e-03,-6.588197e-03,-2.206769e-02,-5.150864e-02,-4.066198e-02,3.625686e-02,-2.883187e-02,-4.584431e-02,6.051421e-04,2.449743e-02,-1.860176e-02,-1.084253e-02,-1.034346e-02,1.767548e-02,3.819069e-02,3.354033e-02,3.443962e-02,5.695854e-03,-1.575593e-03,-2.500000e+01,-6.979166e+01,-1.927083e+02,-1.552083e+02,-5.615802e-03,-1.976708e-01,-4.847427e+04,5.146362e-01,3.579252e+00,-9.119095e-04,5.541752e-01,1.969905e+00,-1.542514e+00,-1.214730e+00,-2.415580e+00,1.296399e+00,-3.894455e-01,-1.158224e-01,-1.905106e+00,-2.558021e+00,-4.658996e-01,-2.825207e+00
ang,0.060000,2.475751e+02,8.170279e-01,3.016574e-02,3.178703e-02,1.403426e-01,4.138093e-01,1.004882e+00,2.028376e-02,8.437500e-02,1.276292e-01,3.150599e-01,4.885729e-01,5.845698e-01,7.252397e-01,8.526773e-01,8.779512e-01,1.048990e+00,9.879382e-01,1.034314e+00,1.083347e+00,1.114824e+00,1.105245e+00,1.190735e+00,1.417880e+00,1.313922e+00,1.325738e+00,1.450723e+00,1.508580e+00,1.398198e+00,1.343896e+00,1.220757e+00,1.122361e+00,9.997804e-01,8.137766e-01,6.742330e-01,4.222903e-02,6.144880e-03,4.062500e+02,4.895833e+02,5.312500e+02,1250,9.001292e-02,3.742242e+00,1.903694e+05,2.750222e+00,1.592610e+01,-8.508227e-03,3.332065e+01,-1.309955e+01,-3.342720e+00,-1.174807e+01,-2.332600e+00,-5.273899e+01,-1.715520e+01,1.428460e+01,1.172280e+01,-2.224121e+01,-6.086695e+00,-1.177891e+01,9.277344e-03,-8.184433e-04,-1.091657e-02,-2.017605e-02,-2.234383e-02,-4.692769e-03,2.247381e-03,2.149288e-04,-6.770836e-03,-4.024806e-03,2.203016e-02,3.707100e-02,1.302273e-02,2.638797e-02,4.011507e-02,2.017684e-02,9.791952e-02,1.929399e-02,-1.982759e-02,-2.922189e-03,-3.356256e-02,-7.152959e-02,-6.048862e-02,3.328922e-02,-3.945246e-02,-6.482927e-02,-1.198257e-02,2.497797e-02,-3.619564e-02,-2.434741e-02,-2.147522e-02,1.130108e-02,2.770777e-02,3.706877e-02,3.870848e-02,2.238889e-03,-1.264858e-03,-4.583333e+01,-2.083331e+00,-1.125000e+02,-1.270833e+02,-7.006290e-03,-1.205812e-01,-3.857195e+04,3.270066e-01,2.630744e+00,-3.239858e-04,7.038876e-01,1.165534e+00,-1.219599e+00,-9.295214e-01,-1.216501e+00,1.530431e+00,2.415124e-01,-4.056940e-01,-1.964050e+00,-1.387677e+00,-1.791764e+00,-1.928352e+00
ang,0.070000,2.474760e+02,8.106768e-01,2.333062e-02,2.264667e-02,8.961114e-02,4.118677e-01,1.009697e+00,2.030575e-02,7.708333e-02,1.205186e-01,3.414956e-01,5.352833e-01,6.011335e-01,7.638026e-01,9.105023e-01,9.115433e-01,1.191550e+00,1.014208e+00,1.010823e+00,1.078534e+00,1.072355e+00,1.015530e+00,1.110578e+00,1.461662e+00,1.262251e+00,1.234994e+00,1.450386e+00,1.555014e+00,1.356948e+00,1.311959e+00,1.186414e+00,1.130929e+00,1.034955e+00,8.621860e-01,7.265782e-01,4.395448e-02,5.208107e-03,3.437500e+02,4.895833e+02,5.208333e+02,1.156250e+03,8.160991e-02,3.674437e+00,1.607803e+05,2.979186e+00,1.788013e+01,-8.868882e-03,3.410917e+01,-1.229987e+01,-4.337247e+00,-1.371780e+01,-2.135122e+00,-5.071243e+01,-1.759409e+01,1.522261e+01,1.021513e+01,-2.233675e+01,-1.066223e+01,-1.345630e+01,1.164413e-01,-5.033958e-03,-1.170441e-03,-1.086270e-02,-2.022592e-02,-1.105991e-02,-7.108420e-03,-5.102552e-04,-1.145832e-03,-4.481745e-03,1.991095e-02,3.369233e-02,9.173954e-03,1.278607e-02,2.175489e-02,7.792843e-03,8.442253e-02,2.183149e-02,-3.982322e-02,7.374287e-03,-3.783083e-02,-7.683587e-02,-6.497188e-02,-2.199733e-03,-3.614621e-02,-5.659258e-02,-3.327025e-02,7.239497e-03,-5.237269e-02,-3.262507e-02,-2.972126e-02,1.789558e-03,-3.239316e-03,2.837329e-02,2.915042e-02,-1.027337e-03,-9.169638e-04,-5.104166e+01,-4.166669e+00,-6.979167e+01,-5.312500e+01,-9.281371e-03,-4.613815e-02,-1.909511e+04,1.752774e-01,1.419302e+00,2.757369e-04,2.901730e-01,1.327236e+00,2.002362e-01,7.005525e-01,7.724428e-03,1.156840e+00,-2.715800e-01,-1.460904e+00,-6.675802e-01,4.375124e-01,-2.462864e+00,-1.158707e+00
ang,0.080000,2.476699e+02,8.070318e-01,3.199364e-02,1.651479e-02,7.769186e-02,3.888389e-01,9.930728e-01,1.910686e-02,7.916666e-02,1.144189e-01,3.569266e-01,5.610757e-01,6.029105e-01,7.669582e-01,9.142013e-01,9.233120e-01,1.290072e+00,1.055427e+00,9.575903e-01,1.095967e+00,1.030471e+00,9.392993e-01,1.038010e+00,1.436615e+00,1.225477e+00,1.173722e+00,1.390321e+00,1.541157e+00,1.285947e+00,1.262066e+00,1.148939e+00,1.109929e+00,9.895301e-01,8.717679e-01,7.377831e-01,3.766869e-02,4.496693e-03,2.708333e+02,4.895833e+02,5.208333e+02,1.156250e+03,6.574377e-02,3.757564e+00,1.641145e+05,2.876721e+00,1.718340e+01,-7.574901e-03,3.502460e+01,-1.031061e+01,-2.989682e+00,-9.265606e+00,-7.122002e-01,-5.027199e+01,-1.419996e+01,1.261571e+01,1.070875e+01,-1.940757e+01,-1.379904e+01,-1.470656e+01,1.326019e-01,-8.743179e-03,-1.400108e-03,-2.790460e-03,-1.100249e-02,-1.719041e-02,-1.685417e-02,-1.138989e-03,5.416668e-03,-2.870128e-03,1.522470e-02,2.486237e-02,5.010820e-03,-1.153569e-02,-9.835583e-03,-2.460686e-02,1.791370e-02,5.852568e-03,-5.735058e-02,1.476973e-02,-4.049789e-02,-7.008238e-02,-5.509860e-02,-5.447453e-02,-1.358263e-02,-1.748323e-02,-5.307280e-02,-1.937675e-02,-5.789457e-02,-2.277566e-02,-2.187250e-02,6.034804e-03,-2.618822e-02,1.957562e-02,1.114609e-02,-3.705604e-03,-7.317390e-04,-3.958334e+01,-1.875000e+01,-7.291666e+00,-3.125012e+00,-1.079331e-02,-4.074097e-04,3.866444e+03,1.197789e-01,1.144358e+00,8.032445e-04,-6.053658e-01,1.412706e+00,1.570805e+00,1.664737e+00,1.098149e+00,3.633579e-01,-2.162418e-01,-4.011227e+00,-8.831210e-01,1.053713e+00,-1.639572e+00,-4.485650e-01
ang,0.090000,2.480203e+02,7.975112e-01,2.415585e-02,2.286611e-02,8.011939e-02,3.734772e-01,9.670495e-01,1.766089e-02,8.958334e-02,1.153686e-01,3.695719e-01,5.798791e-01,6.045319e-01,7.374526e-01,8.839743e-01,8.786259e-01,1.258412e+00,1.043036e+00,8.773267e-01,1.126053e+00,1.001804e+00,8.739570e-01,9.973133e-01,1.329210e+00,1.220059e+00,1.187663e+00,1.317741e+00,1.491702e+00,1.219652e+00,1.239862e+00,1.121667e+00,1.114631e+00,9.340104e-01,8.794081e-01,7.403746e-01,3.414780e-02,3.968755e-03,2.604167e+02,4.687500e+02,5.104167e+02,1.166667e+03,5.431373e-02,3.762052e+00,1.765971e+05,3.077523e+00,1.923731e+01,-6.806377e-03,3.328465e+01,-8.403338e+00,-6.323602e-01,-6.816814e+00,1.995879e+00,-4.902562e+01,-1.858795e+01,7.983568e+00,1.117835e+01,-1.710871e+01,-1.415591e+01,-1.334533e+01,1.641632e-01,-1.603004e-02,-1.405839e-03,3.448240e-05,4.176611e-03,-2.290160e-02,-2.192212e-02,-1.592859e-03,7.604168e-03,-2.637825e-03,8.032003e-03,1.382791e-02,3.367233e-03,-4.090682e-02,-4.665034e-02,-7.067432e-02,-7.833658e-02,-2.214220e-02,-6.313057e-02,-1.460981e-03,-5.000366e-02,-5.710160e-02,-4.337676e-02,-8.869828e-02,2.026421e-02,3.219395e-02,-5.142583e-02,-2.471044e-02,-4.197431e-02,5.262458e-03,6.287193e-03,2.988213e-02,-1.898957e-02,1.980013e-02,-6.671441e-03,-5.287682e-03,-7.197754e-04,-2.291667e+01,-3.958334e+01,-2.083332e+01,7.291663e+00,-7.598994e-03,-4.264374e-02,1.843862e+04,2.969240e-01,2.857744e+00,1.138829e-03,-2.027558e+00,1.535876e+00,2.815055e+00,9.827374e-01,9.155262e-01,-5.378898e-01,-8.890048e-01,-6.024986e+00,-1.762602e+00,-8.293350e-01,-5.731500e-01,-5.363344e-01
ang,0.100000,2.479659e+02,7.798948e-01,2.275258e-02,1.772501e-02,9.007604e-02,3.470525e-01,9.419353e-01,1.591126e-02,1.052083e-01,1.158536e-01,3.771453e-01,5.905868e-01,6.079246e-01,6.807362e-01,8.167633e-01,7.713756e-01,1.105127e+00,1.002787e+00,8.143096e-01,1.133436e+00,9.476097e-01,8.256202e-01,9.718744e-01,1.211733e+00,1.267105e+00,1.261988e+00,1.251681e+00,1.443352e+00,1.177373e+00,1.266066e+00,1.143768e+00,1.160684e+00,9.193113e-01,9.030436e-01,7.230653e-01,2.860435e-02,3.105861e-03,250,4.062500e+02,500,1.229167e+03,4.969445e-02,3.696397e+00,2.017932e+05,3.299948e+00,2.096930e+01,-5.523257e-03,3.070608e+01,-7.984287e+00,2.658862e+00,-6.874886e+00,1.092642e+00,-5.176561e+01,-1.773948e+01,-2.152009e+00,6.825577e+00,-1.958666e+01,-1.253772e+01,-1.407722e+01,1.115189e-01,-2.190089e-02,-6.586667e-04,-9.695195e-04,5.921586e-03,-2.455522e-02,-1.850485e-02,-1.785098e-03,2.500001e-03,-4.610038e-03,-2.536476e-05,3.165990e-03,3.126359e-03,-6.244837e-02,-7.344390e-02,-1.026154e-01,-1.504048e-01,-5.448674e-02,-5.427398e-02,-4.457672e-02,-6.722514e-02,-4.472025e-02,-4.593686e-02,-9.044582e-02,5.094564e-02,6.604867e-02,-1.789207e-02,5.196881e-03,-1.130939e-03,4.040811e-02,5.309272e-02,7.044961e-02,2.782152e-02,3.142414e-02,-1.856956e-02,-5.398327e-03,-7.435855e-04,-1.041667e+01,-5.729166e+01,-3.124999e+01,-2.395834e+01,-4.312696e-03,-8.103456e-02,3.110691e+04,4.913796e-01,4.553049e+00,1.137619e-03,-2.867091e+00,1.816369e+00,3.318887e+00,-1.825077e-01,1.231526e+00,-6.007980e-01,2.364357e-01,-6.223690e+00,-1.303709e+00,-2.483588e+00,3.312280e-01,-8.948663e-01
