name,frameTime,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband25-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],F0final_sma_de,voicingFinalUnclipped_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de,audspec_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,pcm_RMSenergy_sma_de,pcm_zcr_sma_de,audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[25],pcm_fftMag_fband25-650_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12]
fru,0.010000,0,0,0,0,0,3.792538e-01,9.883412e-01,1.871724e-02,7.604167e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,3.901595e-02,4.629061e-03,3.437500e+02,375,4.062500e+02,1.458333e+03,2.049045e-02,3.613585e+00,4.451838e+05,3.078089e+00,1.249546e+01,-7.217239e-03,2.616718e+01,-8.117904e+00,5.139210e+01,-8.717212e+00,-2.739523e+01,-2.991003e+01,-1.542814e+01,1.271997e+00,-2.366854e+01,-1.212471e+01,2.758438e+01,2.302517e-01,0,2.064550e-01,0,0,0,6.498694e-04,0,3.055256e-04,2.708332e-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777334e-03,-2.092851e-04,-9.374997e+00,-2.083331e+00,0,-1.656250e+02,1.431504e-02,-5.423450e-03,-3.690377e+04,1.505649e-01,1.242337e+00,-3.117206e-04,8.553826e-01,-7.691349e-01,-1.183766e+00,1.629173e+00,9.043840e-01,-8.965999e-01,-1.265703e+00,-2.730626e-01,3.997664e+00,1.610518e-02,-3.079201e+00,-5.158333e-01
fru,0.020000,0,6.943847e-01,0,0,0,3.796507e-01,9.883412e-01,1.980113e-02,7.812500e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,4.567426e-02,4.006702e-03,3.333333e+02,375,4.062500e+02,9.479167e+02,4.434402e-02,3.489316e+00,3.404411e+05,3.600174e+00,1.667364e+01,-8.349079e-03,2.797572e+01,-9.675647e+00,4.900637e+01,-6.467892e+00,-2.650901e+01,-3.303574e+01,-1.868152e+01,-1.502479e+00,-1.689402e+01,-1.164124e+01,2.260789e+01,-9.263697e-01,0,2.009919e-01,0,0,0,-1.977712e-03,0,-2.891272e-05,5.208332e-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.499348e-05,-2.969193e-04,-2.708333e+01,-1.145833e+01,-2.083331e+00,-1.552083e+02,2.077553e-02,6.125064e-02,-2.877084e+04,1.148954e-01,1.011440e+00,-1.618033e-06,1.260937e+00,-1.097850e+00,-1.474796e+00,2.063144e+00,3.642982e+00,-4.847576e-01,-1.276698e+00,1.653152e+00,6.756597e+00,-2.895605e-01,-4.018920e+00,-1.103321e+00
fru,0.030000,0,6.850829e-01,0,0,0,3.823046e-01,9.883412e-01,1.970292e-02,8.854166e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,4.457347e-02,3.893814e-03,3.020833e+02,3.645833e+02,4.062500e+02,8.854167e+02,8.013888e-02,3.648602e+00,3.130363e+05,3.569871e+00,1.661806e+01,-8.209922e-03,2.953983e+01,-1.118471e+01,4.666614e+01,-1.696008e+00,-2.331642e+01,-3.283017e+01,-2.012997e+01,1.293922e+00,-7.067482e+00,-1.228592e+01,1.467661e+01,-1.770604e+00,0,1.281942e-01,0,0,0,-4.547000e-03,-1.660585e-05,-5.844623e-04,4.062499e-03,1.757240e-03,2.771950e-03,-1.845384e-03,-2.586281e-03,-5.762100e-03,8.579254e-04,2.242184e-03,5.543387e-03,-3.409946e-03,6.556773e-03,1.310263e-02,1.540835e-02,8.985686e-03,-8.764530e-03,-5.035162e-03,-7.381487e-03,-1.074908e-02,4.471540e-04,5.842519e-03,-2.362156e-03,-3.381014e-04,-1.799393e-03,1.840305e-03,-2.730989e-03,-6.598198e-03,-6.425023e-03,-2.746652e-03,-3.095885e-04,-3.958333e+01,-1.770833e+01,-5.208334e+00,-9.166668e+01,2.274947e-02,1.279629e-01,-8.974190e+03,1.823461e-02,2.492633e-01,4.598777e-04,1.467584e+00,-1.251970e+00,-1.333946e+00,2.073820e+00,6.056345e+00,8.015100e-01,-5.391397e-01,2.555518e+00,8.535819e+00,7.882538e-02,-3.697098e+00,-1.745593e+00
fru,0.040000,0,6.624181e-01,0,0,0,3.678398e-01,9.883412e-01,1.807984e-02,9.583333e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,3.596223e-02,3.512087e-03,2.291667e+02,3.229167e+02,3.958333e+02,9.687500e+02,9.454387e-02,3.902329e+00,3.674033e+05,3.406675e+00,1.549137e+01,-6.728988e-03,3.078554e+01,-1.207375e+01,4.638110e+01,-1.912094e+00,-1.121973e+01,-3.087374e+01,-1.946072e+01,9.526793e+00,1.813914e+00,-1.349191e+01,1.394366e+01,-4.285925e+00,0,-1.264029e-02,0,0,0,-1.100391e-02,-1.949126e-03,-1.075531e-03,-7.291675e-04,5.640119e-03,9.082263e-03,-6.306684e-03,-1.121305e-02,-1.921340e-02,1.779437e-03,-1.454675e-03,1.300712e-02,-7.147032e-03,2.447690e-02,5.239282e-02,4.737023e-02,1.701876e-02,-2.991883e-02,-1.669548e-02,-2.538912e-02,-3.150047e-02,-4.043281e-03,7.748854e-03,-1.429446e-02,-8.877719e-03,-1.348550e-02,4.315877e-03,-6.962073e-03,-1.884184e-02,-1.816570e-02,-5.301683e-03,-3.868683e-04,-4.583334e+01,-2.604167e+01,-1.041667e+01,-6.458334e+01,1.659743e-02,1.433044e-01,5.419694e+03,-4.067225e-02,-2.565042e-01,9.215368e-04,1.310508e+00,-1.016463e+00,-1.211420e+00,1.900863e+00,7.490142e+00,2.783401e+00,1.989594e-01,1.532380e+00,7.575851e+00,1.163618e+00,-8.560556e-01,-2.366059e+00
fru,0.050000,0,6.569543e-01,0,0,0,3.624243e-01,9.882581e-01,1.665558e-02,8.750000e-02,1.380024e-01,2.859081e-01,4.103010e-01,5.415159e-01,6.409184e-01,7.701858e-01,8.582394e-01,9.455462e-01,9.651998e-01,1.075883e+00,1.167612e+00,1.237112e+00,1.262059e+00,1.229014e+00,1.301036e+00,1.338673e+00,1.364311e+00,1.450717e+00,1.487090e+00,1.420893e+00,1.357056e+00,1.223343e+00,1.078357e+00,8.822727e-01,7.012574e-01,5.622060e-01,3.013871e-02,3.328426e-03,1.979167e+02,3.125000e+02,3.854167e+02,9.895833e+02,1.091379e-01,4.046893e+00,3.868317e+05,3.266011e+00,1.433292e+01,-5.727896e-03,3.210019e+01,-1.317870e+01,4.603500e+01,-6.260120e-01,-4.758144e+00,-2.698347e+01,-1.773424e+01,8.534951e+00,9.656582e+00,-1.080525e+01,1.343100e+01,-6.817935e+00,0,-1.053625e-02,0,0,0,-1.443566e-02,-7.587922e-03,-1.166521e-03,-5.000000e-03,9.320220e-03,1.635713e-02,-1.249984e-02,-2.422584e-02,-3.458070e-02,1.718676e-03,-1.635159e-02,1.290394e-02,-8.942718e-03,5.528977e-02,1.173200e-01,8.116494e-02,1.357530e-02,-6.254860e-02,-3.255608e-02,-5.362516e-02,-6.036252e-02,-2.239932e-02,-3.287435e-03,-3.830377e-02,-2.680445e-02,-3.548187e-02,4.603946e-03,-1.220422e-02,-3.374448e-02,-3.162076e-02,-4.690774e-03,-4.636982e-04,-3.229167e+01,-1.562500e+01,-9.375000e+00,-1.145833e+02,6.555613e-03,7.814781e-02,-1.095795e+04,4.860134e-02,4.982446e-01,8.464352e-04,1.046290e+00,-6.437153e-01,-1.460223e+00,1.681346e+00,6.160220e+00,2.723475e+00,-3.688620e-01,-1.612937e+00,4.137853e+00,2.608680e+00,1.832140e+00,-2.307216e+00
fru,0.060000,0,6.452475e-01,0,0,0,3.345714e-01,9.786370e-01,1.594715e-02,7.500000e-02,1.530237e-01,3.105298e-01,3.926080e-01,5.048478e-01,5.880672e-01,7.726485e-01,8.341496e-01,9.690064e-01,9.550392e-01,1.149092e+00,1.331307e+00,1.358400e+00,1.279760e+00,1.145154e+00,1.255322e+00,1.267089e+00,1.287427e+00,1.427147e+00,1.482015e+00,1.367137e+00,1.315203e+00,1.169411e+00,1.086134e+00,8.679447e-01,6.565347e-01,5.195652e-01,2.638323e-02,2.355055e-03,1.562500e+02,2.708333e+02,3.645833e+02,5.729167e+02,1.128317e-01,4.006692e+00,3.306419e+05,3.548743e+00,1.653369e+01,-4.982408e-03,3.324807e+01,-1.376097e+01,4.326483e+01,2.501428e+00,1.662563e+00,-2.204208e+01,-1.888458e+01,2.538906e+00,1.262320e+01,-6.563483e+00,1.895042e+01,-1.023300e+01,0,-7.326955e-03,0,0,0,-1.748746e-02,-1.683692e-02,-1.117645e-03,-3.645833e-03,7.414490e-03,1.844753e-02,-1.454859e-02,-3.526873e-02,-3.826553e-02,-6.658674e-04,-4.438506e-02,-1.320750e-03,-2.557945e-03,8.950957e-02,1.802040e-01,7.857547e-02,-1.427540e-02,-8.561776e-02,-4.543601e-02,-8.522888e-02,-8.049893e-02,-5.540659e-02,-3.930407e-02,-6.848329e-02,-5.300947e-02,-6.071539e-02,1.307726e-04,-1.435079e-02,-3.978438e-02,-3.291786e-02,-3.626873e-03,-5.012752e-04,-1.250000e+01,0,-1.041666e+00,-1.416667e+02,-2.292535e-03,1.351097e-02,-3.771818e+04,1.712969e-01,1.863201e+00,6.877055e-04,6.326004e-01,-6.476059e-02,-2.848417e+00,1.780148e+00,3.247922e+00,1.905146e+00,-1.900659e+00,-4.446687e+00,-2.468943e-01,2.355385e+00,2.716925e+00,-9.050897e-01
fru,0.070000,0,6.409869e-01,0,0,0,3.267605e-01,9.552536e-01,1.493666e-02,7.395833e-02,1.639135e-01,3.345933e-01,3.704887e-01,4.581178e-01,5.376563e-01,7.711133e-01,7.717099e-01,9.567603e-01,9.511411e-01,1.266552e+00,1.574095e+00,1.466730e+00,1.253693e+00,1.023935e+00,1.198876e+00,1.161701e+00,1.181559e+00,1.347152e+00,1.429371e+00,1.273969e+00,1.246496e+00,1.086395e+00,1.083685e+00,8.488979e-01,6.043829e-01,4.736103e-01,2.590910e-02,2.153839e-03,1.770833e+02,3.125000e+02,375,5.104167e+02,1.037731e-01,3.987159e+00,2.766272e+05,3.741844e+00,1.858812e+01,-4.851036e-03,3.354001e+01,-1.355968e+01,4.092316e+01,4.503960e+00,1.043537e+00,-2.362863e+01,-2.226234e+01,-3.276819e+00,8.217136e+00,-2.706731e+00,2.133393e+01,-1.033315e+01,0,-4.610664e-03,0,0,0,-1.992758e-02,-2.762271e-02,-1.248170e-03,7.291675e-04,-1.814866e-03,1.262108e-02,-1.005441e-02,-3.896703e-02,-2.406781e-02,-8.159590e-03,-6.936248e-02,-2.385569e-02,1.577051e-02,1.000035e-01,1.850287e-01,2.138367e-02,-5.798233e-02,-8.903739e-02,-5.565094e-02,-1.083025e-01,-8.537595e-02,-9.281202e-02,-8.736300e-02,-8.935931e-02,-7.132562e-02,-7.171805e-02,-7.139623e-03,-1.235946e-02,-3.220498e-02,-1.608488e-02,-2.964389e-03,-5.157995e-04,2.083333e+00,7.291663e+00,7.291669e+00,-1.093750e+02,-1.119806e-02,-4.216330e-02,-4.793080e+04,3.212609e-01,3.596835e+00,5.859013e-04,1.737801e-01,8.387750e-01,-3.510479e+00,3.448190e-01,1.118705e+00,7.182356e-01,-1.937942e+00,-4.182868e+00,-3.406796e+00,7.116314e-01,1.248095e+00,4.470013e-01
fru,0.080000,0,6.337670e-01,0,0,0,2.982343e-01,9.206588e-01,1.335107e-02,8.437500e-02,1.533331e-01,3.399434e-01,3.666911e-01,4.198027e-01,5.300323e-01,7.621030e-01,6.683679e-01,9.056184e-01,9.764891e-01,1.395313e+00,1.799878e+00,1.438139e+00,1.149937e+00,9.472875e-01,1.150112e+00,1.037923e+00,1.106938e+00,1.223231e+00,1.290217e+00,1.163750e+00,1.148979e+00,9.972367e-01,1.067144e+00,8.408610e-01,5.837638e-01,4.740396e-01,1.994267e-02,1.593004e-03,1.770833e+02,3.229167e+02,3.958333e+02,500,8.576361e-02,3.999751e+00,2.339147e+05,4.025243e+00,2.267977e+01,-3.728890e-03,3.322863e+01,-1.220707e+01,3.469494e+01,4.423659e+00,2.119043e+00,-2.302544e+01,-2.669996e+01,-6.800757e+00,1.299165e+00,-5.764244e+00,2.357682e+01,-7.053768e+00,0,1.025796e-03,0,0,0,-2.046652e-02,-3.649690e-02,-1.386389e-03,1.458335e-03,-1.317092e-02,1.421988e-04,-4.676300e-03,-3.326247e-02,-2.099585e-03,-2.282237e-02,-6.906802e-02,-3.164958e-02,3.808891e-02,7.162223e-02,1.093376e-01,-5.944104e-02,-9.327073e-02,-7.642922e-02,-6.805165e-02,-1.179611e-01,-8.193594e-02,-1.143424e-01,-1.194526e-01,-9.278002e-02,-7.062352e-02,-6.204597e-02,-1.203772e-02,-8.091981e-03,-1.978476e-02,4.887435e-03,-2.952899e-03,-4.149171e-04,2.083333e+01,1.145833e+01,1.145833e+01,-2.604167e+01,-1.183139e-02,-7.644796e-02,-4.103943e+04,3.719388e-01,4.435790e+00,5.751406e-04,-1.023384e-01,1.248430e+00,-3.544111e+00,-1.465082e+00,-4.441900e-01,2.611925e-01,-2.355587e-01,-2.772986e+00,-3.926723e+00,-1.615263e+00,-3.265459e-01,1.427012e+00
fru,0.090000,0,6.396413e-01,0,0,0,2.809549e-01,8.791337e-01,1.171277e-02,8.645833e-02,1.287734e-01,3.343067e-01,3.729874e-01,3.892033e-01,5.495968e-01,7.346606e-01,5.943179e-01,8.579617e-01,1.033327e+00,1.452790e+00,1.858470e+00,1.304161e+00,1.037059e+00,8.827605e-01,1.075387e+00,9.117443e-01,1.027676e+00,1.088615e+00,1.146175e+00,1.075790e+00,1.083540e+00,9.508395e-01,1.052153e+00,8.340172e-01,5.766180e-01,5.045443e-01,1.853705e-02,1.130454e-03,1.979167e+02,3.229167e+02,4.062500e+02,4.791667e+02,6.668160e-02,3.839547e+00,1.955413e+05,4.634066e+00,2.924405e+01,-3.425149e-03,3.297881e+01,-9.761773e+00,3.276755e+01,1.369671e-01,6.071419e-01,-2.290062e+01,-2.351626e+01,-7.709556e+00,-1.715376e+00,-7.646712e+00,1.735828e+01,-6.172544e+00,0,6.036299e-03,0,0,0,-2.361924e-02,-4.292366e-02,-1.413022e-03,-2.916665e-03,-1.915659e-02,-1.390707e-02,-7.170659e-03,-2.589131e-02,1.064921e-02,-4.058459e-02,-4.329116e-02,-2.209217e-02,5.850418e-02,7.005274e-03,-2.037679e-02,-1.222268e-01,-1.166338e-01,-6.636923e-02,-8.457368e-02,-1.051898e-01,-7.525642e-02,-1.122346e-01,-1.244745e-01,-8.288795e-02,-5.358889e-02,-4.197346e-02,-1.313568e-02,-2.150494e-03,-1.060774e-02,1.160004e-02,-3.468684e-03,-4.110364e-04,2.812500e+01,6.250000e+00,9.374997e+00,-1.250000e+01,-7.544457e-03,-1.015895e-01,-2.637799e+04,3.592429e-01,4.219625e+00,6.603993e-04,-2.409611e-01,1.269253e+00,-2.606992e+00,-3.275819e+00,-2.550253e-01,9.709638e-01,3.028531e+00,-1.702510e+00,-1.512768e+00,-1.033214e+00,-3.869858e-02,6.585473e-01
fru,0.100000,0,6.510493e-01,0,0,0,2.551416e-01,8.342125e-01,1.062715e-02,7.604167e-02,1.047392e-01,3.113841e-01,3.679771e-01,3.729927e-01,5.715990e-01,6.767631e-01,5.775055e-01,8.601578e-01,1.104391e+00,1.414084e+00,1.735807e+00,1.142480e+00,9.217234e-01,8.335953e-01,9.768087e-01,8.022617e-01,9.546886e-01,9.847032e-01,1.026351e+00,1.002326e+00,1.043563e+00,9.269586e-01,1.041711e+00,8.349252e-01,5.714933e-01,5.285353e-01,1.530476e-02,7.921624e-04,250,3.229167e+02,4.062500e+02,4.583333e+02,7.222041e-02,3.698259e+00,1.659877e+05,4.962326e+00,3.338467e+01,-2.819649e-03,3.301698e+01,-9.417766e+00,2.962208e+01,-2.640487e+00,-3.401901e-01,-2.110012e+01,-1.943542e+01,-9.109656e+00,-2.044153e+00,-1.216981e+01,1.930552e+01,-5.178240e+00,0,9.053332e-03,0,0,0,-2.188601e-02,-4.597122e-02,-1.295873e-03,-6.666666e-03,-1.627525e-02,-2.625343e-02,-2.096117e-02,-2.086289e-02,7.139146e-03,-5.012955e-02,-5.864155e-03,-1.122544e-02,6.006811e-02,-6.018408e-02,-1.363154e-01,-1.413073e-01,-1.256355e-01,-6.978381e-02,-9.058183e-02,-6.930776e-02,-6.896882e-02,-9.446544e-02,-1.037555e-01,-6.701180e-02,-2.690184e-02,-2.492269e-02,-1.428500e-02,1.306582e-03,-1.221639e-02,-6.549573e-03,-3.298376e-03,-2.968747e-04,2.916667e+01,1.875000e+01,1.145833e+01,-1.041666e+00,-3.481063e-03,-5.246544e-02,-5.601864e+03,1.388716e-01,1.661191e+00,6.210221e-04,-2.959705e-01,6.550560e-01,-1.125768e+00,-3.951871e+00,-5.687662e-01,9.076182e-01,5.240381e+00,-1.388508e+00,5.152196e-01,2.124537e+00,2.584235e+00,-4.200931e-01
