name,frameTime,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband25-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],F0final_sma_de,voicingFinalUnclipped_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de,audspec_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,pcm_RMSenergy_sma_de,pcm_zcr_sma_de,audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[25],pcm_fftMag_fband25-650_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12]
neu,0.010000,0,0,0,0,0,8.060486e-02,9.883412e-01,2.191093e-03,5.833334e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,3.681979e-04,1.897708e-05,5.208333e+01,8.333334e+01,3.229167e+02,7.083333e+02,2.885927e-03,3.796772e+00,2.540982e+05,4.731281e+00,3.502040e+01,-7.092077e-05,2.629632e+01,-3.749666e+00,1.450854e+01,-6.166245e+00,9.259925e+00,-1.030509e+01,1.867740e+01,6.215668e-02,9.690953e+00,-7.499675e+00,5.867217e+00,-1.069906e+01,0,0,0,0,0,1.532921e-03,0,-1.171208e-05,1.354166e-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.427070e-05,2.237956e-06,0,6.249999e+00,2.604167e+01,9.375012e+00,1.953213e-03,4.285805e-02,-7.475959e+03,-9.665584e-03,7.770981e-01,-6.765778e-06,5.510166e-01,2.632045e-01,-6.006118e-01,-1.294824e+00,1.045213e+00,-1.310841e-01,9.648865e-01,-4.853659e-01,8.451326e-01,2.291849e+00,1.538801e+00,4.062197e-01
neu,0.020000,0,0,0,0,0,8.307033e-02,9.883412e-01,2.117540e-03,6.354167e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,3.946669e-04,2.613873e-05,5.208333e+01,1.041667e+02,375,7.604167e+02,6.216811e-03,3.928914e+00,2.500901e+05,4.540186e+00,3.369444e+01,-7.593513e-05,2.716308e+01,-3.949371e+00,1.276584e+01,-7.836264e+00,1.259139e+01,-9.466296e+00,2.074229e+01,-1.571438e+00,9.086478e+00,-4.792257e+00,8.988746e+00,-9.105233e+00,0,1.345335e-01,0,0,0,2.772238e-03,0,8.744001e-06,8.333325e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761498e-05,2.457685e-06,1.041667e+01,1.875000e+01,3.750001e+01,1.250001e+01,3.009953e-03,9.827864e-02,-1.266351e+04,3.715825e-02,1.703642e+00,-1.003892e-05,9.252726e-01,6.021624e-01,-7.152711e-01,-2.266978e+00,8.233959e-01,2.257638e-01,3.564789e-01,-1.826494e+00,1.080963e+00,2.334008e+00,1.218806e+00,-1.377882e-01
neu,0.030000,0,0,0,0,0,8.703673e-02,9.883412e-01,2.169308e-03,6.250000e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,5.263169e-04,2.658603e-05,5.208333e+01,1.041667e+02,4.270833e+02,7.291667e+02,1.098655e-02,3.944991e+00,2.187224e+05,4.778501e+00,3.956888e+01,-1.022425e-04,2.861802e+01,-2.333792e+00,1.237684e+01,-1.180535e+01,1.282026e+01,-1.137991e+01,2.246938e+01,-1.547875e+00,1.421885e+01,2.605863e+00,1.200045e+01,-9.464871e+00,0,2.020799e-01,0,0,0,2.902791e-03,9.647131e-04,-3.815559e-06,-7.291689e-04,-5.740523e-05,1.503575e-03,4.144990e-03,8.122277e-03,3.991234e-03,2.510488e-03,-3.705978e-04,6.193757e-04,2.434063e-03,8.233786e-04,-2.288914e-03,3.882718e-03,-1.221466e-03,-5.974507e-03,-3.980446e-03,3.574085e-03,7.209086e-03,2.317548e-03,-2.852059e-03,7.836628e-03,-8.772850e-04,-2.775812e-03,-1.525188e-03,-1.200986e-03,5.786896e-04,-1.341200e-03,5.178400e-05,5.014266e-07,1.979167e+01,2.708333e+01,2.708333e+01,-1.250000e+01,2.861551e-03,1.119012e-01,-1.859296e+04,1.644095e-01,3.210986e+00,-1.087003e-05,1.131273e+00,9.438204e-01,1.512722e-01,-2.351355e+00,-3.067234e-01,-5.490412e-01,-1.082158e+00,-2.372180e+00,9.880720e-01,2.023381e+00,2.227257e-01,-9.502834e-01
neu,0.040000,0,6.726676e-01,0,0,0,9.125011e-02,9.883412e-01,2.245705e-03,6.041667e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,5.272133e-04,2.746103e-05,1.041667e+02,1.666667e+02,4.583333e+02,7.604167e+02,1.388538e-02,4.214056e+00,2.084685e+05,4.893463e+00,4.126438e+01,-1.054545e-04,2.976183e+01,-1.446792e+00,1.199804e+01,-1.468158e+01,1.159674e+01,-8.638862e+00,1.856380e+01,-8.265294e+00,1.283182e+01,-8.824045e-01,8.894628e+00,-1.200509e+01,0,2.031860e-01,0,0,0,1.274084e-03,1.702726e-03,-4.364306e-05,-2.291668e-03,-5.618513e-04,1.951659e-03,9.387213e-03,2.161598e-02,8.687193e-03,4.653126e-03,-3.897786e-03,-3.368861e-03,8.049011e-04,-1.548171e-04,-9.770965e-03,1.118373e-02,-2.077580e-04,-1.243294e-02,-1.215100e-02,9.082842e-03,1.975423e-02,7.826889e-03,-6.733227e-03,2.903855e-02,-1.761436e-03,-1.066644e-02,-7.820499e-03,-4.963458e-03,-1.813745e-03,-3.410172e-03,-2.817891e-07,-1.053903e-06,2.187500e+01,3.125000e+01,1.562500e+01,-6.250012e+00,1.693139e-03,1.239284e-01,-9.307578e+02,9.371062e-02,1.246466e+00,-5.479087e-07,6.062803e-01,3.471225e-01,9.317099e-01,-1.444867e+00,-9.055506e-01,-7.512054e-01,-2.825313e+00,-1.833495e+00,-2.267442e-01,2.371215e-01,-7.038346e-01,-9.028754e-01
neu,0.050000,0,6.740659e-01,0,0,0,9.102892e-02,9.931647e-01,2.107932e-03,5.624999e-02,1.289292e-01,2.795663e-01,4.402529e-01,5.950587e-01,6.896851e-01,7.784486e-01,8.451754e-01,9.209261e-01,9.944198e-01,1.047216e+00,1.090655e+00,1.179484e+00,1.211023e+00,1.242964e+00,1.306309e+00,1.393451e+00,1.454102e+00,1.460069e+00,1.443617e+00,1.471887e+00,1.354360e+00,1.218461e+00,1.061529e+00,8.899227e-01,7.371418e-01,5.876251e-01,5.608447e-04,2.082306e-05,125,1.875000e+02,4.166667e+02,6.458333e+02,1.335940e-02,4.213707e+00,1.819441e+05,5.376690e+00,4.729036e+01,-1.105112e-04,3.065330e+01,-2.818537e-01,1.564880e+01,-1.450036e+01,8.223634e+00,-1.346401e+01,1.435585e+01,-8.451813e+00,1.275864e+01,6.623046e-01,7.027904e+00,-1.400055e+01,0,6.229579e-04,0,0,0,-7.566512e-04,1.302063e-03,-8.483425e-05,-3.020833e-03,-1.353255e-03,9.419173e-04,1.384063e-02,3.293840e-02,1.014556e-02,3.139198e-04,-1.435205e-02,-1.666476e-02,-8.871103e-03,-6.068349e-04,-2.150507e-02,1.680931e-02,6.767774e-03,-1.224028e-02,-2.204409e-02,1.271229e-02,3.520402e-02,1.362032e-02,-5.768776e-03,5.720364e-02,-4.629540e-03,-1.850283e-02,-1.727953e-02,-1.099257e-02,-6.350970e-03,-5.481613e-03,-3.763924e-05,-1.112596e-06,8.333334e+00,1.979167e+01,-1.041667e+01,-5.208337e+00,4.638303e-05,9.043302e-02,1.325620e+04,3.394971e-02,-4.405014e-01,7.497189e-06,-6.852112e-02,-1.632465e-01,1.595585e+00,2.726723e-01,-1.453821e-01,-7.926563e-01,-3.050899e+00,-8.619965e-01,-1.103364e+00,-6.072858e-01,-3.436042e-01,2.729589e-01
neu,0.060000,0,6.788971e-01,0,0,0,8.744466e-02,9.944430e-01,1.930013e-03,5.520834e-02,1.265504e-01,2.780477e-01,4.561015e-01,6.422215e-01,7.031868e-01,7.828856e-01,8.284660e-01,8.994365e-01,9.801888e-01,1.040267e+00,1.058967e+00,1.206282e+00,1.219146e+00,1.225608e+00,1.275408e+00,1.412060e+00,1.498805e+00,1.481822e+00,1.431342e+00,1.558305e+00,1.352132e+00,1.185947e+00,1.033865e+00,8.741128e-01,7.237329e-01,5.806332e-01,3.759940e-04,2.375070e-05,125,2.187500e+02,4.583333e+02,7.708333e+02,1.349608e-02,4.414198e+00,2.638254e+05,4.709644e+00,3.606603e+01,-7.454030e-05,2.917684e+01,-3.239727e+00,1.578841e+01,-1.371309e+01,1.036195e+01,-1.218027e+01,1.067249e+01,-7.286947e+00,8.682862e+00,-2.634870e+00,7.955848e+00,-1.135177e+01,0,-2.019401e-01,0,0,0,-1.889721e-03,-1.078910e-03,-7.694760e-05,-3.333333e-03,-1.183360e-03,-3.374824e-03,9.796470e-03,3.154389e-02,2.016383e-03,-1.302115e-02,-2.930231e-02,-3.812670e-02,-2.699028e-02,2.158296e-03,-2.848773e-02,1.589782e-02,1.671724e-02,1.040280e-03,-3.000623e-02,7.539702e-03,3.655366e-02,1.790998e-02,4.488659e-03,7.313102e-02,-6.433034e-03,-1.527903e-02,-2.561214e-02,-1.396735e-02,-1.108482e-02,-3.975636e-03,-3.991760e-05,1.264543e-08,-1.250000e+01,-7.291667e+00,-2.083333e+01,-5.208337e+00,-6.409708e-04,1.092229e-02,2.091451e+04,-3.372087e-02,-1.494973e+00,8.562509e-06,-6.695059e-01,-3.523251e-01,1.262206e+00,1.118485e+00,1.113548e+00,-4.276318e-01,-2.362686e+00,3.648650e-01,-2.075857e-01,2.909935e-01,9.785187e-01,1.620522e+00
neu,0.070000,0,0,0,0,0,8.515620e-02,9.918005e-01,1.902983e-03,5.000000e-02,1.237828e-01,2.737583e-01,4.704443e-01,6.752522e-01,7.037278e-01,7.589710e-01,7.845494e-01,8.437018e-01,9.389243e-01,1.041481e+00,1.016140e+00,1.221011e+00,1.249962e+00,1.235250e+00,1.241393e+00,1.420903e+00,1.553702e+00,1.499912e+00,1.442302e+00,1.655922e+00,1.338905e+00,1.163022e+00,1.000402e+00,8.518721e-01,7.077513e-01,5.737720e-01,4.137304e-04,2.287822e-05,8.333334e+01,1.770833e+02,375,6.979167e+02,1.141312e-02,4.297085e+00,2.573250e+05,5.040159e+00,3.996555e+01,-8.021364e-05,2.856791e+01,-2.253557e+00,1.845959e+01,-1.092624e+01,1.271074e+01,-1.357248e+01,1.116054e+01,-6.347031e+00,1.077651e+01,4.456666e-01,1.075182e+01,-8.426736e+00,0,-2.027029e-01,0,0,0,-1.409804e-03,-3.869164e-03,-4.724952e-05,-1.458333e-03,3.904864e-04,-8.070776e-03,-1.505348e-03,1.990336e-02,-1.298312e-02,-3.080450e-02,-3.990638e-02,-5.282195e-02,-3.835057e-02,9.989118e-03,-2.332906e-02,7.991183e-03,2.213956e-02,1.943504e-02,-3.392742e-02,-4.494834e-03,1.705699e-02,1.894042e-02,2.088325e-02,5.478351e-02,-8.142984e-03,3.053379e-03,-2.516135e-02,-7.373112e-03,-1.085442e-02,2.560890e-03,-2.298119e-05,9.664989e-07,-1.666667e+01,-1.250000e+01,-2.708333e+01,-6.250000e+00,-7.295854e-04,-9.992933e-03,9.152557e+03,-2.741003e-03,-7.931519e-01,5.031423e-06,-5.835209e-01,8.687411e-02,3.073255e-01,1.287759e+00,1.568516e+00,4.986933e-01,-1.203334e+00,-4.203970e-01,4.109602e-02,-1.282701e-01,9.390326e-01,2.161778e+00
neu,0.080000,0,0,0,0,0,8.473787e-02,9.836287e-01,1.963441e-03,4.687500e-02,1.258726e-01,2.580782e-01,4.534146e-01,6.720700e-01,6.727895e-01,7.105291e-01,7.308299e-01,7.658079e-01,8.750458e-01,1.056758e+00,9.969179e-01,1.218796e+00,1.281248e+00,1.281896e+00,1.208639e+00,1.399554e+00,1.551025e+00,1.518109e+00,1.480979e+00,1.706342e+00,1.334308e+00,1.183664e+00,9.716578e-01,8.451161e-01,6.935196e-01,5.813795e-01,4.011825e-04,2.649668e-05,6.250000e+01,1.354167e+02,375,7.083333e+02,1.165367e-02,4.226978e+00,2.753507e+05,4.893124e+00,3.745192e+01,-7.779077e-05,2.745700e+01,-2.222565e+00,1.690368e+01,-1.087622e+01,1.492093e+01,-1.072278e+01,8.348029e+00,-7.493360e+00,1.278495e+01,6.808822e-01,1.192526e+01,-6.689388e+00,0,-1.357794e-01,0,0,0,-1.091092e-03,-5.783421e-03,-3.671247e-05,2.395833e-03,3.091378e-03,-8.483660e-03,-1.063718e-02,1.291146e-02,-2.653909e-02,-3.973874e-02,-3.757130e-02,-4.962731e-02,-2.802931e-02,1.903969e-02,-1.174890e-02,-3.027153e-03,1.356964e-02,2.086072e-02,-3.612339e-02,-1.686339e-02,-1.743641e-02,1.554861e-02,2.592704e-02,9.899008e-03,-9.010387e-03,2.614601e-02,-1.642103e-02,6.903136e-03,-5.259806e-03,1.225057e-02,-1.404405e-06,6.362789e-08,-1.145833e+01,-1.145833e+01,-3.229167e+01,-1.979166e+01,-7.941965e-04,-3.968754e-02,-8.763544e+03,1.059556e-01,1.071836e+00,4.221321e-07,-2.233490e-01,7.519482e-01,-4.387949e-01,9.017094e-01,1.451024e+00,1.168956e+00,-4.945469e-02,-5.324088e-01,-4.495211e-01,-3.243724e-01,2.821169e-01,1.813224e+00
neu,0.090000,0,0,0,0,0,8.533330e-02,9.792261e-01,1.854971e-03,5.312500e-02,1.312205e-01,2.491971e-01,4.340696e-01,6.796513e-01,6.399682e-01,6.606043e-01,6.944616e-01,7.236307e-01,8.552384e-01,1.088916e+00,1.005034e+00,1.213183e+00,1.290670e+00,1.311996e+00,1.170057e+00,1.377230e+00,1.513277e+00,1.536627e+00,1.523215e+00,1.671786e+00,1.322557e+00,1.234869e+00,9.668261e-01,8.675554e-01,6.979764e-01,6.000564e-01,4.333445e-04,2.428257e-05,7.291666e+01,1.666667e+02,3.229167e+02,6.458333e+02,1.063268e-02,4.257352e+00,2.219443e+05,5.271245e+00,4.263166e+01,-8.372888e-05,2.859562e+01,-3.560639e-01,1.662779e+01,-9.480003e+00,1.378673e+01,-1.169929e+01,9.501414e+00,-1.045059e+01,1.091308e+01,-1.636922e+00,9.738360e+00,-5.522848e+00,0,0,0,0,0,-4.922412e-04,-6.623209e-03,-2.582779e-06,6.458333e-03,4.456912e-03,-5.830050e-03,-1.318264e-02,1.017479e-02,-3.133233e-02,-3.334660e-02,-2.135981e-02,-2.569367e-02,6.783771e-03,1.843396e-02,-7.632142e-03,-1.334989e-02,-4.939198e-04,3.098965e-03,-3.473667e-02,-3.017008e-02,-4.904184e-02,8.165086e-03,1.172755e-02,-3.657793e-02,-3.860152e-03,3.453028e-02,-5.884397e-03,1.941757e-02,9.120881e-04,2.258760e-02,2.427434e-07,-1.104760e-06,-1.041668e+00,9.375000e+00,-5.208334e+00,-3.125000e+00,-5.878182e-05,-1.080465e-02,-1.115553e+04,7.707634e-02,1.228858e+00,-2.834007e-07,6.180954e-02,8.464416e-01,-1.217594e+00,-9.174786e-02,4.265942e-01,1.364848e+00,8.250744e-01,3.489828e-01,-1.314712e+00,-1.399465e+00,-9.779111e-01,1.737711e+00
neu,0.100000,0,0,0,0,0,8.190065e-02,9.718131e-01,1.770457e-03,6.562500e-02,1.382885e-01,2.479100e-01,4.211030e-01,7.045793e-01,6.023712e-01,6.333752e-01,6.856534e-01,7.113355e-01,8.818852e-01,1.111748e+00,1.005775e+00,1.195060e+00,1.266640e+00,1.291539e+00,1.130459e+00,1.349579e+00,1.431836e+00,1.541207e+00,1.520520e+00,1.599868e+00,1.315255e+00,1.280753e+00,9.685483e-01,9.007868e-01,7.023214e-01,6.287438e-01,3.591649e-04,2.336666e-05,7.291666e+01,1.666667e+02,3.229167e+02,6.979167e+02,9.915319e-03,4.235627e+00,2.376980e+05,5.123879e+00,4.009215e+01,-7.067202e-05,2.804624e+01,-4.287326e-01,1.451033e+01,-9.927663e+00,1.707908e+01,-7.272086e+00,1.125478e+01,-7.897211e+00,6.366974e+00,-3.215438e+00,9.873164e+00,-3.737600e+00,0,0,0,0,0,-2.792194e-04,-6.502771e-03,7.724001e-05,7.395834e-03,4.538407e-03,-1.931474e-04,-7.239133e-03,2.373582e-03,-2.745869e-02,-1.610733e-02,6.632805e-05,3.307837e-03,4.637743e-02,3.408718e-03,-1.695966e-02,-1.898698e-02,-5.596292e-03,-2.190620e-02,-2.183115e-02,-3.982846e-02,-5.559517e-02,-6.516504e-03,-1.654329e-02,-5.888255e-02,5.642319e-03,2.423758e-02,1.295805e-03,1.865349e-02,7.840765e-03,2.683107e-02,6.230276e-05,-1.787018e-06,-2.083333e+00,4.166666e+00,-1.562500e+01,-3.958332e+01,7.110963e-04,-1.277769e-01,-2.008840e+04,2.520208e-01,4.331699e+00,-1.103220e-05,1.082386e-01,6.595091e-01,-8.056163e-01,2.177336e-01,1.969040e-01,1.208781e+00,2.080810e+00,2.193344e+00,-7.814807e-01,-6.057256e-01,-1.449876e+00,7.865622e-01
