name,frameTime,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband25-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],F0final_sma_de,voicingFinalUnclipped_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de,audspec_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,pcm_RMSenergy_sma_de,pcm_zcr_sma_de,audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[25],pcm_fftMag_fband25-650_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12]
xxx,0.010000,0,0,0,0,0,4.190145e-01,9.883412e-01,1.617868e-02,2.385417e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,2.463526e-02,8.804103e-03,1.875000e+02,3.437500e+02,2500,3.187500e+03,3.397217e-02,4.441800e+00,2.167740e+06,1.301652e+00,4.106393e+00,-4.646511e-03,1.071274e+01,1.103576e+01,4.428081e+01,-2.152207e+01,1.256131e+01,-1.874558e+01,-1.839025e+01,-1.462984e+01,-5.628088e+00,-7.071806e+00,1.528818e+01,-1.579541e+01,6.190824e+01,2.319556e-01,0,0,8.916020e-02,-1.940599e-03,0,1.248930e-03,-3.697917e-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.375053e-03,-1.486529e-03,3.125001e+00,-2.812500e+01,-5.281250e+02,-5.375000e+02,1.753359e-02,-2.317266e-01,-4.074914e+05,8.392617e-01,6.498746e+00,-1.346354e-03,2.489820e+00,-1.989466e+00,-2.691279e+00,1.707022e+00,-1.138166e+00,-9.182234e-01,1.209927e+00,-1.719978e-01,2.323443e+00,-7.957144e-01,-3.929863e+00,-1.124657e+00
xxx,0.020000,2.060596e+02,7.725922e-01,0,0,3.064516e-01,4.080752e-01,9.883412e-01,1.752531e-02,1.687500e-01,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,3.016434e-02,5.773628e-03,1.979167e+02,2.916667e+02,1.468750e+03,2125,5.365560e-02,4.098338e+00,1.387834e+06,2.615996e+00,1.186370e+01,-5.612427e-03,1.512450e+01,7.053190e+00,3.891513e+01,-1.806804e+01,1.056672e+01,-2.160144e+01,-1.849270e+01,-1.503125e+01,-1.303627e-01,-5.967256e+00,8.706678e+00,-1.785362e+01,6.218028e+01,2.305738e-01,6.835592e-03,6.661647e-03,8.499728e-02,8.457500e-03,0,3.105660e-03,-5.062500e-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770852e-02,-1.688016e-03,5.208333e+00,-2.395833e+01,-6.395834e+02,-7.635416e+02,2.969015e-02,-3.149097e-01,-5.468407e+05,1.288765e+00,1.116661e+01,-3.233964e-03,3.983544e+00,-2.753451e+00,-4.663328e+00,1.965969e+00,-2.485747e+00,-7.108486e-01,1.358542e+00,9.126173e-01,1.854168e+00,-1.621851e+00,-5.111800e+00,-2.025894e+00
xxx,0.030000,2.065114e+02,7.734817e-01,0,0,2.925752e-01,4.147811e-01,9.883412e-01,2.175003e-02,8.854166e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,5.874598e-02,2.886698e-03,1.979167e+02,2.291667e+02,375,1.031250e+03,1.117984e-01,3.454899e+00,5.202353e+05,4.840788e+00,3.272147e+01,-1.089532e-02,2.095597e+01,3.079715e+00,3.350725e+01,-1.471398e+01,7.867771e+00,-2.190876e+01,-1.228940e+01,-1.528912e+01,3.240261e+00,-1.160265e+01,-1.070378e+00,-2.038960e+01,4.183271e+01,1.452430e-01,1.025339e-02,9.992471e-03,5.018922e-02,2.931446e-02,5.878842e-03,5.344526e-03,-4.833334e-02,9.045005e-05,8.002281e-04,1.887023e-03,1.616932e-02,1.366202e-02,9.990287e-03,2.357126e-02,1.917084e-02,7.946467e-03,1.704881e-02,1.251283e-02,2.309689e-02,1.845493e-02,1.264725e-02,1.877015e-02,4.523420e-03,-9.913802e-03,1.369667e-03,-7.738114e-04,-2.315235e-03,-6.535387e-03,-1.160583e-02,-9.105993e-03,-8.642578e-03,-2.966535e-03,2.997136e-03,3.977031e-02,-7.850525e-04,1.562500e+01,-3.124997e+00,-5.375000e+02,-7.177084e+02,4.695452e-02,-3.516535e-01,-5.172069e+05,1.434910e+00,1.425393e+01,-7.147004e-03,4.714581e+00,-3.374252e+00,-4.920278e+00,1.591853e+00,-3.547639e+00,-1.600299e+00,-5.821561e-01,1.965591e+00,3.612356e-01,-1.692231e+00,-4.548177e+00,-1.777846e+00
xxx,0.040000,2.076457e+02,7.661281e-01,3.417796e-02,3.330824e-02,2.786988e-01,4.634186e-01,9.883412e-01,2.892131e-02,6.041666e-02,1.292162e-01,2.720484e-01,4.195279e-01,5.544473e-01,6.697289e-01,7.658961e-01,8.470284e-01,9.178292e-01,9.822495e-01,1.043099e+00,1.102099e+00,1.160070e+00,1.217131e+00,1.272837e+00,1.326212e+00,1.375581e+00,1.418056e+00,1.448481e+00,1.457878e+00,1.432704e+00,1.358746e+00,1.232340e+00,1.069155e+00,8.959276e-01,7.342484e-01,5.943311e-01,9.612250e-02,3.322725e-03,2.083333e+02,2.812500e+02,3.645833e+02,4.479167e+02,1.435098e-01,3.360703e+00,2.572885e+05,5.975909e+00,4.563189e+01,-1.769193e-02,2.550885e+01,1.246524e+00,2.635095e+01,-1.509627e+01,2.479342e+00,-2.071823e+01,-1.464797e+01,-9.737109e+00,-7.914241e-01,-1.291564e+01,-2.091532e+00,-2.362779e+01,-4.102601e+01,-1.942610e-02,3.417796e-03,3.330824e-03,-6.406559e-02,4.552222e-02,1.932122e-02,6.332899e-03,-2.750000e-02,7.978499e-04,3.075647e-03,5.828297e-03,5.179983e-02,4.878860e-02,3.277775e-02,5.973656e-02,4.974392e-02,1.729695e-02,3.839854e-02,4.322391e-02,9.706466e-02,7.884560e-02,4.221904e-02,6.350299e-02,1.773784e-02,-2.969662e-02,2.620936e-04,1.159501e-03,-7.070017e-03,-2.181833e-02,-3.308172e-02,-2.950909e-02,-2.759727e-02,-1.088539e-02,9.750163e-03,4.887505e-02,1.294502e-03,1.875000e+01,2.916667e+01,-2.093750e+02,-3.864583e+02,5.513100e-02,-2.009256e-01,-2.833483e+05,7.780815e-01,8.938343e+00,-8.799484e-03,3.947429e+00,-3.091881e+00,-3.345515e+00,1.972536e+00,-3.461580e+00,-3.413469e+00,-4.442105e+00,3.602645e+00,-3.919411e-01,1.281240e-01,-2.360762e+00,-7.432764e-01
xxx,0.050000,2.083705e+02,7.294472e-01,3.417796e-02,3.330824e-02,2.648225e-01,5.379151e-01,1.017735e+00,3.720331e-02,5.104167e-02,1.296684e-01,2.760495e-01,4.289630e-01,6.352939e-01,7.380390e-01,8.158476e-01,9.648848e-01,1.013683e+00,1.021982e+00,1.128343e+00,1.164663e+00,1.275555e+00,1.309405e+00,1.336073e+00,1.420062e+00,1.398198e+00,1.368487e+00,1.455329e+00,1.454008e+00,1.421128e+00,1.326069e+00,1.174311e+00,1.023625e+00,8.527147e-01,7.194157e-01,6.093168e-01,1.905077e-01,6.104292e-03,2.604167e+02,3.333333e+02,3.645833e+02,4.375000e+02,2.238177e-01,3.052350e+00,1.469781e+05,6.796246e+00,5.849193e+01,-3.434178e-02,2.909348e+01,-2.932166e+00,2.596151e+01,-1.504869e+01,-1.133197e+00,-2.718868e+01,-2.322340e+01,-7.448952e+00,-3.491380e+00,-1.205877e+01,-2.053596e+00,-2.179756e+01,-6.206685e+01,-2.700042e-02,-3.417796e-03,-3.330824e-03,-8.638493e-02,3.981539e-02,3.510806e-02,4.869975e-03,-8.125000e-03,2.871661e-03,5.858433e-03,7.957527e-03,1.002232e-01,1.020656e-01,6.198730e-02,8.846782e-02,7.934504e-02,2.615911e-02,4.972332e-02,8.561367e-02,2.185796e-01,1.812461e-01,7.890934e-02,1.218682e-01,2.871790e-02,-6.095539e-02,-5.548871e-03,-2.277172e-03,-2.089005e-02,-4.782660e-02,-6.193675e-02,-6.159185e-02,-5.647741e-02,-2.400892e-02,1.472884e-02,4.224861e-02,2.252738e-03,1.562500e+01,4.166666e+01,1.666667e+01,-1.041666e+02,4.515385e-02,-3.364773e-02,-8.850514e+04,6.190910e-02,2.208880e+00,-7.596246e-03,3.097474e+00,-2.644326e+00,-1.481501e+00,2.569428e+00,-2.248033e+00,-4.496291e+00,-6.192948e+00,4.329001e+00,1.692813e-01,1.427544e+00,-3.285766e-01,1.744900e+00
xxx,0.060000,0,6.974790e-01,0,0,0,5.741193e-01,1.070250e+00,4.146316e-02,5.000000e-02,1.329793e-01,2.854261e-01,4.439518e-01,7.730231e-01,8.795169e-01,9.048092e-01,1.086783e+00,1.118622e+00,1.048868e+00,1.192470e+00,1.286937e+00,1.587651e+00,1.565221e+00,1.452314e+00,1.596801e+00,1.452962e+00,1.294358e+00,1.446367e+00,1.465610e+00,1.403142e+00,1.265993e+00,1.095946e+00,9.443745e-01,7.795477e-01,6.872378e-01,6.355891e-01,2.086587e-01,1.063734e-02,2.604167e+02,3.854167e+02,4.270833e+02,4.895833e+02,2.733009e-01,3.294984e+00,1.577216e+05,5.528675e+00,4.367019e+01,-3.788662e-02,3.079289e+01,-5.400274e+00,2.596043e+01,-8.038000e+00,-2.240695e+00,-3.602882e+01,-3.523622e+01,-9.381072e-01,1.275753e+00,-5.098577e+00,-2.605521e+00,-2.086602e+01,-6.236619e+01,-2.436106e-02,-1.025339e-02,-9.992471e-03,-8.222201e-02,5.987847e-03,3.504529e-02,1.115690e-03,2.083339e-04,6.592515e-03,6.768244e-03,1.975441e-03,1.196765e-01,1.285484e-01,7.319570e-02,7.297611e-02,7.324742e-02,2.393445e-02,2.468395e-02,9.713670e-02,3.045242e-01,2.604759e-01,9.427462e-02,1.443752e-01,1.935356e-02,-8.884237e-02,-2.138003e-02,-2.541473e-02,-4.988878e-02,-7.679527e-02,-8.105348e-02,-8.741148e-02,-7.954769e-02,-3.758705e-02,7.360041e-03,7.776600e-03,1.337823e-03,-5.208331e+00,2.187500e+01,1.875000e+01,1.979167e+01,2.592552e-02,8.971091e-02,-2.486826e+04,-4.010866e-01,-3.265452e+00,-1.482536e-03,2.190009e+00,-1.695470e+00,-1.952732e-01,3.528127e+00,-3.762386e-01,-3.392663e+00,-2.753035e+00,3.753466e+00,2.188591e+00,1.465566e+00,4.553115e-02,3.392968e+00
xxx,0.070000,0,6.728041e-01,0,0,0,5.585077e-01,1.122927e+00,3.982897e-02,5.312500e-02,1.416929e-01,2.946517e-01,4.471036e-01,9.462752e-01,1.075163e+00,1.006376e+00,1.169490e+00,1.214158e+00,1.079736e+00,1.217031e+00,1.437749e+00,2.039178e+00,1.949316e+00,1.577645e+00,1.800258e+00,1.480480e+00,1.175129e+00,1.421794e+00,1.442626e+00,1.343035e+00,1.165990e+00,9.908530e-01,8.235860e-01,6.717305e-01,6.377091e-01,6.473463e-01,2.137209e-01,1.049308e-02,250,3.854167e+02,4.270833e+02,4.895833e+02,2.726721e-01,3.319519e+00,1.274931e+05,5.373950e+00,4.474672e+01,-3.877921e-02,3.380132e+01,-6.818516e+00,2.629500e+01,-5.395981e+00,-1.012377e+00,-3.673492e+01,-3.296001e+01,1.956389e+00,3.053079e+00,-8.373464e+00,-2.456266e+00,-1.304598e+01,-4.167410e+01,-1.322132e-02,-6.835592e-03,-6.661647e-03,-5.296449e-02,-3.572311e-02,6.344438e-03,-3.312920e-03,4.166667e-03,9.642698e-03,2.925438e-03,-1.486330e-02,7.912610e-02,8.541124e-02,4.525897e-02,1.227504e-02,2.389913e-02,8.873189e-03,-2.356373e-02,4.857013e-02,2.589107e-01,2.329180e-01,6.037432e-02,9.371515e-02,-2.548357e-02,-1.046753e-01,-4.499286e-02,-7.195951e-02,-9.333886e-02,-9.930547e-02,-8.264821e-02,-9.060010e-02,-8.377511e-02,-4.566213e-02,-1.607518e-02,-3.147464e-02,-8.590270e-04,-2.187500e+01,0,1.458333e+01,8.229166e+01,-1.089597e-02,1.993597e-01,5.369933e+03,-5.213503e-01,-5.412602e+00,5.586311e-03,1.231692e+00,-6.705501e-01,-5.110000e-01,2.522194e+00,1.200234e+00,-3.439217e-02,2.290338e+00,2.151495e+00,2.521114e+00,1.436829e-01,7.843060e-01,3.712191e+00
xxx,0.080000,0,6.726444e-01,0,0,0,4.830616e-01,1.110972e+00,3.318693e-02,6.041667e-02,1.561665e-01,2.965885e-01,4.203348e-01,9.973392e-01,1.143909e+00,1.036610e+00,1.109606e+00,1.183829e+00,1.073045e+00,1.122176e+00,1.451240e+00,2.300880e+00,2.199555e+00,1.623424e+00,1.857990e+00,1.431208e+00,1.070524e+00,1.358349e+00,1.336495e+00,1.222307e+00,1.054810e+00,9.188011e-01,7.321171e-01,5.886813e-01,5.871665e-01,6.121165e-01,1.233989e-01,7.817447e-03,1.875000e+02,3.645833e+02,4.270833e+02,5.208333e+02,2.487102e-01,3.675673e+00,1.426897e+05,4.681623e+00,3.617723e+01,-2.288589e-02,3.410498e+01,-5.287651e+00,2.520783e+01,-2.281991e+00,5.377383e-01,-3.290842e+01,-2.354484e+01,4.327549e+00,6.879300e+00,-7.430463e+00,-1.662541e+00,-1.103874e+01,0,-5.058408e-03,0,0,0,-5.894192e-02,-4.074822e-02,-5.813148e-03,4.687501e-03,8.766828e-03,-5.781835e-03,-3.521102e-02,-1.533324e-03,-1.411392e-02,-1.014282e-02,-4.783116e-02,-3.204423e-02,-1.116155e-02,-5.269923e-02,-4.545274e-02,6.988857e-02,7.850020e-02,-1.357747e-02,-1.062610e-02,-8.515058e-02,-1.089430e-01,-6.746058e-02,-1.230131e-01,-1.328020e-01,-1.088255e-01,-7.440358e-02,-7.102252e-02,-7.109122e-02,-4.755226e-02,-4.616848e-02,-4.744317e-02,-2.448922e-03,-1.875000e+01,-1.041667e+01,5.208328e+00,1.052083e+02,-3.100817e-02,1.575832e-01,1.048374e+04,-1.765342e-01,-1.358979e+00,8.575803e-03,2.909424e-01,1.136502e-01,-6.295403e-01,1.947199e-01,1.601207e+00,1.979187e+00,5.369519e+00,-1.353527e-01,1.598729e+00,-8.057426e-01,1.613209e+00,2.620799e+00
xxx,0.090000,0,6.757579e-01,0,0,0,4.048284e-01,1.029097e+00,2.477683e-02,6.666667e-02,1.662883e-01,2.850955e-01,3.664550e-01,9.187663e-01,1.032899e+00,9.762418e-01,1.014848e+00,1.100575e+00,1.054259e+00,1.045672e+00,1.325362e+00,2.213494e+00,2.156829e+00,1.552390e+00,1.758044e+00,1.281657e+00,9.570277e-01,1.274374e+00,1.158768e+00,1.044851e+00,9.351336e-01,8.496418e-01,6.767532e-01,5.292724e-01,5.411407e-01,5.406771e-01,7.576445e-02,3.219105e-03,1.875000e+02,3.437500e+02,4.375000e+02,8.333333e+02,1.816332e-01,3.858805e+00,1.813438e+05,4.613020e+00,3.517540e+01,-1.391059e-02,3.359589e+01,-6.341228e+00,2.378281e+01,-5.315724e+00,3.478755e+00,-2.892084e+01,-1.761740e+01,6.756986e-01,6.312418e+00,-1.017441e+01,1.396444e+00,-8.150239e+00,0,-1.311338e-03,0,0,0,-5.805117e-02,-8.262129e-02,-5.671700e-03,2.500001e-03,2.741587e-03,-1.531707e-02,-4.711947e-02,-8.001990e-02,-1.114143e-01,-6.561093e-02,-9.080545e-02,-7.199427e-02,-4.132146e-02,-5.913006e-02,-1.320552e-01,-1.509306e-01,-1.154234e-01,-9.796248e-02,-1.201808e-01,-1.277982e-01,-1.008804e-01,-8.607538e-02,-1.408848e-01,-1.417170e-01,-1.029660e-01,-5.908307e-02,-3.709965e-02,-4.697303e-02,-4.277390e-02,-6.535845e-02,-4.310934e-02,-2.339523e-03,-9.374998e+00,-5.208331e+00,6.249994e+00,9.479166e+01,-4.202278e-02,7.050455e-02,1.190626e+04,4.419274e-02,1.366122e+00,7.851263e-03,-4.045334e-01,7.859677e-01,-4.897993e-01,-7.420467e-01,1.665898e+00,1.390137e+00,3.339028e+00,-1.469620e+00,1.349746e+00,-1.487837e+00,1.668280e+00,9.085900e-01
xxx,0.100000,0,6.707101e-01,0,0,0,3.562494e-01,9.134242e-01,1.992350e-02,6.666667e-02,1.645157e-01,2.612950e-01,3.082210e-01,7.791110e-01,8.300793e-01,8.691623e-01,9.249482e-01,1.015192e+00,1.005798e+00,1.014653e+00,1.115866e+00,1.849936e+00,1.853966e+00,1.397054e+00,1.564778e+00,1.126620e+00,8.586936e-01,1.182774e+00,9.924731e-01,8.882238e-01,8.372933e-01,7.945334e-01,6.626783e-01,4.953206e-01,4.977607e-01,4.580812e-01,4.042107e-02,2.029720e-03,1.979167e+02,3.541667e+02,4.479167e+02,8.437500e+02,1.637796e-01,3.813257e+00,183215,5.026469e+00,4.166095e+01,-7.441914e-03,3.235032e+01,-5.070667e+00,2.406882e+01,-7.104529e+00,3.519776e+00,-3.003993e+01,-1.605994e+01,-9.745252e-01,7.639726e+00,-8.226814e+00,3.534166e+00,-1.020990e+01,0,-1.353832e-01,0,0,0,-4.233814e-02,-9.774636e-02,-3.926644e-03,2.083339e-04,-5.255060e-03,-2.092182e-02,-4.375950e-02,-1.076073e-01,-1.414313e-01,-9.358216e-02,-1.073295e-01,-7.824952e-02,-6.626792e-02,-4.873736e-02,-1.624148e-01,-2.743245e-01,-2.355459e-01,-1.536386e-01,-1.852358e-01,-1.374349e-01,-8.851812e-02,-9.213583e-02,-1.142081e-01,-1.135399e-01,-8.817624e-02,-4.634263e-02,-1.157439e-02,-2.552124e-02,-3.347927e-02,-6.617396e-02,-2.054847e-02,-1.486487e-03,3.125001e+00,-4.166666e+00,-1.041672e+00,-1.770833e+01,-3.633015e-02,-5.620492e-02,-4.888810e+03,3.777362e-01,5.550487e+00,3.843230e-03,-4.160618e-01,1.318759e+00,1.620802e-01,-9.252874e-01,1.658398e+00,4.413410e-01,-1.720600e-02,-2.272491e+00,8.677273e-01,-2.372472e+00,1.871171e+00,7.128485e-01
